item,date,price,volume
CS20 Case,2019-10-18,4.862,55948
CS20 Case,2019-10-19,2.661,267246
CS20 Case,2019-10-20,1.432,227959
CS20 Case,2019-10-21,1.216,165652
CS20 Case,2019-10-22,0.898,166224
CS20 Case,2019-10-23,0.589,163631
CS20 Case,2019-10-24,1.05,104444
CS20 Case,2019-10-25,1.368,64576
CS20 Case,2019-10-26,1.392,60278
CS20 Case,2019-10-27,1.164,60755
CS20 Case,2019-10-28,1.101,48249
CS20 Case,2019-10-29,1.116,48256
CS20 Case,2019-10-30,1.066,46355
CS20 Case,2019-10-31,1.092,44940
CS20 Case,2019-11-01,1.151,49018
CS20 Case,2019-11-02,1.135,53971
CS20 Case,2019-11-03,1.091,54455
CS20 Case,2019-11-04,0.912,49924
CS20 Case,2019-11-05,0.837,53037
CS20 Case,2019-11-06,0.796,47975
CS20 Case,2019-11-07,0.75,56994
CS20 Case,2019-11-08,0.777,58216
CS20 Case,2019-11-09,0.707,63260
CS20 Case,2019-11-10,0.633,62383
CS20 Case,2019-11-11,0.591,51050
CS20 Case,2019-11-12,0.579,43506
CS20 Case,2019-11-13,0.57,42898
CS20 Case,2019-11-14,0.557,45496
CS20 Case,2019-11-15,0.559,53731
CS20 Case,2019-11-16,0.562,60314
CS20 Case,2019-11-17,0.496,55042
CS20 Case,2019-11-18,0.46,46013
CS20 Case,2019-11-19,0.244,56467
CS20 Case,2019-11-20,0.198,48413
CS20 Case,2019-11-21,0.21,45951
CS20 Case,2019-11-22,0.239,53735
CS20 Case,2019-11-23,0.275,59768
CS20 Case,2019-11-24,0.239,53253
CS20 Case,2019-11-25,0.236,46995
CS20 Case,2019-11-26,0.233,42031
CS20 Case,2019-11-27,0.197,43210
CS20 Case,2019-11-28,0.178,44655
CS20 Case,2019-11-29,0.198,52880
CS20 Case,2019-11-30,0.204,55676
CS20 Case,2019-12-01,0.188,51754
CS20 Case,2019-12-02,0.177,38979
CS20 Case,2019-12-03,0.168,39137
CS20 Case,2019-12-04,0.156,40925
CS20 Case,2019-12-05,0.152,40962
CS20 Case,2019-12-06,0.15,48045
CS20 Case,2019-12-07,0.154,52262
CS20 Case,2019-12-08,0.151,52397
CS20 Case,2019-12-09,0.144,39254
CS20 Case,2019-12-10,0.142,42663
CS20 Case,2019-12-11,0.145,42504
CS20 Case,2019-12-12,0.149,41077
CS20 Case,2019-12-13,0.152,46399
CS20 Case,2019-12-14,0.15,52239
CS20 Case,2019-12-15,0.149,50682
CS20 Case,2019-12-16,0.151,41340
CS20 Case,2019-12-17,0.15,40266
CS20 Case,2019-12-18,0.14,37938
CS20 Case,2019-12-19,0.125,38637
CS20 Case,2019-12-20,0.118,43437
CS20 Case,2019-12-21,0.111,48442
CS20 Case,2019-12-22,0.105,48179
CS20 Case,2019-12-23,0.118,50734
CS20 Case,2019-12-24,0.134,50921
CS20 Case,2019-12-25,0.155,57320
CS20 Case,2019-12-26,0.163,53222
CS20 Case,2019-12-27,0.166,54263
CS20 Case,2019-12-28,0.167,56702
CS20 Case,2019-12-29,0.163,55254
CS20 Case,2019-12-30,0.164,54852
CS20 Case,2019-12-31,0.168,46949
CS20 Case,2020-01-01,0.173,51694
CS20 Case,2020-01-02,0.165,52410
CS20 Case,2020-01-03,0.163,54114
CS20 Case,2020-01-04,0.16,55161
CS20 Case,2020-01-05,0.159,52360
CS20 Case,2020-01-06,0.152,45406
CS20 Case,2020-01-07,0.144,44346
CS20 Case,2020-01-08,0.142,46150
CS20 Case,2020-01-09,0.142,45111
CS20 Case,2020-01-10,0.143,53150
CS20 Case,2020-01-11,0.144,57781
CS20 Case,2020-01-12,0.143,52932
CS20 Case,2020-01-13,0.141,41988
CS20 Case,2020-01-14,0.139,43065
CS20 Case,2020-01-15,0.139,44170
CS20 Case,2020-01-16,0.138,45455
CS20 Case,2020-01-17,0.137,49518
CS20 Case,2020-01-18,0.136,56354
CS20 Case,2020-01-19,0.136,54859
CS20 Case,2020-01-20,0.134,44151
CS20 Case,2020-01-21,0.128,41739
CS20 Case,2020-01-22,0.123,44258
CS20 Case,2020-01-23,0.118,44276
CS20 Case,2020-01-24,0.12,55165
CS20 Case,2020-01-25,0.125,62563
CS20 Case,2020-01-26,0.121,53555
CS20 Case,2020-01-27,0.116,45845
CS20 Case,2020-01-28,0.111,42560
CS20 Case,2020-01-29,0.108,44805
CS20 Case,2020-01-30,0.114,43873
CS20 Case,2020-01-31,0.115,53822
CS20 Case,2020-02-01,0.119,57565
CS20 Case,2020-02-02,0.117,56750
CS20 Case,2020-02-03,0.115,46254
CS20 Case,2020-02-04,0.116,44242
CS20 Case,2020-02-05,0.115,45247
CS20 Case,2020-02-06,0.115,47930
