item,date,price,volume
CS:GO Weapon Case 3,2014-02-13,2.686,17356
CS:GO Weapon Case 3,2014-02-14,1.045,17914
CS:GO Weapon Case 3,2014-02-15,0.463,18311
CS:GO Weapon Case 3,2014-02-16,0.25,18521
CS:GO Weapon Case 3,2014-02-17,0.214,16565
CS:GO Weapon Case 3,2014-02-18,0.197,14547
CS:GO Weapon Case 3,2014-02-19,0.169,12638
CS:GO Weapon Case 3,2014-02-20,0.133,12623
CS:GO Weapon Case 3,2014-02-21,0.077,10817
CS:GO Weapon Case 3,2014-02-22,0.039,13016
CS:GO Weapon Case 3,2014-02-23,0.038,10918
CS:GO Weapon Case 3,2014-02-24,0.039,9360
CS:GO Weapon Case 3,2014-02-25,0.039,9662
CS:GO Weapon Case 3,2014-02-26,0.039,8665
CS:GO Weapon Case 3,2014-02-27,0.039,9154
CS:GO Weapon Case 3,2014-02-28,0.038,11817
CS:GO Weapon Case 3,2014-03-01,0.037,12157
CS:GO Weapon Case 3,2014-03-02,0.03,12735
CS:GO Weapon Case 3,2014-03-03,0.031,12066
CS:GO Weapon Case 3,2014-03-04,0.034,10186
CS:GO Weapon Case 3,2014-03-05,0.03,10127
CS:GO Weapon Case 3,2014-03-06,0.03,10411
CS:GO Weapon Case 3,2014-03-07,0.03,10112
CS:GO Weapon Case 3,2014-03-08,0.03,8406
CS:GO Weapon Case 3,2014-03-09,0.03,9089
CS:GO Weapon Case 3,2014-03-10,0.03,8676
CS:GO Weapon Case 3,2014-03-11,0.03,6732
CS:GO Weapon Case 3,2014-03-12,0.03,6318
CS:GO Weapon Case 3,2014-03-13,0.03,5182
CS:GO Weapon Case 3,2014-03-14,0.03,8531
CS:GO Weapon Case 3,2014-03-15,0.03,10165
CS:GO Weapon Case 3,2014-03-16,0.03,10254
CS:GO Weapon Case 3,2014-03-17,0.03,8131
CS:GO Weapon Case 3,2014-03-18,0.03,7537
CS:GO Weapon Case 3,2014-03-19,0.03,7989
CS:GO Weapon Case 3,2014-03-20,0.03,8233
CS:GO Weapon Case 3,2014-03-21,0.03,8321
CS:GO Weapon Case 3,2014-03-22,0.03,9303
CS:GO Weapon Case 3,2014-03-23,0.03,8672
CS:GO Weapon Case 3,2014-03-24,0.03,8312
CS:GO Weapon Case 3,2014-03-25,0.03,8166
CS:GO Weapon Case 3,2014-03-26,0.03,9979
CS:GO Weapon Case 3,2014-03-27,0.03,10092
CS:GO Weapon Case 3,2014-03-28,0.03,10647
CS:GO Weapon Case 3,2014-03-29,0.03,11651
CS:GO Weapon Case 3,2014-03-30,0.03,13368
CS:GO Weapon Case 3,2014-03-31,0.03,11801
CS:GO Weapon Case 3,2014-04-01,0.03,14096
CS:GO Weapon Case 3,2014-04-02,0.03,28919
CS:GO Weapon Case 3,2014-04-03,0.03,29341
CS:GO Weapon Case 3,2014-04-04,0.03,25525
CS:GO Weapon Case 3,2014-04-05,0.03,29219
CS:GO Weapon Case 3,2014-04-06,0.03,23997
CS:GO Weapon Case 3,2014-04-07,0.03,19404
CS:GO Weapon Case 3,2014-04-08,0.03,17633
CS:GO Weapon Case 3,2014-04-09,0.03,20428
CS:GO Weapon Case 3,2014-04-10,0.03,21184
CS:GO Weapon Case 3,2014-04-11,0.03,21810
CS:GO Weapon Case 3,2014-04-12,0.03,21300
CS:GO Weapon Case 3,2014-04-13,0.03,21988
CS:GO Weapon Case 3,2014-04-14,0.03,16600
CS:GO Weapon Case 3,2014-04-15,0.03,14630
CS:GO Weapon Case 3,2014-04-16,0.03,15602
CS:GO Weapon Case 3,2014-04-17,0.03,13394
CS:GO Weapon Case 3,2014-04-18,0.03,16932
CS:GO Weapon Case 3,2014-04-19,0.03,17474
CS:GO Weapon Case 3,2014-04-20,0.03,16254
CS:GO Weapon Case 3,2014-04-21,0.03,15461
CS:GO Weapon Case 3,2014-04-22,0.03,14532
CS:GO Weapon Case 3,2014-04-23,0.03,16170
CS:GO Weapon Case 3,2014-04-24,0.03,13962
CS:GO Weapon Case 3,2014-04-25,0.03,16108
CS:GO Weapon Case 3,2014-04-26,0.03,16071
CS:GO Weapon Case 3,2014-04-27,0.03,16610
CS:GO Weapon Case 3,2014-04-28,0.03,19713
CS:GO Weapon Case 3,2014-04-29,0.03,19413
CS:GO Weapon Case 3,2014-04-30,0.03,27242
CS:GO Weapon Case 3,2014-05-01,0.03,32658
CS:GO Weapon Case 3,2014-05-02,0.03,19508
CS:GO Weapon Case 3,2014-05-03,0.03,19354
CS:GO Weapon Case 3,2014-05-04,0.03,22506
CS:GO Weapon Case 3,2014-05-05,0.03,18978
CS:GO Weapon Case 3,2014-05-06,0.03,15405
CS:GO Weapon Case 3,2014-05-07,0.03,14905
CS:GO Weapon Case 3,2014-05-08,0.03,17099
CS:GO Weapon Case 3,2014-05-09,0.03,17994
CS:GO Weapon Case 3,2014-05-10,0.03,15986
CS:GO Weapon Case 3,2014-05-11,0.03,13210
CS:GO Weapon Case 3,2014-05-12,0.03,10778
CS:GO Weapon Case 3,2014-05-13,0.03,10600
CS:GO Weapon Case 3,2014-05-14,0.03,10526
CS:GO Weapon Case 3,2014-05-15,0.03,11292
CS:GO Weapon Case 3,2014-05-16,0.03,9850
CS:GO Weapon Case 3,2014-05-17,0.03,9950
CS:GO Weapon Case 3,2014-05-18,0.03,9245
CS:GO Weapon Case 3,2014-05-19,0.03,7456
CS:GO Weapon Case 3,2014-05-20,0.03,8398
CS:GO Weapon Case 3,2014-05-21,0.03,8311
CS:GO Weapon Case 3,2014-05-22,0.03,7991
CS:GO Weapon Case 3,2014-05-23,0.03,8082
CS:GO Weapon Case 3,2014-05-24,0.03,8084
CS:GO Weapon Case 3,2014-05-25,0.03,8685
CS:GO Weapon Case 3,2014-05-26,0.03,7349
CS:GO Weapon Case 3,2014-05-27,0.03,6073
CS:GO Weapon Case 3,2014-05-28,0.03,6169
CS:GO Weapon Case 3,2014-05-29,0.03,6711
CS:GO Weapon Case 3,2014-05-30,0.03,5980
CS:GO Weapon Case 3,2014-05-31,0.03,6083
CS:GO Weapon Case 3,2014-06-01,0.03,6643
CS:GO Weapon Case 3,2014-06-02,0.03,5942
CS:GO Weapon Case 3,2014-06-03,0.03,6558
CS:GO Weapon Case 3,2014-06-04,0.03,6221
CS:GO Weapon Case 3,2014-06-05,0.03,6576
CS:GO Weapon Case 3,2014-06-06,0.03,5674
CS:GO Weapon Case 3,2014-06-07,0.03,5678
CS:GO Weapon Case 3,2014-06-08,0.03,5721
CS:GO Weapon Case 3,2014-06-09,0.03,4955
CS:GO Weapon Case 3,2014-06-10,0.03,5170
CS:GO Weapon Case 3,2014-06-11,0.03,4767
CS:GO Weapon Case 3,2014-06-12,0.03,5491
CS:GO Weapon Case 3,2014-06-13,0.03,5440
CS:GO Weapon Case 3,2014-06-14,0.03,6752
CS:GO Weapon Case 3,2014-06-15,0.03,6433
CS:GO Weapon Case 3,2014-06-16,0.03,7119
CS:GO Weapon Case 3,2014-06-17,0.03,7292
CS:GO Weapon Case 3,2014-06-18,0.03,5978
CS:GO Weapon Case 3,2014-06-19,0.03,6292
CS:GO Weapon Case 3,2014-06-20,0.03,6642
CS:GO Weapon Case 3,2014-06-21,0.03,6991
CS:GO Weapon Case 3,2014-06-22,0.03,5632
CS:GO Weapon Case 3,2014-06-23,0.03,5987
CS:GO Weapon Case 3,2014-06-24,0.03,5262
CS:GO Weapon Case 3,2014-06-25,0.03,5684
CS:GO Weapon Case 3,2014-06-26,0.03,5866
CS:GO Weapon Case 3,2014-06-27,0.03,7430
CS:GO Weapon Case 3,2014-06-28,0.03,6780
CS:GO Weapon Case 3,2014-06-29,0.03,7045
CS:GO Weapon Case 3,2014-06-30,0.03,6507
CS:GO Weapon Case 3,2014-07-01,0.03,6897
CS:GO Weapon Case 3,2014-07-02,0.03,5833
CS:GO Weapon Case 3,2014-07-03,0.03,5067
CS:GO Weapon Case 3,2014-07-04,0.03,4989
CS:GO Weapon Case 3,2014-07-05,0.03,5579
CS:GO Weapon Case 3,2014-07-06,0.03,6372
CS:GO Weapon Case 3,2014-07-07,0.03,5479
CS:GO Weapon Case 3,2014-07-08,0.03,5929
CS:GO Weapon Case 3,2014-07-09,0.03,5240
CS:GO Weapon Case 3,2014-07-10,0.03,5720
CS:GO Weapon Case 3,2014-07-11,0.03,6399
CS:GO Weapon Case 3,2014-07-12,0.03,5873
CS:GO Weapon Case 3,2014-07-13,0.03,5972
CS:GO Weapon Case 3,2014-07-14,0.03,5410
CS:GO Weapon Case 3,2014-07-15,0.03,5819
CS:GO Weapon Case 3,2014-07-16,0.03,5487
CS:GO Weapon Case 3,2014-07-17,0.03,7525
CS:GO Weapon Case 3,2014-07-18,0.03,8981
CS:GO Weapon Case 3,2014-07-19,0.03,9839
CS:GO Weapon Case 3,2014-07-20,0.03,10331
CS:GO Weapon Case 3,2014-07-21,0.03,9180
CS:GO Weapon Case 3,2014-07-22,0.03,7691
CS:GO Weapon Case 3,2014-07-23,0.03,7695
CS:GO Weapon Case 3,2014-07-24,0.03,7164
CS:GO Weapon Case 3,2014-07-25,0.03,8654
CS:GO Weapon Case 3,2014-07-26,0.03,8789
CS:GO Weapon Case 3,2014-07-27,0.03,9058
CS:GO Weapon Case 3,2014-07-28,0.03,10383
CS:GO Weapon Case 3,2014-07-29,0.03,9760
CS:GO Weapon Case 3,2014-07-30,0.031,8894
CS:GO Weapon Case 3,2014-07-31,0.03,10527
CS:GO Weapon Case 3,2014-08-01,0.031,14591
CS:GO Weapon Case 3,2014-08-02,0.031,15306
CS:GO Weapon Case 3,2014-08-03,0.032,15909
CS:GO Weapon Case 3,2014-08-04,0.031,15543
CS:GO Weapon Case 3,2014-08-05,0.03,14692
CS:GO Weapon Case 3,2014-08-06,0.031,12382
