item,date,price,volume
CS:GO Weapon Case,2013-08-14,6.38,38
CS:GO Weapon Case,2013-08-15,4.067,5412
CS:GO Weapon Case,2013-08-16,2.507,9877
CS:GO Weapon Case,2013-08-17,1.961,11050
CS:GO Weapon Case,2013-08-18,1.994,11485
CS:GO Weapon Case,2013-08-19,2.0,9609
CS:GO Weapon Case,2013-08-20,1.994,8850
CS:GO Weapon Case,2013-08-21,1.99,7964
CS:GO Weapon Case,2013-08-22,1.687,11104
CS:GO Weapon Case,2013-08-23,1.326,13105
CS:GO Weapon Case,2013-08-24,1.189,13924
CS:GO Weapon Case,2013-08-25,1.138,13702
CS:GO Weapon Case,2013-08-26,1.081,11515
CS:GO Weapon Case,2013-08-27,1.076,10541
CS:GO Weapon Case,2013-08-28,1.068,9445
CS:GO Weapon Case,2013-08-29,0.901,10741
CS:GO Weapon Case,2013-08-30,0.798,14009
CS:GO Weapon Case,2013-08-31,0.741,14605
CS:GO Weapon Case,2013-09-01,0.677,15318
CS:GO Weapon Case,2013-09-02,0.646,14714
CS:GO Weapon Case,2013-09-03,0.65,12918
CS:GO Weapon Case,2013-09-04,0.627,11941
CS:GO Weapon Case,2013-09-05,0.586,11917
CS:GO Weapon Case,2013-09-06,0.548,13417
CS:GO Weapon Case,2013-09-07,0.511,16445
CS:GO Weapon Case,2013-09-08,0.434,18628
CS:GO Weapon Case,2013-09-09,0.422,15032
CS:GO Weapon Case,2013-09-10,0.407,13129
CS:GO Weapon Case,2013-09-11,0.405,12751
CS:GO Weapon Case,2013-09-12,0.388,12695
CS:GO Weapon Case,2013-09-13,0.465,25304
CS:GO Weapon Case,2013-09-14,0.464,19580
CS:GO Weapon Case,2013-09-15,0.432,19320
CS:GO Weapon Case,2013-09-16,0.411,14573
CS:GO Weapon Case,2013-09-17,0.394,13309
CS:GO Weapon Case,2013-09-18,0.385,12368
CS:GO Weapon Case,2013-09-19,0.371,12408
CS:GO Weapon Case,2013-09-20,0.307,14468
CS:GO Weapon Case,2013-09-21,0.248,16625
