item,date,price,volume
Chroma 2 Case,2015-04-16,6.143,115698
Chroma 2 Case,2015-04-17,3.723,110583
Chroma 2 Case,2015-04-18,2.588,135568
Chroma 2 Case,2015-04-19,2.0,120560
Chroma 2 Case,2015-04-20,2.146,98099
Chroma 2 Case,2015-04-21,1.929,97319
Chroma 2 Case,2015-04-22,1.854,88972
Chroma 2 Case,2015-04-23,1.64,99900
Chroma 2 Case,2015-04-24,1.638,110873
Chroma 2 Case,2015-04-25,1.49,126264
Chroma 2 Case,2015-04-26,1.265,125046
Chroma 2 Case,2015-04-27,1.305,105028
Chroma 2 Case,2015-04-28,1.298,97656
Chroma 2 Case,2015-04-29,1.295,97735
Chroma 2 Case,2015-04-30,1.264,111813
Chroma 2 Case,2015-05-01,1.095,127365
Chroma 2 Case,2015-05-02,1.139,127494
Chroma 2 Case,2015-05-03,0.958,125258
Chroma 2 Case,2015-05-04,0.942,118132
Chroma 2 Case,2015-05-05,0.981,103592
Chroma 2 Case,2015-05-06,0.958,97918
Chroma 2 Case,2015-05-07,0.938,96441
Chroma 2 Case,2015-05-08,0.931,117140
Chroma 2 Case,2015-05-09,0.867,128114
Chroma 2 Case,2015-05-10,0.8,121097
Chroma 2 Case,2015-05-11,0.759,108093
Chroma 2 Case,2015-05-12,0.755,102222
Chroma 2 Case,2015-05-13,0.765,105759
Chroma 2 Case,2015-05-14,0.78,106850
Chroma 2 Case,2015-05-15,0.783,113820
Chroma 2 Case,2015-05-16,0.711,125282
Chroma 2 Case,2015-05-17,0.638,125190
Chroma 2 Case,2015-05-18,0.64,110973
Chroma 2 Case,2015-05-19,0.643,102011
Chroma 2 Case,2015-05-20,0.626,98660
Chroma 2 Case,2015-05-21,0.615,101860
Chroma 2 Case,2015-05-22,0.614,119868
Chroma 2 Case,2015-05-23,0.582,123779
Chroma 2 Case,2015-05-24,0.495,129469
Chroma 2 Case,2015-05-25,0.505,133587
Chroma 2 Case,2015-05-26,0.517,120509
Chroma 2 Case,2015-05-27,0.236,138819
Chroma 2 Case,2015-05-28,0.26,139748
Chroma 2 Case,2015-05-29,0.289,167976
Chroma 2 Case,2015-05-30,0.363,146319
Chroma 2 Case,2015-05-31,0.33,143710
Chroma 2 Case,2015-06-01,0.342,136746
Chroma 2 Case,2015-06-02,0.37,122173
Chroma 2 Case,2015-06-03,0.352,112267
Chroma 2 Case,2015-06-04,0.272,113525
Chroma 2 Case,2015-06-05,0.242,128598
Chroma 2 Case,2015-06-06,0.254,127934
Chroma 2 Case,2015-06-07,0.25,121837
Chroma 2 Case,2015-06-08,0.246,114434
Chroma 2 Case,2015-06-09,0.252,115270
Chroma 2 Case,2015-06-10,0.259,126271
Chroma 2 Case,2015-06-11,0.245,105441
Chroma 2 Case,2015-06-12,0.231,129057
Chroma 2 Case,2015-06-13,0.227,125036
Chroma 2 Case,2015-06-14,0.201,122501
Chroma 2 Case,2015-06-15,0.181,115817
Chroma 2 Case,2015-06-16,0.174,116535
Chroma 2 Case,2015-06-17,0.173,115213
Chroma 2 Case,2015-06-18,0.163,113126
Chroma 2 Case,2015-06-19,0.156,118174
Chroma 2 Case,2015-06-20,0.158,122174
Chroma 2 Case,2015-06-21,0.137,108390
Chroma 2 Case,2015-06-22,0.124,108501
Chroma 2 Case,2015-06-23,0.13,107642
Chroma 2 Case,2015-06-24,0.139,119154
Chroma 2 Case,2015-06-25,0.156,130457
Chroma 2 Case,2015-06-26,0.171,130310
Chroma 2 Case,2015-06-27,0.176,122717
Chroma 2 Case,2015-06-28,0.171,119617
Chroma 2 Case,2015-06-29,0.159,121771
Chroma 2 Case,2015-06-30,0.173,135350
Chroma 2 Case,2015-07-01,0.185,122007
Chroma 2 Case,2015-07-02,0.19,120049
Chroma 2 Case,2015-07-03,0.194,121661
Chroma 2 Case,2015-07-04,0.209,117361
Chroma 2 Case,2015-07-05,0.203,115027
Chroma 2 Case,2015-07-06,0.192,121109
Chroma 2 Case,2015-07-07,0.191,122582
Chroma 2 Case,2015-07-08,0.181,116811
Chroma 2 Case,2015-07-09,0.178,129776
Chroma 2 Case,2015-07-10,0.197,138384
Chroma 2 Case,2015-07-11,0.216,126487
Chroma 2 Case,2015-07-12,0.205,125491
Chroma 2 Case,2015-07-13,0.184,130098
Chroma 2 Case,2015-07-14,0.18,126016
Chroma 2 Case,2015-07-15,0.176,128726
Chroma 2 Case,2015-07-16,0.178,127147
Chroma 2 Case,2015-07-17,0.184,131586
Chroma 2 Case,2015-07-18,0.194,126747
Chroma 2 Case,2015-07-19,0.185,120478
Chroma 2 Case,2015-07-20,0.17,133058
Chroma 2 Case,2015-07-21,0.164,124985
Chroma 2 Case,2015-07-22,0.159,126876
Chroma 2 Case,2015-07-23,0.155,134959
Chroma 2 Case,2015-07-24,0.169,148151
Chroma 2 Case,2015-07-25,0.184,128063
Chroma 2 Case,2015-07-26,0.166,117975
Chroma 2 Case,2015-07-27,0.162,129329
Chroma 2 Case,2015-07-28,0.153,122398
Chroma 2 Case,2015-07-29,0.15,117380
Chroma 2 Case,2015-07-30,0.149,128588
Chroma 2 Case,2015-07-31,0.16,138118
Chroma 2 Case,2015-08-01,0.159,127972
Chroma 2 Case,2015-08-02,0.152,120280
Chroma 2 Case,2015-08-03,0.147,124198
Chroma 2 Case,2015-08-04,0.146,116568
Chroma 2 Case,2015-08-05,0.146,120598
Chroma 2 Case,2015-08-06,0.143,124106
Chroma 2 Case,2015-08-07,0.14,123175
Chroma 2 Case,2015-08-08,0.135,123212
Chroma 2 Case,2015-08-09,0.134,116372
Chroma 2 Case,2015-08-10,0.122,117439
Chroma 2 Case,2015-08-11,0.113,121337
Chroma 2 Case,2015-08-12,0.104,122194
Chroma 2 Case,2015-08-13,0.113,117830
Chroma 2 Case,2015-08-14,0.117,127910
Chroma 2 Case,2015-08-15,0.104,125797
Chroma 2 Case,2015-08-16,0.095,116541
Chroma 2 Case,2015-08-17,0.082,113787
Chroma 2 Case,2015-08-18,0.084,109808
Chroma 2 Case,2015-08-19,0.081,107401
Chroma 2 Case,2015-08-20,0.079,111627
Chroma 2 Case,2015-08-21,0.082,124151
Chroma 2 Case,2015-08-22,0.079,121563
Chroma 2 Case,2015-08-23,0.062,112035
Chroma 2 Case,2015-08-24,0.049,114419
Chroma 2 Case,2015-08-25,0.074,133280
Chroma 2 Case,2015-08-26,0.084,129960
Chroma 2 Case,2015-08-27,0.089,137055
Chroma 2 Case,2015-08-28,0.099,155890
Chroma 2 Case,2015-08-29,0.116,145278
Chroma 2 Case,2015-08-30,0.116,144886
Chroma 2 Case,2015-08-31,0.114,142171
Chroma 2 Case,2015-09-01,0.127,129651
Chroma 2 Case,2015-09-02,0.132,122574
Chroma 2 Case,2015-09-03,0.131,124203
Chroma 2 Case,2015-09-04,0.134,137014
Chroma 2 Case,2015-09-05,0.125,152582
Chroma 2 Case,2015-09-06,0.106,138453
Chroma 2 Case,2015-09-07,0.108,121243
Chroma 2 Case,2015-09-08,0.118,119585
Chroma 2 Case,2015-09-09,0.117,102612
Chroma 2 Case,2015-09-10,0.114,122866
Chroma 2 Case,2015-09-11,0.113,134592
Chroma 2 Case,2015-09-12,0.109,151011
Chroma 2 Case,2015-09-13,0.099,138885
Chroma 2 Case,2015-09-14,0.1,116328
Chroma 2 Case,2015-09-15,0.103,115780
Chroma 2 Case,2015-09-16,0.101,114613
Chroma 2 Case,2015-09-17,0.096,115678
Chroma 2 Case,2015-09-18,0.084,148542
Chroma 2 Case,2015-09-19,0.062,144478
Chroma 2 Case,2015-09-20,0.048,137145
Chroma 2 Case,2015-09-21,0.054,118151
Chroma 2 Case,2015-09-22,0.052,117387
Chroma 2 Case,2015-09-23,0.054,117930
Chroma 2 Case,2015-09-24,0.053,118682
Chroma 2 Case,2015-09-25,0.058,149287
Chroma 2 Case,2015-09-26,0.055,145481
Chroma 2 Case,2015-09-27,0.048,149148
Chroma 2 Case,2015-09-28,0.051,110487
Chroma 2 Case,2015-09-29,0.051,116033
Chroma 2 Case,2015-09-30,0.052,127834
Chroma 2 Case,2015-10-01,0.056,136130
Chroma 2 Case,2015-10-02,0.059,144835
Chroma 2 Case,2015-10-03,0.059,158210
Chroma 2 Case,2015-10-04,0.057,134380
Chroma 2 Case,2015-10-05,0.058,122087
Chroma 2 Case,2015-10-06,0.065,107381
Chroma 2 Case,2015-10-07,0.065,112618
Chroma 2 Case,2015-10-08,0.065,103600
Chroma 2 Case,2015-10-09,0.061,115059
Chroma 2 Case,2015-10-10,0.061,127762
Chroma 2 Case,2015-10-11,0.053,127674
Chroma 2 Case,2015-10-12,0.057,105044
Chroma 2 Case,2015-10-13,0.057,95955
Chroma 2 Case,2015-10-14,0.052,93384
Chroma 2 Case,2015-10-15,0.051,92272
Chroma 2 Case,2015-10-16,0.053,104523
Chroma 2 Case,2015-10-17,0.05,117922
Chroma 2 Case,2015-10-18,0.043,112253
Chroma 2 Case,2015-10-19,0.045,93900
Chroma 2 Case,2015-10-20,0.045,97599
Chroma 2 Case,2015-10-21,0.042,106747
Chroma 2 Case,2015-10-22,0.041,91392
Chroma 2 Case,2015-10-23,0.045,147299
Chroma 2 Case,2015-10-24,0.044,153584
Chroma 2 Case,2015-10-25,0.04,144758
Chroma 2 Case,2015-10-26,0.041,103272
Chroma 2 Case,2015-10-27,0.038,120650
Chroma 2 Case,2015-10-28,0.038,114447
Chroma 2 Case,2015-10-29,0.038,114399
Chroma 2 Case,2015-10-30,0.039,131527
Chroma 2 Case,2015-10-31,0.035,137443
Chroma 2 Case,2015-11-01,0.031,138165
Chroma 2 Case,2015-11-02,0.032,110973
Chroma 2 Case,2015-11-03,0.033,108372
Chroma 2 Case,2015-11-04,0.037,104339
Chroma 2 Case,2015-11-05,0.035,105248
Chroma 2 Case,2015-11-06,0.036,117949
Chroma 2 Case,2015-11-07,0.034,130749
Chroma 2 Case,2015-11-08,0.032,115148
Chroma 2 Case,2015-11-09,0.03,102516
Chroma 2 Case,2015-11-10,0.03,115453
Chroma 2 Case,2015-11-11,0.03,114135
Chroma 2 Case,2015-11-12,0.03,102756
Chroma 2 Case,2015-11-13,0.031,116574
Chroma 2 Case,2015-11-14,0.031,126322
Chroma 2 Case,2015-11-15,0.03,132605
Chroma 2 Case,2015-11-16,0.033,135180
Chroma 2 Case,2015-11-17,0.035,124411
Chroma 2 Case,2015-11-18,0.039,93720
Chroma 2 Case,2015-11-19,0.035,96667
Chroma 2 Case,2015-11-20,0.037,98923
Chroma 2 Case,2015-11-21,0.034,121950
Chroma 2 Case,2015-11-22,0.03,114146
Chroma 2 Case,2015-11-23,0.03,101227
Chroma 2 Case,2015-11-24,0.03,129983
Chroma 2 Case,2015-11-25,0.031,124936
Chroma 2 Case,2015-11-26,0.03,165414
Chroma 2 Case,2015-11-27,0.03,156758
Chroma 2 Case,2015-11-28,0.03,164068
Chroma 2 Case,2015-11-29,0.03,139082
Chroma 2 Case,2015-11-30,0.03,133334
Chroma 2 Case,2015-12-01,0.03,131202
Chroma 2 Case,2015-12-02,0.03,118483
Chroma 2 Case,2015-12-03,0.03,118248
Chroma 2 Case,2015-12-04,0.03,131694
Chroma 2 Case,2015-12-05,0.03,147457
Chroma 2 Case,2015-12-06,0.03,159062
Chroma 2 Case,2015-12-07,0.03,124025
Chroma 2 Case,2015-12-08,0.03,110094
Chroma 2 Case,2015-12-09,0.03,118830
Chroma 2 Case,2015-12-10,0.03,123077
Chroma 2 Case,2015-12-11,0.03,128001
Chroma 2 Case,2015-12-12,0.03,154140
Chroma 2 Case,2015-12-13,0.03,134837
Chroma 2 Case,2015-12-14,0.03,128951
Chroma 2 Case,2015-12-15,0.032,125487
Chroma 2 Case,2015-12-16,0.035,110382
Chroma 2 Case,2015-12-17,0.038,109452
Chroma 2 Case,2015-12-18,0.037,117340
Chroma 2 Case,2015-12-19,0.035,125353
Chroma 2 Case,2015-12-20,0.033,120057
Chroma 2 Case,2015-12-21,0.032,116363
Chroma 2 Case,2015-12-22,0.035,113447
Chroma 2 Case,2015-12-23,0.032,137864
Chroma 2 Case,2015-12-24,0.036,144653
Chroma 2 Case,2015-12-25,0.041,160946
Chroma 2 Case,2015-12-26,0.042,157227
Chroma 2 Case,2015-12-27,0.038,152389
Chroma 2 Case,2015-12-28,0.039,142805
Chroma 2 Case,2015-12-29,0.037,149186
Chroma 2 Case,2015-12-30,0.039,141772
Chroma 2 Case,2015-12-31,0.039,152266
Chroma 2 Case,2016-01-01,0.041,143697
Chroma 2 Case,2016-01-02,0.04,148867
Chroma 2 Case,2016-01-03,0.037,146424
Chroma 2 Case,2016-01-04,0.037,129627
Chroma 2 Case,2016-01-05,0.039,120581
Chroma 2 Case,2016-01-06,0.04,108382
Chroma 2 Case,2016-01-07,0.04,124531
Chroma 2 Case,2016-01-08,0.042,126831
