item,date,price,volume
Gamma 2 Case,2016-08-19,4.539,53561
Gamma 2 Case,2016-08-20,2.529,50523
Gamma 2 Case,2016-08-21,1.773,49860
Gamma 2 Case,2016-08-22,1.43,52561
Gamma 2 Case,2016-08-23,1.189,49667
Gamma 2 Case,2016-08-24,1.097,48270
Gamma 2 Case,2016-08-25,1.087,49827
Gamma 2 Case,2016-08-26,1.022,51698
Gamma 2 Case,2016-08-27,1.012,49327
Gamma 2 Case,2016-08-28,0.846,49189
Gamma 2 Case,2016-08-29,0.747,49980
Gamma 2 Case,2016-08-30,0.67,49326
Gamma 2 Case,2016-08-31,0.692,48677
Gamma 2 Case,2016-09-01,0.725,42808
Gamma 2 Case,2016-09-02,0.745,43557
Gamma 2 Case,2016-09-03,0.673,47720
Gamma 2 Case,2016-09-04,0.567,46987
Gamma 2 Case,2016-09-05,0.613,44603
Gamma 2 Case,2016-09-06,0.571,39699
Gamma 2 Case,2016-09-07,0.551,39249
Gamma 2 Case,2016-09-08,0.529,42325
Gamma 2 Case,2016-09-09,0.551,46842
Gamma 2 Case,2016-09-10,0.497,52340
Gamma 2 Case,2016-09-11,0.429,51941
Gamma 2 Case,2016-09-12,0.444,42383
Gamma 2 Case,2016-09-13,0.443,40376
Gamma 2 Case,2016-09-14,0.446,38142
Gamma 2 Case,2016-09-15,0.456,42946
Gamma 2 Case,2016-09-16,0.46,47436
Gamma 2 Case,2016-09-17,0.393,55710
Gamma 2 Case,2016-09-18,0.358,54398
Gamma 2 Case,2016-09-19,0.36,41990
Gamma 2 Case,2016-09-20,0.376,41425
Gamma 2 Case,2016-09-21,0.383,39347
Gamma 2 Case,2016-09-22,0.382,40872
Gamma 2 Case,2016-09-23,0.389,49567
Gamma 2 Case,2016-09-24,0.359,52373
Gamma 2 Case,2016-09-25,0.323,53852
Gamma 2 Case,2016-09-26,0.319,43049
Gamma 2 Case,2016-09-27,0.325,42051
Gamma 2 Case,2016-09-28,0.335,39293
Gamma 2 Case,2016-09-29,0.34,43546
Gamma 2 Case,2016-09-30,0.348,52250
Gamma 2 Case,2016-10-01,0.338,56812
Gamma 2 Case,2016-10-02,0.324,55667
Gamma 2 Case,2016-10-03,0.323,44838
Gamma 2 Case,2016-10-04,0.324,41501
Gamma 2 Case,2016-10-05,0.321,41349
