item,date,price,volume
Glove Case,2016-11-29,6.102,53686
Glove Case,2016-11-30,3.379,49360
Glove Case,2016-12-01,2.567,48668
Glove Case,2016-12-02,1.968,54474
Glove Case,2016-12-03,1.527,64918
Glove Case,2016-12-04,1.23,61785
Glove Case,2016-12-05,1.148,46688
Glove Case,2016-12-06,1.036,44565
Glove Case,2016-12-07,0.974,45419
Glove Case,2016-12-08,1.046,44747
Glove Case,2016-12-09,0.955,46648
Glove Case,2016-12-10,0.767,53017
Glove Case,2016-12-11,0.635,52132
Glove Case,2016-12-12,0.624,41960
Glove Case,2016-12-13,0.632,37806
Glove Case,2016-12-14,0.596,36809
Glove Case,2016-12-15,0.542,37556
Glove Case,2016-12-16,0.497,41036
Glove Case,2016-12-17,0.424,49985
Glove Case,2016-12-18,0.358,49050
Glove Case,2016-12-19,0.31,45618
Glove Case,2016-12-20,0.329,41164
Glove Case,2016-12-21,0.327,41202
Glove Case,2016-12-22,0.325,43391
Glove Case,2016-12-23,0.336,43447
Glove Case,2016-12-24,0.361,51487
Glove Case,2016-12-25,0.421,64997
Glove Case,2016-12-26,0.525,53138
Glove Case,2016-12-27,0.411,50408
Glove Case,2016-12-28,0.376,44511
Glove Case,2016-12-29,0.35,45942
Glove Case,2016-12-30,0.331,48005
Glove Case,2016-12-31,0.357,43799
Glove Case,2017-01-01,0.352,44935
Glove Case,2017-01-02,0.368,43616
Glove Case,2017-01-03,0.284,42296
Glove Case,2017-01-04,0.25,41667
Glove Case,2017-01-05,0.242,44011
Glove Case,2017-01-06,0.234,46861
Glove Case,2017-01-07,0.232,48457
Glove Case,2017-01-08,0.225,45389
Glove Case,2017-01-09,0.213,37263
Glove Case,2017-01-10,0.207,37989
Glove Case,2017-01-11,0.204,37011
Glove Case,2017-01-12,0.193,37178
Glove Case,2017-01-13,0.186,48107
Glove Case,2017-01-14,0.187,51755
Glove Case,2017-01-15,0.167,46185
Glove Case,2017-01-16,0.155,40662
Glove Case,2017-01-17,0.158,39334
Glove Case,2017-01-18,0.158,38261
Glove Case,2017-01-19,0.151,38144
Glove Case,2017-01-20,0.151,43076
Glove Case,2017-01-21,0.149,49758
Glove Case,2017-01-22,0.134,45288
Glove Case,2017-01-23,0.111,40232
Glove Case,2017-01-24,0.092,37381
Glove Case,2017-01-25,0.111,42946
Glove Case,2017-01-26,0.116,42910
Glove Case,2017-01-27,0.12,44069
Glove Case,2017-01-28,0.122,50751
Glove Case,2017-01-29,0.116,48886
Glove Case,2017-01-30,0.1,39272
Glove Case,2017-01-31,0.105,41230
Glove Case,2017-02-01,0.12,41314
Glove Case,2017-02-02,0.13,41654
Glove Case,2017-02-03,0.129,42298
Glove Case,2017-02-04,0.129,50782
Glove Case,2017-02-05,0.121,43549
Glove Case,2017-02-06,0.12,38099
Glove Case,2017-02-07,0.118,38843
Glove Case,2017-02-08,0.115,37573
Glove Case,2017-02-09,0.109,36572
Glove Case,2017-02-10,0.106,41864
Glove Case,2017-02-11,0.102,47881
Glove Case,2017-02-12,0.093,46340
Glove Case,2017-02-13,0.088,35290
Glove Case,2017-02-14,0.08,32602
Glove Case,2017-02-15,0.075,33480
Glove Case,2017-02-16,0.082,36626
Glove Case,2017-02-17,0.085,38002
Glove Case,2017-02-18,0.083,43926
Glove Case,2017-02-19,0.077,43071
Glove Case,2017-02-20,0.072,33684
Glove Case,2017-02-21,0.071,32899
Glove Case,2017-02-22,0.071,32348
Glove Case,2017-02-23,0.069,36258
Glove Case,2017-02-24,0.077,41265
Glove Case,2017-02-25,0.08,47846
Glove Case,2017-02-26,0.077,46252
Glove Case,2017-02-27,0.076,39598
Glove Case,2017-02-28,0.078,41710
Glove Case,2017-03-01,0.077,39552
Glove Case,2017-03-02,0.077,37003
Glove Case,2017-03-03,0.079,40569
