item,date,price,volume
Huntsman Weapon Case,2014-05-02,6.629,38626
Huntsman Weapon Case,2014-05-03,4.428,39912
Huntsman Weapon Case,2014-05-04,3.641,39930
Huntsman Weapon Case,2014-05-05,3.4,33273
Huntsman Weapon Case,2014-05-06,2.943,31970
Huntsman Weapon Case,2014-05-07,2.74,31722
Huntsman Weapon Case,2014-05-08,2.442,32864
Huntsman Weapon Case,2014-05-09,2.284,35613
Huntsman Weapon Case,2014-05-10,1.991,39386
Huntsman Weapon Case,2014-05-11,1.648,41017
Huntsman Weapon Case,2014-05-12,1.654,31327
Huntsman Weapon Case,2014-05-13,1.541,29804
Huntsman Weapon Case,2014-05-14,1.545,30418
Huntsman Weapon Case,2014-05-15,1.537,31205
Huntsman Weapon Case,2014-05-16,1.448,32450
Huntsman Weapon Case,2014-05-17,1.296,38126
Huntsman Weapon Case,2014-05-18,1.176,38730
Huntsman Weapon Case,2014-05-19,1.137,33776
Huntsman Weapon Case,2014-05-20,1.228,32882
Huntsman Weapon Case,2014-05-21,1.164,31750
Huntsman Weapon Case,2014-05-22,1.099,32206
Huntsman Weapon Case,2014-05-23,1.132,40845
Huntsman Weapon Case,2014-05-24,1.11,40249
Huntsman Weapon Case,2014-05-25,1.02,38997
Huntsman Weapon Case,2014-05-26,0.975,36661
Huntsman Weapon Case,2014-05-27,0.95,33581
Huntsman Weapon Case,2014-05-28,0.93,38251
Huntsman Weapon Case,2014-05-29,0.967,37620
Huntsman Weapon Case,2014-05-30,0.948,36892
Huntsman Weapon Case,2014-05-31,0.896,34466
Huntsman Weapon Case,2014-06-01,0.818,35355
Huntsman Weapon Case,2014-06-02,0.775,35185
Huntsman Weapon Case,2014-06-03,0.773,38008
Huntsman Weapon Case,2014-06-04,0.776,36329
Huntsman Weapon Case,2014-06-05,0.797,36190
Huntsman Weapon Case,2014-06-06,0.78,37193
Huntsman Weapon Case,2014-06-07,0.747,36414
Huntsman Weapon Case,2014-06-08,0.676,36460
Huntsman Weapon Case,2014-06-09,0.635,34136
Huntsman Weapon Case,2014-06-10,0.618,36985
Huntsman Weapon Case,2014-06-11,0.597,35428
Huntsman Weapon Case,2014-06-12,1.153,57704
Huntsman Weapon Case,2014-06-13,1.05,39323
Huntsman Weapon Case,2014-06-14,0.959,36843
Huntsman Weapon Case,2014-06-15,0.863,37631
Huntsman Weapon Case,2014-06-16,0.848,35447
Huntsman Weapon Case,2014-06-17,0.827,34463
Huntsman Weapon Case,2014-06-18,0.788,35790
Huntsman Weapon Case,2014-06-19,0.762,38066
Huntsman Weapon Case,2014-06-20,0.725,40092
Huntsman Weapon Case,2014-06-21,0.689,38268
Huntsman Weapon Case,2014-06-22,0.617,36657
Huntsman Weapon Case,2014-06-23,0.556,35642
Huntsman Weapon Case,2014-06-24,0.528,37155
Huntsman Weapon Case,2014-06-25,0.557,43641
Huntsman Weapon Case,2014-06-26,0.563,36716
Huntsman Weapon Case,2014-06-27,0.581,44188
Huntsman Weapon Case,2014-06-28,0.605,40991
Huntsman Weapon Case,2014-06-29,0.577,41801
Huntsman Weapon Case,2014-06-30,0.567,45113
Huntsman Weapon Case,2014-07-01,0.612,42570
Huntsman Weapon Case,2014-07-02,0.334,51469
Huntsman Weapon Case,2014-07-03,0.299,44271
Huntsman Weapon Case,2014-07-04,0.342,42283
Huntsman Weapon Case,2014-07-05,0.375,40844
Huntsman Weapon Case,2014-07-06,0.379,40813
Huntsman Weapon Case,2014-07-07,0.374,40739
Huntsman Weapon Case,2014-07-08,0.372,38328
Huntsman Weapon Case,2014-07-09,0.364,35207
Huntsman Weapon Case,2014-07-10,0.332,35237
Huntsman Weapon Case,2014-07-11,0.299,39103
Huntsman Weapon Case,2014-07-12,0.289,35857
Huntsman Weapon Case,2014-07-13,0.285,34627
Huntsman Weapon Case,2014-07-14,0.282,35331
Huntsman Weapon Case,2014-07-15,0.281,36433
Huntsman Weapon Case,2014-07-16,0.28,33037
Huntsman Weapon Case,2014-07-17,0.284,28667
Huntsman Weapon Case,2014-07-18,0.287,26706
Huntsman Weapon Case,2014-07-19,0.3,28763
Huntsman Weapon Case,2014-07-20,0.294,26844
Huntsman Weapon Case,2014-07-21,0.276,26887
Huntsman Weapon Case,2014-07-22,0.261,27778
Huntsman Weapon Case,2014-07-23,0.257,31034
Huntsman Weapon Case,2014-07-24,0.256,30543
Huntsman Weapon Case,2014-07-25,0.278,39568
Huntsman Weapon Case,2014-07-26,0.305,35543
Huntsman Weapon Case,2014-07-27,0.299,34316
Huntsman Weapon Case,2014-07-28,0.302,37634
Huntsman Weapon Case,2014-07-29,0.307,39084
Huntsman Weapon Case,2014-07-30,0.338,35365
Huntsman Weapon Case,2014-07-31,0.357,35940
Huntsman Weapon Case,2014-08-01,0.371,36065
Huntsman Weapon Case,2014-08-02,0.399,35181
Huntsman Weapon Case,2014-08-03,0.395,33019
Huntsman Weapon Case,2014-08-04,0.378,33393
Huntsman Weapon Case,2014-08-05,0.345,35912
Huntsman Weapon Case,2014-08-06,0.335,37476
Huntsman Weapon Case,2014-08-07,0.359,37286
Huntsman Weapon Case,2014-08-08,0.373,36637
Huntsman Weapon Case,2014-08-09,0.387,35238
Huntsman Weapon Case,2014-08-10,0.387,32236
Huntsman Weapon Case,2014-08-11,0.382,35388
Huntsman Weapon Case,2014-08-12,0.379,33520
Huntsman Weapon Case,2014-08-13,0.371,33895
Huntsman Weapon Case,2014-08-14,0.37,35934
Huntsman Weapon Case,2014-08-15,0.4,40763
Huntsman Weapon Case,2014-08-16,0.411,40504
Huntsman Weapon Case,2014-08-17,0.378,42034
Huntsman Weapon Case,2014-08-18,0.372,38914
Huntsman Weapon Case,2014-08-19,0.393,39156
Huntsman Weapon Case,2014-08-20,0.394,38155
Huntsman Weapon Case,2014-08-21,0.395,37959
Huntsman Weapon Case,2014-08-22,0.416,41835
Huntsman Weapon Case,2014-08-23,0.442,42952
Huntsman Weapon Case,2014-08-24,0.434,37920
Huntsman Weapon Case,2014-08-25,0.461,44883
Huntsman Weapon Case,2014-08-26,0.495,39331
Huntsman Weapon Case,2014-08-27,0.512,37608
Huntsman Weapon Case,2014-08-28,0.522,38927
Huntsman Weapon Case,2014-08-29,0.568,48185
Huntsman Weapon Case,2014-08-30,0.627,41790
