item,date,price,volume
Operation Bravo Case,2013-09-21,13.493,1007
Operation Bravo Case,2013-09-22,6.084,4036
Operation Bravo Case,2013-09-23,4.975,3384
Operation Bravo Case,2013-09-24,4.615,3571
Operation Bravo Case,2013-09-25,4.433,3264
Operation Bravo Case,2013-09-26,4.42,3095
Operation Bravo Case,2013-09-27,4.599,3584
Operation Bravo Case,2013-09-28,4.294,4070
Operation Bravo Case,2013-09-29,3.162,5392
Operation Bravo Case,2013-09-30,3.475,4804
Operation Bravo Case,2013-10-01,3.398,4202
Operation Bravo Case,2013-10-02,3.362,3648
Operation Bravo Case,2013-10-03,3.367,3875
Operation Bravo Case,2013-10-04,3.347,3597
Operation Bravo Case,2013-10-05,3.126,4401
Operation Bravo Case,2013-10-06,2.713,5387
Operation Bravo Case,2013-10-07,2.549,5050
Operation Bravo Case,2013-10-08,2.644,4501
Operation Bravo Case,2013-10-09,2.613,4444
Operation Bravo Case,2013-10-10,2.633,3995
Operation Bravo Case,2013-10-11,2.496,5038
Operation Bravo Case,2013-10-12,2.134,6445
Operation Bravo Case,2013-10-13,1.827,7957
Operation Bravo Case,2013-10-14,1.708,7349
Operation Bravo Case,2013-10-15,1.729,6963
Operation Bravo Case,2013-10-16,1.722,6554
Operation Bravo Case,2013-10-17,1.784,5773
Operation Bravo Case,2013-10-18,1.827,6302
Operation Bravo Case,2013-10-19,1.679,7744
Operation Bravo Case,2013-10-20,1.519,8689
Operation Bravo Case,2013-10-21,1.541,7920
Operation Bravo Case,2013-10-22,1.503,6765
Operation Bravo Case,2013-10-23,1.497,7152
Operation Bravo Case,2013-10-24,1.498,6801
Operation Bravo Case,2013-10-25,1.581,8028
Operation Bravo Case,2013-10-26,1.503,8222
Operation Bravo Case,2013-10-27,1.41,9416
Operation Bravo Case,2013-10-28,1.352,8200
Operation Bravo Case,2013-10-29,1.348,8390
Operation Bravo Case,2013-10-30,1.338,7848
Operation Bravo Case,2013-10-31,1.299,7319
Operation Bravo Case,2013-11-01,1.321,7381
Operation Bravo Case,2013-11-02,1.295,7661
Operation Bravo Case,2013-11-03,1.199,7379
Operation Bravo Case,2013-11-04,1.087,7786
Operation Bravo Case,2013-11-05,1.05,8078
Operation Bravo Case,2013-11-06,1.06,7740
Operation Bravo Case,2013-11-07,1.162,6733
Operation Bravo Case,2013-11-08,0.85,9048
Operation Bravo Case,2013-11-09,0.573,10210
Operation Bravo Case,2013-11-10,0.43,10498
Operation Bravo Case,2013-11-11,0.424,8599
Operation Bravo Case,2013-11-12,0.44,8836
Operation Bravo Case,2013-11-13,0.47,7232
Operation Bravo Case,2013-11-14,0.439,7301
Operation Bravo Case,2013-11-15,0.397,7835
Operation Bravo Case,2013-11-16,0.401,8720
Operation Bravo Case,2013-11-17,0.353,10207
Operation Bravo Case,2013-11-18,0.361,8844
Operation Bravo Case,2013-11-19,0.398,9297
Operation Bravo Case,2013-11-20,0.462,7619
Operation Bravo Case,2013-11-21,0.431,8430
Operation Bravo Case,2013-11-22,0.446,9098
Operation Bravo Case,2013-11-23,0.418,10196
Operation Bravo Case,2013-11-24,0.392,10801
Operation Bravo Case,2013-11-25,0.453,10725
Operation Bravo Case,2013-11-26,0.471,9425
Operation Bravo Case,2013-11-27,0.493,9616
Operation Bravo Case,2013-11-28,0.463,9763
Operation Bravo Case,2013-11-29,0.504,12362
Operation Bravo Case,2013-11-30,0.48,14120
Operation Bravo Case,2013-12-01,0.477,16308
Operation Bravo Case,2013-12-02,0.464,13117
Operation Bravo Case,2013-12-03,0.478,12694
Operation Bravo Case,2013-12-04,0.508,11918
Operation Bravo Case,2013-12-05,0.528,12387
Operation Bravo Case,2013-12-06,0.543,13459
Operation Bravo Case,2013-12-07,0.507,14291
Operation Bravo Case,2013-12-08,0.481,16176
Operation Bravo Case,2013-12-09,0.483,14564
Operation Bravo Case,2013-12-10,0.48,12477
Operation Bravo Case,2013-12-11,0.48,13196
Operation Bravo Case,2013-12-12,0.474,13129
Operation Bravo Case,2013-12-13,0.475,14251
Operation Bravo Case,2013-12-14,0.459,14479
Operation Bravo Case,2013-12-15,0.43,14386
Operation Bravo Case,2013-12-16,0.408,14401
Operation Bravo Case,2013-12-17,0.403,12343
Operation Bravo Case,2013-12-18,0.401,13489
Operation Bravo Case,2013-12-19,0.258,14113
Operation Bravo Case,2013-12-20,0.149,13818
Operation Bravo Case,2013-12-21,0.128,14074
Operation Bravo Case,2013-12-22,0.109,13708
Operation Bravo Case,2013-12-23,0.105,14488
Operation Bravo Case,2013-12-24,0.114,16209
Operation Bravo Case,2013-12-25,0.15,13288
Operation Bravo Case,2013-12-26,0.173,17637
Operation Bravo Case,2013-12-27,0.178,18300
Operation Bravo Case,2013-12-28,0.163,17160
Operation Bravo Case,2013-12-29,0.138,14699
Operation Bravo Case,2013-12-30,0.117,15768
Operation Bravo Case,2013-12-31,0.114,13375
Operation Bravo Case,2014-01-01,0.116,14295
Operation Bravo Case,2014-01-02,0.113,16284
Operation Bravo Case,2014-01-03,0.107,11377
Operation Bravo Case,2014-01-04,0.107,19185
Operation Bravo Case,2014-01-05,0.103,18438
Operation Bravo Case,2014-01-06,0.101,18562
Operation Bravo Case,2014-01-07,0.101,17789
Operation Bravo Case,2014-01-08,0.104,16267
Operation Bravo Case,2014-01-09,0.105,18821
Operation Bravo Case,2014-01-10,0.107,20912
Operation Bravo Case,2014-01-11,0.115,19019
Operation Bravo Case,2014-01-12,0.097,18401
Operation Bravo Case,2014-01-13,0.09,17802
Operation Bravo Case,2014-01-14,0.09,17242
Operation Bravo Case,2014-01-15,0.095,18434
Operation Bravo Case,2014-01-16,0.1,18820
Operation Bravo Case,2014-01-17,0.102,18904
Operation Bravo Case,2014-01-18,0.101,21929
Operation Bravo Case,2014-01-19,0.096,22155
Operation Bravo Case,2014-01-20,0.096,21307
Operation Bravo Case,2014-01-21,0.099,20043
Operation Bravo Case,2014-01-22,0.1,18659
Operation Bravo Case,2014-01-23,0.1,19159
Operation Bravo Case,2014-01-24,0.104,22945
Operation Bravo Case,2014-01-25,0.104,23428
Operation Bravo Case,2014-01-26,0.111,23793
Operation Bravo Case,2014-01-27,0.104,21164
Operation Bravo Case,2014-01-28,0.102,20732
Operation Bravo Case,2014-01-29,0.101,21894
Operation Bravo Case,2014-01-30,0.099,20487
Operation Bravo Case,2014-01-31,0.103,26077
Operation Bravo Case,2014-02-01,0.109,30365
Operation Bravo Case,2014-02-02,0.107,27724
Operation Bravo Case,2014-02-03,0.11,25005
Operation Bravo Case,2014-02-04,0.112,24642
Operation Bravo Case,2014-02-05,0.114,23968
Operation Bravo Case,2014-02-06,0.127,34586
Operation Bravo Case,2014-02-07,0.226,29841
Operation Bravo Case,2014-02-08,0.258,18484
Operation Bravo Case,2014-02-09,0.22,15446
Operation Bravo Case,2014-02-10,0.211,12699
Operation Bravo Case,2014-02-11,0.217,12740
Operation Bravo Case,2014-02-12,0.228,11635
Operation Bravo Case,2014-02-13,0.244,13059
Operation Bravo Case,2014-02-14,0.268,13185
Operation Bravo Case,2014-02-15,0.29,13444
Operation Bravo Case,2014-02-16,0.307,11454
Operation Bravo Case,2014-02-17,0.33,10445
Operation Bravo Case,2014-02-18,0.354,9090
Operation Bravo Case,2014-02-19,0.389,9637
Operation Bravo Case,2014-02-20,0.426,10038
Operation Bravo Case,2014-02-21,0.331,11904
Operation Bravo Case,2014-02-22,0.302,10425
Operation Bravo Case,2014-02-23,0.325,8864
Operation Bravo Case,2014-02-24,0.372,8834
Operation Bravo Case,2014-02-25,0.415,8432
Operation Bravo Case,2014-02-26,0.458,7316
Operation Bravo Case,2014-02-27,0.502,7705
Operation Bravo Case,2014-02-28,0.548,9529
Operation Bravo Case,2014-03-01,0.579,8703
Operation Bravo Case,2014-03-02,0.608,7780
Operation Bravo Case,2014-03-03,0.681,7389
Operation Bravo Case,2014-03-04,0.764,6968
Operation Bravo Case,2014-03-05,0.805,5397
Operation Bravo Case,2014-03-06,0.793,5388
Operation Bravo Case,2014-03-07,0.749,5221
Operation Bravo Case,2014-03-08,0.687,5809
Operation Bravo Case,2014-03-09,0.636,5410
Operation Bravo Case,2014-03-10,0.628,4861
Operation Bravo Case,2014-03-11,0.674,4812
Operation Bravo Case,2014-03-12,0.728,3958
Operation Bravo Case,2014-03-13,0.754,3259
Operation Bravo Case,2014-03-14,0.767,4725
Operation Bravo Case,2014-03-15,0.699,5978
Operation Bravo Case,2014-03-16,0.662,5846
Operation Bravo Case,2014-03-17,0.747,4770
Operation Bravo Case,2014-03-18,0.795,4429
Operation Bravo Case,2014-03-19,0.817,4157
Operation Bravo Case,2014-03-20,0.835,4095
Operation Bravo Case,2014-03-21,0.841,4455
Operation Bravo Case,2014-03-22,0.856,5303
Operation Bravo Case,2014-03-23,0.881,4235
Operation Bravo Case,2014-03-24,0.953,4274
Operation Bravo Case,2014-03-25,1.037,3944
Operation Bravo Case,2014-03-26,1.139,3843
Operation Bravo Case,2014-03-27,1.165,3682
Operation Bravo Case,2014-03-28,1.16,4149
Operation Bravo Case,2014-03-29,1.192,4263
Operation Bravo Case,2014-03-30,1.269,4178
Operation Bravo Case,2014-03-31,1.457,4070
Operation Bravo Case,2014-04-01,1.572,2483
Operation Bravo Case,2014-04-02,1.475,2958
Operation Bravo Case,2014-04-03,1.522,3007
Operation Bravo Case,2014-04-04,1.524,3590
Operation Bravo Case,2014-04-05,1.517,3390
Operation Bravo Case,2014-04-06,1.47,3371
Operation Bravo Case,2014-04-07,1.473,3073
Operation Bravo Case,2014-04-08,1.483,2852
Operation Bravo Case,2014-04-09,1.493,2656
Operation Bravo Case,2014-04-10,1.514,2647
Operation Bravo Case,2014-04-11,1.567,3267
Operation Bravo Case,2014-04-12,1.559,2930
Operation Bravo Case,2014-04-13,1.532,2703
Operation Bravo Case,2014-04-14,1.559,2737
Operation Bravo Case,2014-04-15,1.538,2449
Operation Bravo Case,2014-04-16,1.594,3381
Operation Bravo Case,2014-04-17,1.573,2593
Operation Bravo Case,2014-04-18,1.547,3003
Operation Bravo Case,2014-04-19,1.536,2410
Operation Bravo Case,2014-04-20,1.528,2695
Operation Bravo Case,2014-04-21,1.52,2689
Operation Bravo Case,2014-04-22,1.534,2951
Operation Bravo Case,2014-04-23,1.557,2279
Operation Bravo Case,2014-04-24,1.535,2258
Operation Bravo Case,2014-04-25,1.614,2556
Operation Bravo Case,2014-04-26,1.665,2843
Operation Bravo Case,2014-04-27,1.685,2912
Operation Bravo Case,2014-04-28,1.685,2345
Operation Bravo Case,2014-04-29,1.71,2476
Operation Bravo Case,2014-04-30,1.758,2414
Operation Bravo Case,2014-05-01,1.868,2436
Operation Bravo Case,2014-05-02,1.628,1589
Operation Bravo Case,2014-05-03,1.414,2273
Operation Bravo Case,2014-05-04,1.314,2105
Operation Bravo Case,2014-05-05,1.253,1983
Operation Bravo Case,2014-05-06,1.272,1854
Operation Bravo Case,2014-05-07,1.339,1810
Operation Bravo Case,2014-05-08,1.395,1887
Operation Bravo Case,2014-05-09,1.375,1957
Operation Bravo Case,2014-05-10,1.255,2055
Operation Bravo Case,2014-05-11,1.082,2063
Operation Bravo Case,2014-05-12,1.062,1656
Operation Bravo Case,2014-05-13,1.041,1446
Operation Bravo Case,2014-05-14,1.053,1571
Operation Bravo Case,2014-05-15,1.097,1825
Operation Bravo Case,2014-05-16,1.122,2025
Operation Bravo Case,2014-05-17,1.118,1843
Operation Bravo Case,2014-05-18,1.062,1821
Operation Bravo Case,2014-05-19,1.043,1552
Operation Bravo Case,2014-05-20,1.132,1611
Operation Bravo Case,2014-05-21,1.194,1558
Operation Bravo Case,2014-05-22,1.194,1527
Operation Bravo Case,2014-05-23,1.284,1778
Operation Bravo Case,2014-05-24,1.35,1678
Operation Bravo Case,2014-05-25,1.217,1571
Operation Bravo Case,2014-05-26,1.191,1535
Operation Bravo Case,2014-05-27,1.197,1803
Operation Bravo Case,2014-05-28,1.25,1709
Operation Bravo Case,2014-05-29,1.214,1568
Operation Bravo Case,2014-05-30,1.226,1590
Operation Bravo Case,2014-05-31,1.315,2034
Operation Bravo Case,2014-06-01,1.309,1614
Operation Bravo Case,2014-06-02,1.29,1343
Operation Bravo Case,2014-06-03,1.263,1355
Operation Bravo Case,2014-06-04,1.212,1485
Operation Bravo Case,2014-06-05,1.312,1562
Operation Bravo Case,2014-06-06,1.323,1419
Operation Bravo Case,2014-06-07,1.345,1625
Operation Bravo Case,2014-06-08,1.355,1348
Operation Bravo Case,2014-06-09,1.434,1277
Operation Bravo Case,2014-06-10,1.408,1317
Operation Bravo Case,2014-06-11,1.373,1311
Operation Bravo Case,2014-06-12,1.356,1632
Operation Bravo Case,2014-06-13,1.373,1727
Operation Bravo Case,2014-06-14,1.474,1827
Operation Bravo Case,2014-06-15,1.445,1671
Operation Bravo Case,2014-06-16,1.461,1446
Operation Bravo Case,2014-06-17,1.453,1232
Operation Bravo Case,2014-06-18,1.473,1542
Operation Bravo Case,2014-06-19,1.48,2149
Operation Bravo Case,2014-06-20,1.437,1853
Operation Bravo Case,2014-06-21,1.381,2250
Operation Bravo Case,2014-06-22,1.276,1883
Operation Bravo Case,2014-06-23,1.19,1873
Operation Bravo Case,2014-06-24,1.302,1759
Operation Bravo Case,2014-06-25,1.447,2193
Operation Bravo Case,2014-06-26,1.459,1614
Operation Bravo Case,2014-06-27,1.512,1814
Operation Bravo Case,2014-06-28,1.593,1774
Operation Bravo Case,2014-06-29,1.562,1812
Operation Bravo Case,2014-06-30,1.533,1853
Operation Bravo Case,2014-07-01,1.675,1598
Operation Bravo Case,2014-07-02,1.206,1656
Operation Bravo Case,2014-07-03,1.329,1400
Operation Bravo Case,2014-07-04,1.438,1265
Operation Bravo Case,2014-07-05,1.486,1257
Operation Bravo Case,2014-07-06,1.599,1497
Operation Bravo Case,2014-07-07,1.568,1286
Operation Bravo Case,2014-07-08,1.557,1152
Operation Bravo Case,2014-07-09,1.638,1186
Operation Bravo Case,2014-07-10,1.653,1056
Operation Bravo Case,2014-07-11,1.578,1146
Operation Bravo Case,2014-07-12,1.543,1097
Operation Bravo Case,2014-07-13,1.494,1135
Operation Bravo Case,2014-07-14,1.626,1071
Operation Bravo Case,2014-07-15,1.579,1167
Operation Bravo Case,2014-07-16,1.646,1060
Operation Bravo Case,2014-07-17,1.638,1089
Operation Bravo Case,2014-07-18,1.653,1048
Operation Bravo Case,2014-07-19,1.697,1257
Operation Bravo Case,2014-07-20,1.691,1104
Operation Bravo Case,2014-07-21,1.683,1010
Operation Bravo Case,2014-07-22,1.754,1062
Operation Bravo Case,2014-07-23,1.811,1325
Operation Bravo Case,2014-07-24,1.857,984
Operation Bravo Case,2014-07-25,2.001,1329
Operation Bravo Case,2014-07-26,2.086,1168
Operation Bravo Case,2014-07-27,2.127,1132
Operation Bravo Case,2014-07-28,2.229,1130
Operation Bravo Case,2014-07-29,2.186,1018
Operation Bravo Case,2014-07-30,2.129,966
Operation Bravo Case,2014-07-31,2.205,1301
Operation Bravo Case,2014-08-01,2.297,1004
Operation Bravo Case,2014-08-02,2.351,1012
Operation Bravo Case,2014-08-03,2.465,1220
Operation Bravo Case,2014-08-04,2.646,1095
Operation Bravo Case,2014-08-05,2.506,983
Operation Bravo Case,2014-08-06,2.84,1090
Operation Bravo Case,2014-08-07,2.895,1055
Operation Bravo Case,2014-08-08,2.961,940
Operation Bravo Case,2014-08-09,3.216,913
Operation Bravo Case,2014-08-10,3.135,743
Operation Bravo Case,2014-08-11,2.967,791
Operation Bravo Case,2014-08-12,2.945,853
Operation Bravo Case,2014-08-13,2.911,939
Operation Bravo Case,2014-08-14,2.834,927
Operation Bravo Case,2014-08-15,2.916,1203
Operation Bravo Case,2014-08-16,2.983,1019
Operation Bravo Case,2014-08-17,2.747,1214
Operation Bravo Case,2014-08-18,2.796,1007
Operation Bravo Case,2014-08-19,2.848,869
Operation Bravo Case,2014-08-20,2.919,898
Operation Bravo Case,2014-08-21,2.894,948
Operation Bravo Case,2014-08-22,2.977,891
Operation Bravo Case,2014-08-23,3.149,914
Operation Bravo Case,2014-08-24,3.209,964
Operation Bravo Case,2014-08-25,3.302,1073
Operation Bravo Case,2014-08-26,3.281,811
Operation Bravo Case,2014-08-27,3.383,1200
Operation Bravo Case,2014-08-28,3.437,808
Operation Bravo Case,2014-08-29,3.39,917
Operation Bravo Case,2014-08-30,3.537,1001
Operation Bravo Case,2014-08-31,3.631,816
Operation Bravo Case,2014-09-01,3.786,1021
Operation Bravo Case,2014-09-02,3.832,709
Operation Bravo Case,2014-09-03,3.86,799
Operation Bravo Case,2014-09-04,3.646,523
Operation Bravo Case,2014-09-05,3.624,753
Operation Bravo Case,2014-09-06,3.427,673
Operation Bravo Case,2014-09-07,3.377,811
Operation Bravo Case,2014-09-08,3.373,640
Operation Bravo Case,2014-09-09,3.432,806
Operation Bravo Case,2014-09-10,3.525,656
Operation Bravo Case,2014-09-11,3.548,758
Operation Bravo Case,2014-09-12,3.63,800
Operation Bravo Case,2014-09-13,3.718,884
Operation Bravo Case,2014-09-14,3.42,708
Operation Bravo Case,2014-09-15,3.568,718
Operation Bravo Case,2014-09-16,3.583,581
Operation Bravo Case,2014-09-17,3.628,609
Operation Bravo Case,2014-09-18,3.692,709
Operation Bravo Case,2014-09-19,3.734,674
Operation Bravo Case,2014-09-20,3.68,604
Operation Bravo Case,2014-09-21,3.462,625
Operation Bravo Case,2014-09-22,3.416,615
Operation Bravo Case,2014-09-23,3.431,623
Operation Bravo Case,2014-09-24,3.556,574
Operation Bravo Case,2014-09-25,3.637,655
Operation Bravo Case,2014-09-26,3.694,770
Operation Bravo Case,2014-09-27,3.612,768
Operation Bravo Case,2014-09-28,3.557,806
Operation Bravo Case,2014-09-29,3.572,671
Operation Bravo Case,2014-09-30,3.685,658
Operation Bravo Case,2014-10-01,3.696,558
Operation Bravo Case,2014-10-02,3.64,614
Operation Bravo Case,2014-10-03,3.648,779
Operation Bravo Case,2014-10-04,3.495,783
Operation Bravo Case,2014-10-05,3.538,932
Operation Bravo Case,2014-10-06,3.471,557
Operation Bravo Case,2014-10-07,3.434,571
Operation Bravo Case,2014-10-08,3.421,600
Operation Bravo Case,2014-10-09,3.468,634
Operation Bravo Case,2014-10-10,3.456,631
Operation Bravo Case,2014-10-11,3.422,807
Operation Bravo Case,2014-10-12,3.281,683
Operation Bravo Case,2014-10-13,3.328,611
Operation Bravo Case,2014-10-14,3.299,589
Operation Bravo Case,2014-10-15,3.455,590
Operation Bravo Case,2014-10-16,3.496,617
Operation Bravo Case,2014-10-17,3.552,759
Operation Bravo Case,2014-10-18,3.426,748
Operation Bravo Case,2014-10-19,3.238,658
Operation Bravo Case,2014-10-20,3.313,644
Operation Bravo Case,2014-10-21,3.342,591
Operation Bravo Case,2014-10-22,3.271,600
Operation Bravo Case,2014-10-23,3.379,677
Operation Bravo Case,2014-10-24,3.408,861
Operation Bravo Case,2014-10-25,3.443,744
Operation Bravo Case,2014-10-26,3.444,802
Operation Bravo Case,2014-10-27,3.394,700
Operation Bravo Case,2014-10-28,3.517,727
Operation Bravo Case,2014-10-29,3.51,644
Operation Bravo Case,2014-10-30,3.559,694
Operation Bravo Case,2014-10-31,3.653,911
Operation Bravo Case,2014-11-01,3.563,802
Operation Bravo Case,2014-11-02,3.47,771
Operation Bravo Case,2014-11-03,3.617,698
Operation Bravo Case,2014-11-04,3.604,738
Operation Bravo Case,2014-11-05,3.547,565
Operation Bravo Case,2014-11-06,3.596,595
Operation Bravo Case,2014-11-07,3.551,699
Operation Bravo Case,2014-11-08,3.497,795
Operation Bravo Case,2014-11-09,3.413,721
Operation Bravo Case,2014-11-10,3.446,505
Operation Bravo Case,2014-11-11,3.456,650
Operation Bravo Case,2014-11-12,2.878,823
Operation Bravo Case,2014-11-13,2.736,617
Operation Bravo Case,2014-11-14,2.819,613
Operation Bravo Case,2014-11-15,2.736,639
Operation Bravo Case,2014-11-16,2.605,666
Operation Bravo Case,2014-11-17,2.747,505
Operation Bravo Case,2014-11-18,2.866,617
Operation Bravo Case,2014-11-19,2.913,413
Operation Bravo Case,2014-11-20,2.853,485
Operation Bravo Case,2014-11-21,2.806,495
Operation Bravo Case,2014-11-22,2.612,536
Operation Bravo Case,2014-11-23,2.526,601
Operation Bravo Case,2014-11-24,2.528,551
Operation Bravo Case,2014-11-25,2.666,585
Operation Bravo Case,2014-11-26,2.776,621
Operation Bravo Case,2014-11-27,2.802,685
Operation Bravo Case,2014-11-28,2.894,767
Operation Bravo Case,2014-11-29,2.873,813
Operation Bravo Case,2014-11-30,2.659,773
Operation Bravo Case,2014-12-01,2.744,721
Operation Bravo Case,2014-12-02,2.972,706
Operation Bravo Case,2014-12-03,3.098,662
Operation Bravo Case,2014-12-04,3.232,639
Operation Bravo Case,2014-12-05,3.17,561
Operation Bravo Case,2014-12-06,3.15,670
Operation Bravo Case,2014-12-07,3.047,624
Operation Bravo Case,2014-12-08,3.09,572
Operation Bravo Case,2014-12-09,3.063,505
Operation Bravo Case,2014-12-10,3.067,591
Operation Bravo Case,2014-12-11,3.111,620
Operation Bravo Case,2014-12-12,3.13,680
Operation Bravo Case,2014-12-13,2.876,801
Operation Bravo Case,2014-12-14,2.9,748
Operation Bravo Case,2014-12-15,2.97,672
Operation Bravo Case,2014-12-16,2.982,691
Operation Bravo Case,2014-12-17,2.893,842
Operation Bravo Case,2014-12-18,3.013,777
Operation Bravo Case,2014-12-19,3.069,859
Operation Bravo Case,2014-12-20,3.093,774
Operation Bravo Case,2014-12-21,3.012,746
Operation Bravo Case,2014-12-22,2.966,704
Operation Bravo Case,2014-12-23,3.011,926
Operation Bravo Case,2014-12-24,3.332,1095
Operation Bravo Case,2014-12-25,3.498,1127
Operation Bravo Case,2014-12-26,3.556,1148
Operation Bravo Case,2014-12-27,3.587,966
