item,date,price,volume
Prisma 2 Case,2020-03-31,14.947,204
Prisma 2 Case,2020-04-01,6.592,72019
Prisma 2 Case,2020-04-02,4.109,61762
Prisma 2 Case,2020-04-03,3.57,57591
Prisma 2 Case,2020-04-04,3.116,61528
Prisma 2 Case,2020-04-05,2.662,61834
Prisma 2 Case,2020-04-06,2.16,62425
Prisma 2 Case,2020-04-07,1.9,61106
Prisma 2 Case,2020-04-08,1.871,61126
Prisma 2 Case,2020-04-09,1.86,63773
Prisma 2 Case,2020-04-10,1.878,63804
Prisma 2 Case,2020-04-11,1.728,65385
Prisma 2 Case,2020-04-12,1.625,66367
Prisma 2 Case,2020-04-13,1.428,63352
Prisma 2 Case,2020-04-14,1.271,66532
Prisma 2 Case,2020-04-15,1.38,67998
Prisma 2 Case,2020-04-16,1.402,63755
Prisma 2 Case,2020-04-17,1.296,72474
Prisma 2 Case,2020-04-18,1.277,68039
Prisma 2 Case,2020-04-19,1.135,67624
Prisma 2 Case,2020-04-20,1.013,66208
Prisma 2 Case,2020-04-21,0.865,72584
Prisma 2 Case,2020-04-22,0.738,79282
Prisma 2 Case,2020-04-23,0.731,78500
Prisma 2 Case,2020-04-24,0.756,79183
Prisma 2 Case,2020-04-25,0.771,79398
Prisma 2 Case,2020-04-26,0.745,74824
Prisma 2 Case,2020-04-27,0.69,73264
Prisma 2 Case,2020-04-28,0.656,72354
Prisma 2 Case,2020-04-29,0.668,77040
Prisma 2 Case,2020-04-30,0.708,81024
Prisma 2 Case,2020-05-01,0.734,76129
Prisma 2 Case,2020-05-02,0.722,71426
Prisma 2 Case,2020-05-03,0.714,68777
Prisma 2 Case,2020-05-04,0.652,67888
Prisma 2 Case,2020-05-05,0.631,70063
Prisma 2 Case,2020-05-06,0.628,69644
Prisma 2 Case,2020-05-07,0.592,65075
Prisma 2 Case,2020-05-08,0.577,72010
Prisma 2 Case,2020-05-09,0.601,67472
Prisma 2 Case,2020-05-10,0.58,64690
Prisma 2 Case,2020-05-11,0.555,64023
Prisma 2 Case,2020-05-12,0.515,66067
Prisma 2 Case,2020-05-13,0.489,63278
Prisma 2 Case,2020-05-14,0.468,66161
Prisma 2 Case,2020-05-15,0.482,69510
Prisma 2 Case,2020-05-16,0.503,61256
Prisma 2 Case,2020-05-17,0.475,59531
Prisma 2 Case,2020-05-18,0.447,57292
Prisma 2 Case,2020-05-19,0.406,60150
Prisma 2 Case,2020-05-20,0.411,63756
Prisma 2 Case,2020-05-21,0.415,61395
Prisma 2 Case,2020-05-22,0.413,64922
Prisma 2 Case,2020-05-23,0.421,62605
Prisma 2 Case,2020-05-24,0.402,61952
Prisma 2 Case,2020-05-25,0.381,55541
Prisma 2 Case,2020-05-26,0.364,57945
Prisma 2 Case,2020-05-27,0.339,61646
Prisma 2 Case,2020-05-28,0.343,67238
Prisma 2 Case,2020-05-29,0.355,73878
Prisma 2 Case,2020-05-30,0.382,66980
Prisma 2 Case,2020-05-31,0.381,61954
Prisma 2 Case,2020-06-01,0.353,60291
Prisma 2 Case,2020-06-02,0.347,56127
Prisma 2 Case,2020-06-03,0.353,58926
Prisma 2 Case,2020-06-04,0.349,56226
Prisma 2 Case,2020-06-05,0.347,59246
Prisma 2 Case,2020-06-06,0.358,58733
Prisma 2 Case,2020-06-07,0.353,54912
Prisma 2 Case,2020-06-08,0.331,52925
Prisma 2 Case,2020-06-09,0.321,54442
Prisma 2 Case,2020-06-10,0.325,56149
Prisma 2 Case,2020-06-11,0.324,56399
Prisma 2 Case,2020-06-12,0.331,55836
Prisma 2 Case,2020-06-13,0.328,52437
Prisma 2 Case,2020-06-14,0.316,54467
Prisma 2 Case,2020-06-15,0.285,52306
Prisma 2 Case,2020-06-16,0.269,52881
Prisma 2 Case,2020-06-17,0.258,53317
Prisma 2 Case,2020-06-18,0.256,57414
