item,date,price,volume
Recoil Case,2022-07-01,14.008,6647
Recoil Case,2022-07-02,6.783,65281
Recoil Case,2022-07-03,4.555,55152
Recoil Case,2022-07-04,3.684,50299
Recoil Case,2022-07-05,3.341,51490
Recoil Case,2022-07-06,3.081,48629
Recoil Case,2022-07-07,2.88,46443
Recoil Case,2022-07-08,2.999,46589
Recoil Case,2022-07-09,2.884,48132
Recoil Case,2022-07-10,2.719,51081
Recoil Case,2022-07-11,2.36,50493
Recoil Case,2022-07-12,2.127,50648
Recoil Case,2022-07-13,2.696,37200
Recoil Case,2022-07-14,1.996,56559
Recoil Case,2022-07-15,2.203,50139
Recoil Case,2022-07-16,2.189,47237
Recoil Case,2022-07-17,2.035,50884
Recoil Case,2022-07-18,1.881,49456
Recoil Case,2022-07-19,1.897,52242
Recoil Case,2022-07-20,2.391,35997
Recoil Case,2022-07-21,1.804,57351
Recoil Case,2022-07-22,1.823,52011
Recoil Case,2022-07-23,1.798,51178
Recoil Case,2022-07-24,1.685,53426
Recoil Case,2022-07-25,1.601,49300
Recoil Case,2022-07-26,1.53,51140
Recoil Case,2022-07-27,1.452,50145
Recoil Case,2022-07-28,1.432,52670
Recoil Case,2022-07-29,1.507,51395
Recoil Case,2022-07-30,1.574,52145
Recoil Case,2022-07-31,1.544,53298
Recoil Case,2022-08-01,1.525,51219
Recoil Case,2022-08-02,1.504,57665
Recoil Case,2022-08-03,1.486,56267
Recoil Case,2022-08-04,1.479,54929
Recoil Case,2022-08-05,1.5,52829
Recoil Case,2022-08-06,1.521,53575
Recoil Case,2022-08-07,1.506,55789
Recoil Case,2022-08-08,1.467,51034
Recoil Case,2022-08-09,1.433,33465
Recoil Case,2022-08-10,1.409,58787
Recoil Case,2022-08-11,1.378,54180
Recoil Case,2022-08-12,1.35,54843
Recoil Case,2022-08-13,1.348,53064
Recoil Case,2022-08-14,1.315,56553
Recoil Case,2022-08-15,1.265,50257
Recoil Case,2022-08-16,1.251,55551
Recoil Case,2022-08-17,1.185,66124
Recoil Case,2022-08-18,1.131,62426
Recoil Case,2022-08-19,1.127,63611
Recoil Case,2022-08-20,1.171,61336
Recoil Case,2022-08-21,1.185,61191
Recoil Case,2022-08-22,1.15,56380
Recoil Case,2022-08-23,1.158,53111
Recoil Case,2022-08-24,1.149,55892
Recoil Case,2022-08-25,1.131,55897
Recoil Case,2022-08-26,1.149,57210
Recoil Case,2022-08-27,1.191,60186
Recoil Case,2022-08-28,1.203,62632
Recoil Case,2022-08-29,1.204,57664
Recoil Case,2022-08-30,1.168,56906
Recoil Case,2022-08-31,1.183,57621
Recoil Case,2022-09-01,1.203,57288
Recoil Case,2022-09-02,1.217,59450
Recoil Case,2022-09-03,1.239,63970
Recoil Case,2022-09-04,1.236,59985
Recoil Case,2022-09-05,1.239,56224
Recoil Case,2022-09-06,1.239,52519
Recoil Case,2022-09-07,1.216,53515
Recoil Case,2022-09-08,1.215,54998
Recoil Case,2022-09-09,1.21,58077
Recoil Case,2022-09-10,1.216,64264
Recoil Case,2022-09-11,1.206,63338
Recoil Case,2022-09-12,1.184,50375
Recoil Case,2022-09-13,1.171,52929
Recoil Case,2022-09-14,1.159,55406
Recoil Case,2022-09-15,1.143,55491
Recoil Case,2022-09-16,1.13,55616
Recoil Case,2022-09-17,1.101,62363
Recoil Case,2022-09-18,1.05,61388
Recoil Case,2022-09-19,1.003,52618
Recoil Case,2022-09-20,0.981,53105
Recoil Case,2022-09-21,0.947,53280
Recoil Case,2022-09-22,0.887,55279
