item,date,price,volume
Revolver Case,2015-12-09,6.181,132808
Revolver Case,2015-12-10,3.001,130328
Revolver Case,2015-12-11,2.086,126642
Revolver Case,2015-12-12,1.277,145214
Revolver Case,2015-12-13,0.884,142921
Revolver Case,2015-12-14,0.843,105522
Revolver Case,2015-12-15,0.729,99286
Revolver Case,2015-12-16,0.63,90332
Revolver Case,2015-12-17,0.497,95675
Revolver Case,2015-12-18,0.419,103558
Revolver Case,2015-12-19,0.333,111600
Revolver Case,2015-12-20,0.256,117279
Revolver Case,2015-12-21,0.247,99142
Revolver Case,2015-12-22,0.24,97851
Revolver Case,2015-12-23,0.235,100348
Revolver Case,2015-12-24,0.242,100473
Revolver Case,2015-12-25,0.332,107868
Revolver Case,2015-12-26,0.334,107189
Revolver Case,2015-12-27,0.2,106444
Revolver Case,2015-12-28,0.175,105383
Revolver Case,2015-12-29,0.157,96093
Revolver Case,2015-12-30,0.145,95931
Revolver Case,2015-12-31,0.136,86298
Revolver Case,2016-01-01,0.133,93122
Revolver Case,2016-01-02,0.106,82989
Revolver Case,2016-01-03,0.069,72980
Revolver Case,2016-01-04,0.06,71960
Revolver Case,2016-01-05,0.061,69291
Revolver Case,2016-01-06,0.061,70054
Revolver Case,2016-01-07,0.056,65094
Revolver Case,2016-01-08,0.056,74173
Revolver Case,2016-01-09,0.056,82783
Revolver Case,2016-01-10,0.051,67088
Revolver Case,2016-01-11,0.047,54678
Revolver Case,2016-01-12,0.04,59375
Revolver Case,2016-01-13,0.043,52762
Revolver Case,2016-01-14,0.041,61929
Revolver Case,2016-01-15,0.039,72997
Revolver Case,2016-01-16,0.037,82764
Revolver Case,2016-01-17,0.031,74647
Revolver Case,2016-01-18,0.031,67645
Revolver Case,2016-01-19,0.03,61119
Revolver Case,2016-01-20,0.03,58102
Revolver Case,2016-01-21,0.03,63197
Revolver Case,2016-01-22,0.03,59435
Revolver Case,2016-01-23,0.03,85076
Revolver Case,2016-01-24,0.03,64358
Revolver Case,2016-01-25,0.03,62451
