item,date,price,volume
Shattered Web Case,2019-11-18,3.22,2055
Shattered Web Case,2019-11-19,1.102,263089
Shattered Web Case,2019-11-20,1.094,117090
Shattered Web Case,2019-11-21,1.145,78466
Shattered Web Case,2019-11-22,1.124,69147
Shattered Web Case,2019-11-23,1.123,60552
Shattered Web Case,2019-11-24,1.153,49755
Shattered Web Case,2019-11-25,1.296,35983
Shattered Web Case,2019-11-26,1.196,53929
Shattered Web Case,2019-11-27,0.694,131507
Shattered Web Case,2019-11-28,0.735,69923
Shattered Web Case,2019-11-29,0.879,59022
Shattered Web Case,2019-11-30,0.94,46878
Shattered Web Case,2019-12-01,0.883,39549
Shattered Web Case,2019-12-02,0.834,32320
Shattered Web Case,2019-12-03,0.79,33805
Shattered Web Case,2019-12-04,0.801,35784
Shattered Web Case,2019-12-05,0.76,34671
Shattered Web Case,2019-12-06,0.816,31499
Shattered Web Case,2019-12-07,0.804,33439
Shattered Web Case,2019-12-08,0.795,29101
Shattered Web Case,2019-12-09,0.781,24105
Shattered Web Case,2019-12-10,0.745,24898
Shattered Web Case,2019-12-11,0.716,28134
Shattered Web Case,2019-12-12,0.744,24498
Shattered Web Case,2019-12-13,0.803,26750
Shattered Web Case,2019-12-14,0.85,25654
Shattered Web Case,2019-12-15,0.834,23704
Shattered Web Case,2019-12-16,0.816,20636
Shattered Web Case,2019-12-17,0.75,31543
Shattered Web Case,2019-12-18,0.493,69863
Shattered Web Case,2019-12-19,0.498,43522
Shattered Web Case,2019-12-20,0.52,39292
Shattered Web Case,2019-12-21,0.567,36203
Shattered Web Case,2019-12-22,0.57,32157
Shattered Web Case,2019-12-23,0.606,30738
Shattered Web Case,2019-12-24,0.634,32315
Shattered Web Case,2019-12-25,0.565,69971
Shattered Web Case,2019-12-26,0.582,47117
Shattered Web Case,2019-12-27,0.558,41551
Shattered Web Case,2019-12-28,0.569,37408
Shattered Web Case,2019-12-29,0.589,32254
Shattered Web Case,2019-12-30,0.632,33683
Shattered Web Case,2019-12-31,0.677,28889
Shattered Web Case,2020-01-01,0.656,36262
Shattered Web Case,2020-01-02,0.635,34176
Shattered Web Case,2020-01-03,0.653,32577
Shattered Web Case,2020-01-04,0.689,29421
Shattered Web Case,2020-01-05,0.685,26532
Shattered Web Case,2020-01-06,0.679,22892
Shattered Web Case,2020-01-07,0.664,22780
Shattered Web Case,2020-01-08,0.626,28540
Shattered Web Case,2020-01-09,0.647,25831
Shattered Web Case,2020-01-10,0.645,27389
Shattered Web Case,2020-01-11,0.636,29212
Shattered Web Case,2020-01-12,0.638,26162
Shattered Web Case,2020-01-13,0.641,21894
Shattered Web Case,2020-01-14,0.627,27713
Shattered Web Case,2020-01-15,0.515,71627
Shattered Web Case,2020-01-16,0.514,42397
Shattered Web Case,2020-01-17,0.539,37036
Shattered Web Case,2020-01-18,0.557,35200
Shattered Web Case,2020-01-19,0.569,32717
Shattered Web Case,2020-01-20,0.561,26007
Shattered Web Case,2020-01-21,0.547,30013
Shattered Web Case,2020-01-22,0.497,63342
Shattered Web Case,2020-01-23,0.499,45083
Shattered Web Case,2020-01-24,0.512,43953
Shattered Web Case,2020-01-25,0.52,41719
Shattered Web Case,2020-01-26,0.519,35149
Shattered Web Case,2020-01-27,0.515,27683
Shattered Web Case,2020-01-28,0.522,28214
Shattered Web Case,2020-01-29,0.533,34565
Shattered Web Case,2020-01-30,0.549,26552
Shattered Web Case,2020-01-31,0.578,33772
Shattered Web Case,2020-02-01,0.599,36756
Shattered Web Case,2020-02-02,0.6,31830
Shattered Web Case,2020-02-03,0.616,28035
Shattered Web Case,2020-02-04,0.648,32733
Shattered Web Case,2020-02-05,0.65,33192
Shattered Web Case,2020-02-06,0.65,30233
Shattered Web Case,2020-02-07,0.557,64651
Shattered Web Case,2020-02-08,0.545,61714
Shattered Web Case,2020-02-09,0.525,54015
Shattered Web Case,2020-02-10,0.513,43302
Shattered Web Case,2020-02-11,0.503,45464
Shattered Web Case,2020-02-12,0.496,84103
Shattered Web Case,2020-02-13,0.524,61945
Shattered Web Case,2020-02-14,0.561,55876
Shattered Web Case,2020-02-15,0.565,58739
Shattered Web Case,2020-02-16,0.537,52680
Shattered Web Case,2020-02-17,0.53,42503
Shattered Web Case,2020-02-18,0.517,39526
Shattered Web Case,2020-02-19,0.511,57605
Shattered Web Case,2020-02-20,0.504,46761
Shattered Web Case,2020-02-21,0.511,46852
Shattered Web Case,2020-02-22,0.509,48153
Shattered Web Case,2020-02-23,0.505,48898
Shattered Web Case,2020-02-24,0.511,46030
Shattered Web Case,2020-02-25,0.535,71009
Shattered Web Case,2020-02-26,0.58,135620
Shattered Web Case,2020-02-27,0.704,123736
Shattered Web Case,2020-02-28,0.865,96230
Shattered Web Case,2020-02-29,0.826,78891
Shattered Web Case,2020-03-01,0.736,70722
Shattered Web Case,2020-03-02,0.706,54619
Shattered Web Case,2020-03-03,0.669,57198
Shattered Web Case,2020-03-04,0.671,81919
Shattered Web Case,2020-03-05,0.613,70552
Shattered Web Case,2020-03-06,0.634,63850
Shattered Web Case,2020-03-07,0.641,66423
Shattered Web Case,2020-03-08,0.631,61567
Shattered Web Case,2020-03-09,0.644,65784
Shattered Web Case,2020-03-10,0.675,49467
Shattered Web Case,2020-03-11,0.653,46697
Shattered Web Case,2020-03-12,0.644,48276
Shattered Web Case,2020-03-13,0.616,50848
Shattered Web Case,2020-03-14,0.589,57887
Shattered Web Case,2020-03-15,0.546,60899
Shattered Web Case,2020-03-16,0.514,53186
Shattered Web Case,2020-03-17,0.516,49678
Shattered Web Case,2020-03-18,0.53,47635
Shattered Web Case,2020-03-19,0.538,44914
Shattered Web Case,2020-03-20,0.534,46603
Shattered Web Case,2020-03-21,0.555,47193
Shattered Web Case,2020-03-22,0.586,50710
Shattered Web Case,2020-03-23,0.607,50446
Shattered Web Case,2020-03-24,0.593,40219
Shattered Web Case,2020-03-25,0.57,47482
Shattered Web Case,2020-03-26,0.567,43293
Shattered Web Case,2020-03-27,0.607,48091
Shattered Web Case,2020-03-28,0.639,46213
Shattered Web Case,2020-03-29,0.628,54027
Shattered Web Case,2020-03-30,0.573,96674
Shattered Web Case,2020-03-31,0.561,85460
Shattered Web Case,2020-04-01,0.899,231520
Shattered Web Case,2020-04-02,0.866,61165
Shattered Web Case,2020-04-03,0.766,56026
Shattered Web Case,2020-04-04,0.869,81330
Shattered Web Case,2020-04-05,0.868,40672
Shattered Web Case,2020-04-06,0.822,33190
Shattered Web Case,2020-04-07,0.781,35270
Shattered Web Case,2020-04-08,0.762,31477
Shattered Web Case,2020-04-09,0.753,33262
Shattered Web Case,2020-04-10,0.743,29633
Shattered Web Case,2020-04-11,0.707,33283
Shattered Web Case,2020-04-12,0.704,26574
Shattered Web Case,2020-04-13,0.714,25233
Shattered Web Case,2020-04-14,0.779,37852
Shattered Web Case,2020-04-15,0.83,31003
Shattered Web Case,2020-04-16,0.814,23220
Shattered Web Case,2020-04-17,0.787,23418
Shattered Web Case,2020-04-18,0.794,21774
Shattered Web Case,2020-04-19,0.787,19615
Shattered Web Case,2020-04-20,0.767,17740
Shattered Web Case,2020-04-21,0.741,17067
Shattered Web Case,2020-04-22,0.73,17087
Shattered Web Case,2020-04-23,0.707,16373
Shattered Web Case,2020-04-24,0.688,16677
Shattered Web Case,2020-04-25,0.716,15716
Shattered Web Case,2020-04-26,0.715,16496
Shattered Web Case,2020-04-27,0.692,15418
Shattered Web Case,2020-04-28,0.693,16356
Shattered Web Case,2020-04-29,0.714,16541
Shattered Web Case,2020-04-30,0.728,17514
Shattered Web Case,2020-05-01,0.76,22989
Shattered Web Case,2020-05-02,0.787,18824
Shattered Web Case,2020-05-03,0.786,15625
Shattered Web Case,2020-05-04,0.77,13703
Shattered Web Case,2020-05-05,0.768,13804
Shattered Web Case,2020-05-06,0.778,14205
Shattered Web Case,2020-05-07,0.796,19304
Shattered Web Case,2020-05-08,0.843,27782
Shattered Web Case,2020-05-09,0.884,24723
Shattered Web Case,2020-05-10,0.931,35946
Shattered Web Case,2020-05-11,1.004,42711
Shattered Web Case,2020-05-12,1.045,28666
Shattered Web Case,2020-05-13,1.008,21199
Shattered Web Case,2020-05-14,1.029,19116
Shattered Web Case,2020-05-15,1.078,25699
Shattered Web Case,2020-05-16,1.293,53447
Shattered Web Case,2020-05-17,1.364,28998
Shattered Web Case,2020-05-18,1.299,20099
Shattered Web Case,2020-05-19,1.225,18367
Shattered Web Case,2020-05-20,1.28,15721
Shattered Web Case,2020-05-21,1.316,14511
Shattered Web Case,2020-05-22,1.281,13893
Shattered Web Case,2020-05-23,1.247,13962
Shattered Web Case,2020-05-24,1.232,14123
Shattered Web Case,2020-05-25,1.141,18635
Shattered Web Case,2020-05-26,1.089,23711
Shattered Web Case,2020-05-27,1.13,13839
Shattered Web Case,2020-05-28,1.168,12301
Shattered Web Case,2020-05-29,1.197,13610
Shattered Web Case,2020-05-30,1.221,11675
Shattered Web Case,2020-05-31,1.223,11485
Shattered Web Case,2020-06-01,1.217,9665
Shattered Web Case,2020-06-02,1.188,9257
Shattered Web Case,2020-06-03,1.164,9369
Shattered Web Case,2020-06-04,1.182,9751
Shattered Web Case,2020-06-05,1.158,9639
Shattered Web Case,2020-06-06,1.156,9237
Shattered Web Case,2020-06-07,1.138,8975
Shattered Web Case,2020-06-08,1.102,11725
Shattered Web Case,2020-06-09,1.108,8703
Shattered Web Case,2020-06-10,1.107,8499
Shattered Web Case,2020-06-11,1.125,7558
Shattered Web Case,2020-06-12,1.098,8174
Shattered Web Case,2020-06-13,1.097,7666
Shattered Web Case,2020-06-14,1.091,7679
Shattered Web Case,2020-06-15,1.089,8052
Shattered Web Case,2020-06-16,1.081,9076
Shattered Web Case,2020-06-17,1.074,9908
Shattered Web Case,2020-06-18,1.087,9110
Shattered Web Case,2020-06-19,1.07,8883
Shattered Web Case,2020-06-20,1.072,8316
Shattered Web Case,2020-06-21,1.06,9071
Shattered Web Case,2020-06-22,1.058,7500
Shattered Web Case,2020-06-23,1.039,9551
Shattered Web Case,2020-06-24,0.998,14371
Shattered Web Case,2020-06-25,0.98,18338
Shattered Web Case,2020-06-26,1.093,22660
Shattered Web Case,2020-06-27,1.158,13891
Shattered Web Case,2020-06-28,1.146,10869
Shattered Web Case,2020-06-29,1.148,10378
Shattered Web Case,2020-06-30,1.164,12064
Shattered Web Case,2020-07-01,1.188,10206
Shattered Web Case,2020-07-02,1.195,9922
