item,date,price,volume
Spectrum 2 Case,2017-09-14,14.961,119
Spectrum 2 Case,2017-09-15,4.78,52778
Spectrum 2 Case,2017-09-16,2.512,56599
Spectrum 2 Case,2017-09-17,1.813,53560
Spectrum 2 Case,2017-09-18,1.703,42196
Spectrum 2 Case,2017-09-19,1.554,39616
Spectrum 2 Case,2017-09-20,1.454,39865
Spectrum 2 Case,2017-09-21,1.291,39402
Spectrum 2 Case,2017-09-22,1.126,45566
Spectrum 2 Case,2017-09-23,0.896,54331
Spectrum 2 Case,2017-09-24,0.764,51039
Spectrum 2 Case,2017-09-25,0.855,40850
Spectrum 2 Case,2017-09-26,0.883,42519
Spectrum 2 Case,2017-09-27,0.826,36489
Spectrum 2 Case,2017-09-28,0.806,38346
Spectrum 2 Case,2017-09-29,0.824,45324
Spectrum 2 Case,2017-09-30,0.745,49974
Spectrum 2 Case,2017-10-01,0.638,48863
Spectrum 2 Case,2017-10-02,0.647,40028
Spectrum 2 Case,2017-10-03,0.649,38528
Spectrum 2 Case,2017-10-04,0.591,38482
Spectrum 2 Case,2017-10-05,0.587,37454
Spectrum 2 Case,2017-10-06,0.573,44325
Spectrum 2 Case,2017-10-07,0.543,48810
Spectrum 2 Case,2017-10-08,0.454,46466
Spectrum 2 Case,2017-10-09,0.401,41664
Spectrum 2 Case,2017-10-10,0.416,38245
Spectrum 2 Case,2017-10-11,0.452,40150
Spectrum 2 Case,2017-10-12,0.476,38846
Spectrum 2 Case,2017-10-13,0.466,43817
Spectrum 2 Case,2017-10-14,0.433,50031
Spectrum 2 Case,2017-10-15,0.377,47556
Spectrum 2 Case,2017-10-16,0.374,40286
Spectrum 2 Case,2017-10-17,0.386,37672
Spectrum 2 Case,2017-10-18,0.378,36757
Spectrum 2 Case,2017-10-19,0.376,39268
Spectrum 2 Case,2017-10-20,0.383,44623
Spectrum 2 Case,2017-10-21,0.359,48342
Spectrum 2 Case,2017-10-22,0.312,47202
Spectrum 2 Case,2017-10-23,0.304,38889
Spectrum 2 Case,2017-10-24,0.302,36258
Spectrum 2 Case,2017-10-25,0.303,38598
Spectrum 2 Case,2017-10-26,0.301,39357
Spectrum 2 Case,2017-10-27,0.301,44154
Spectrum 2 Case,2017-10-28,0.28,48957
Spectrum 2 Case,2017-10-29,0.247,44742
Spectrum 2 Case,2017-10-30,0.231,40175
Spectrum 2 Case,2017-10-31,0.26,43075
Spectrum 2 Case,2017-11-01,0.273,39575
Spectrum 2 Case,2017-11-02,0.277,38110
Spectrum 2 Case,2017-11-03,0.269,38188
