item,date,price,volume
Spectrum Case,2017-03-16,7.45,58571
Spectrum Case,2017-03-17,4.8,58383
Spectrum Case,2017-03-18,3.459,71172
Spectrum Case,2017-03-19,2.785,70474
Spectrum Case,2017-03-20,3.116,50443
Spectrum Case,2017-03-21,3.233,47382
Spectrum Case,2017-03-22,2.944,45106
Spectrum Case,2017-03-23,2.636,47111
Spectrum Case,2017-03-24,2.476,57631
Spectrum Case,2017-03-25,2.091,66350
Spectrum Case,2017-03-26,1.794,65801
Spectrum Case,2017-03-27,1.753,51333
Spectrum Case,2017-03-28,1.772,46645
Spectrum Case,2017-03-29,1.719,44795
Spectrum Case,2017-03-30,1.662,47452
Spectrum Case,2017-03-31,1.68,54821
Spectrum Case,2017-04-01,1.466,62732
Spectrum Case,2017-04-02,1.299,62853
Spectrum Case,2017-04-03,1.295,51479
Spectrum Case,2017-04-04,1.337,48038
Spectrum Case,2017-04-05,1.312,46023
Spectrum Case,2017-04-06,1.233,46067
Spectrum Case,2017-04-07,1.2,53228
Spectrum Case,2017-04-08,1.08,63524
Spectrum Case,2017-04-09,0.945,61927
Spectrum Case,2017-04-10,0.943,55742
Spectrum Case,2017-04-11,0.985,50613
Spectrum Case,2017-04-12,0.94,47554
Spectrum Case,2017-04-13,0.92,53870
Spectrum Case,2017-04-14,0.977,55757
Spectrum Case,2017-04-15,0.863,56065
Spectrum Case,2017-04-16,0.798,60984
Spectrum Case,2017-04-17,0.815,55727
Spectrum Case,2017-04-18,0.809,52757
Spectrum Case,2017-04-19,0.83,47651
Spectrum Case,2017-04-20,0.843,48890
Spectrum Case,2017-04-21,0.841,52804
Spectrum Case,2017-04-22,0.761,59115
Spectrum Case,2017-04-23,0.72,57768
Spectrum Case,2017-04-24,0.67,49821
Spectrum Case,2017-04-25,0.734,50638
Spectrum Case,2017-04-26,0.762,47542
Spectrum Case,2017-04-27,0.77,46292
Spectrum Case,2017-04-28,0.775,55778
Spectrum Case,2017-04-29,0.742,58843
Spectrum Case,2017-04-30,0.68,56627
Spectrum Case,2017-05-01,0.655,54045
Spectrum Case,2017-05-02,0.652,47908
Spectrum Case,2017-05-03,0.664,46677
Spectrum Case,2017-05-04,0.668,45223
Spectrum Case,2017-05-05,0.662,52160
Spectrum Case,2017-05-06,0.619,58429
Spectrum Case,2017-05-07,0.614,58087
Spectrum Case,2017-05-08,0.578,49417
Spectrum Case,2017-05-09,0.541,49033
Spectrum Case,2017-05-10,0.566,45456
Spectrum Case,2017-05-11,0.586,45245
Spectrum Case,2017-05-12,0.592,52610
Spectrum Case,2017-05-13,0.576,57875
Spectrum Case,2017-05-14,0.545,55015
Spectrum Case,2017-05-15,0.563,47194
Spectrum Case,2017-05-16,0.572,44033
Spectrum Case,2017-05-17,0.589,43264
Spectrum Case,2017-05-18,0.589,44292
Spectrum Case,2017-05-19,0.59,49692
Spectrum Case,2017-05-20,0.549,54045
Spectrum Case,2017-05-21,0.491,52182
Spectrum Case,2017-05-22,0.486,44502
Spectrum Case,2017-05-23,0.499,44434
