item,date,price,volume
Winter Offensive Weapon Case,2013-12-19,5.184,11433
Winter Offensive Weapon Case,2013-12-20,3.196,14869
Winter Offensive Weapon Case,2013-12-21,2.507,15204
Winter Offensive Weapon Case,2013-12-22,2.012,16540
Winter Offensive Weapon Case,2013-12-23,1.761,17821
Winter Offensive Weapon Case,2013-12-24,1.884,16755
Winter Offensive Weapon Case,2013-12-25,1.937,10996
Winter Offensive Weapon Case,2013-12-26,1.811,16180
Winter Offensive Weapon Case,2013-12-27,1.819,16182
Winter Offensive Weapon Case,2013-12-28,1.6,15987
Winter Offensive Weapon Case,2013-12-29,1.28,17539
Winter Offensive Weapon Case,2013-12-30,1.162,20863
Winter Offensive Weapon Case,2013-12-31,1.188,17306
Winter Offensive Weapon Case,2014-01-01,1.233,16530
Winter Offensive Weapon Case,2014-01-02,1.196,18773
Winter Offensive Weapon Case,2014-01-03,1.104,15280
Winter Offensive Weapon Case,2014-01-04,1.144,23520
Winter Offensive Weapon Case,2014-01-05,1.09,20449
Winter Offensive Weapon Case,2014-01-06,1.034,20946
Winter Offensive Weapon Case,2014-01-07,1.017,20498
Winter Offensive Weapon Case,2014-01-08,1.004,17222
Winter Offensive Weapon Case,2014-01-09,0.974,18546
Winter Offensive Weapon Case,2014-01-10,0.973,21389
Winter Offensive Weapon Case,2014-01-11,1.028,19969
Winter Offensive Weapon Case,2014-01-12,0.836,24148
Winter Offensive Weapon Case,2014-01-13,0.809,21847
Winter Offensive Weapon Case,2014-01-14,0.838,20206
Winter Offensive Weapon Case,2014-01-15,0.856,18566
Winter Offensive Weapon Case,2014-01-16,0.846,18864
Winter Offensive Weapon Case,2014-01-17,0.857,19611
Winter Offensive Weapon Case,2014-01-18,0.805,22641
Winter Offensive Weapon Case,2014-01-19,0.745,23312
Winter Offensive Weapon Case,2014-01-20,0.729,21794
Winter Offensive Weapon Case,2014-01-21,0.731,20812
Winter Offensive Weapon Case,2014-01-22,0.71,19401
Winter Offensive Weapon Case,2014-01-23,0.7,20196
Winter Offensive Weapon Case,2014-01-24,0.752,23292
Winter Offensive Weapon Case,2014-01-25,0.777,25422
Winter Offensive Weapon Case,2014-01-26,0.838,23295
Winter Offensive Weapon Case,2014-01-27,0.755,19661
Winter Offensive Weapon Case,2014-01-28,0.734,20147
Winter Offensive Weapon Case,2014-01-29,0.68,20108
Winter Offensive Weapon Case,2014-01-30,0.637,21143
Winter Offensive Weapon Case,2014-01-31,0.638,24534
Winter Offensive Weapon Case,2014-02-01,0.634,26218
Winter Offensive Weapon Case,2014-02-02,0.605,24660
Winter Offensive Weapon Case,2014-02-03,0.588,21512
Winter Offensive Weapon Case,2014-02-04,0.582,20633
Winter Offensive Weapon Case,2014-02-05,0.571,19866
Winter Offensive Weapon Case,2014-02-06,0.554,21363
Winter Offensive Weapon Case,2014-02-07,0.553,24511
Winter Offensive Weapon Case,2014-02-08,0.557,24671
Winter Offensive Weapon Case,2014-02-09,0.497,25581
Winter Offensive Weapon Case,2014-02-10,0.463,21393
Winter Offensive Weapon Case,2014-02-11,0.452,22115
Winter Offensive Weapon Case,2014-02-12,0.427,22393
Winter Offensive Weapon Case,2014-02-13,0.39,22539
Winter Offensive Weapon Case,2014-02-14,0.357,24938
Winter Offensive Weapon Case,2014-02-15,0.331,27714
Winter Offensive Weapon Case,2014-02-16,0.303,26687
Winter Offensive Weapon Case,2014-02-17,0.313,27365
Winter Offensive Weapon Case,2014-02-18,0.321,24601
Winter Offensive Weapon Case,2014-02-19,0.34,23047
Winter Offensive Weapon Case,2014-02-20,0.328,23023
Winter Offensive Weapon Case,2014-02-21,0.256,24770
Winter Offensive Weapon Case,2014-02-22,0.196,27234
Winter Offensive Weapon Case,2014-02-23,0.176,27693
Winter Offensive Weapon Case,2014-02-24,0.179,28494
Winter Offensive Weapon Case,2014-02-25,0.216,33913
Winter Offensive Weapon Case,2014-02-26,0.28,27876
