item,date,price,volume
eSports 2014 Summer Case,2014-07-11,3.684,39928
eSports 2014 Summer Case,2014-07-12,1.877,36117
eSports 2014 Summer Case,2014-07-13,1.437,35854
eSports 2014 Summer Case,2014-07-14,1.182,35373
eSports 2014 Summer Case,2014-07-15,1.0,39089
eSports 2014 Summer Case,2014-07-16,0.86,36751
eSports 2014 Summer Case,2014-07-17,0.793,29072
eSports 2014 Summer Case,2014-07-18,0.701,28648
eSports 2014 Summer Case,2014-07-19,0.664,27909
eSports 2014 Summer Case,2014-07-20,0.562,31336
eSports 2014 Summer Case,2014-07-21,0.525,33718
eSports 2014 Summer Case,2014-07-22,0.524,33647
eSports 2014 Summer Case,2014-07-23,0.512,34015
eSports 2014 Summer Case,2014-07-24,0.479,34774
eSports 2014 Summer Case,2014-07-25,0.54,40808
eSports 2014 Summer Case,2014-07-26,0.524,38394
eSports 2014 Summer Case,2014-07-27,0.527,42388
eSports 2014 Summer Case,2014-07-28,0.516,38736
eSports 2014 Summer Case,2014-07-29,0.476,39330
eSports 2014 Summer Case,2014-07-30,0.443,31120
eSports 2014 Summer Case,2014-07-31,0.392,35830
eSports 2014 Summer Case,2014-08-01,0.43,43236
eSports 2014 Summer Case,2014-08-02,0.465,37438
eSports 2014 Summer Case,2014-08-03,0.44,36477
eSports 2014 Summer Case,2014-08-04,0.407,37208
eSports 2014 Summer Case,2014-08-05,0.348,40190
eSports 2014 Summer Case,2014-08-06,0.319,40982
eSports 2014 Summer Case,2014-08-07,0.308,38830
eSports 2014 Summer Case,2014-08-08,0.307,42654
eSports 2014 Summer Case,2014-08-09,0.312,38581
eSports 2014 Summer Case,2014-08-10,0.295,35423
eSports 2014 Summer Case,2014-08-11,0.28,39558
eSports 2014 Summer Case,2014-08-12,0.271,38815
eSports 2014 Summer Case,2014-08-13,0.255,37032
eSports 2014 Summer Case,2014-08-14,0.234,39240
eSports 2014 Summer Case,2014-08-15,0.234,45250
eSports 2014 Summer Case,2014-08-16,0.238,43866
eSports 2014 Summer Case,2014-08-17,0.204,44274
eSports 2014 Summer Case,2014-08-18,0.185,41001
eSports 2014 Summer Case,2014-08-19,0.209,41513
eSports 2014 Summer Case,2014-08-20,0.201,42670
eSports 2014 Summer Case,2014-08-21,0.201,42864
eSports 2014 Summer Case,2014-08-22,0.204,47754
eSports 2014 Summer Case,2014-08-23,0.211,49399
eSports 2014 Summer Case,2014-08-24,0.206,47467
eSports 2014 Summer Case,2014-08-25,0.212,52237
eSports 2014 Summer Case,2014-08-26,0.217,48745
eSports 2014 Summer Case,2014-08-27,0.217,46302
eSports 2014 Summer Case,2014-08-28,0.215,46374
eSports 2014 Summer Case,2014-08-29,0.229,57546
eSports 2014 Summer Case,2014-08-30,0.238,55145
eSports 2014 Summer Case,2014-08-31,0.235,48518
eSports 2014 Summer Case,2014-09-01,0.236,47276
eSports 2014 Summer Case,2014-09-02,0.24,44951
eSports 2014 Summer Case,2014-09-03,0.237,41017
eSports 2014 Summer Case,2014-09-04,0.212,31963
eSports 2014 Summer Case,2014-09-05,0.191,39282
eSports 2014 Summer Case,2014-09-06,0.175,46929
eSports 2014 Summer Case,2014-09-07,0.159,44832
eSports 2014 Summer Case,2014-09-08,0.148,39536
eSports 2014 Summer Case,2014-09-09,0.147,37366
eSports 2014 Summer Case,2014-09-10,0.146,39790
eSports 2014 Summer Case,2014-09-11,0.137,43344
eSports 2014 Summer Case,2014-09-12,0.135,48316
eSports 2014 Summer Case,2014-09-13,0.128,53279
eSports 2014 Summer Case,2014-09-14,0.111,43902
eSports 2014 Summer Case,2014-09-15,0.102,38644
eSports 2014 Summer Case,2014-09-16,0.098,38410
eSports 2014 Summer Case,2014-09-17,0.097,37969
eSports 2014 Summer Case,2014-09-18,0.097,37151
eSports 2014 Summer Case,2014-09-19,0.097,43824
eSports 2014 Summer Case,2014-09-20,0.096,52278
eSports 2014 Summer Case,2014-09-21,0.087,40654
eSports 2014 Summer Case,2014-09-22,0.084,35173
eSports 2014 Summer Case,2014-09-23,0.081,33000
eSports 2014 Summer Case,2014-09-24,0.076,34864
eSports 2014 Summer Case,2014-09-25,0.08,40270
eSports 2014 Summer Case,2014-09-26,0.083,42679
eSports 2014 Summer Case,2014-09-27,0.078,48688
eSports 2014 Summer Case,2014-09-28,0.075,47520
eSports 2014 Summer Case,2014-09-29,0.075,39498
eSports 2014 Summer Case,2014-09-30,0.077,40666
eSports 2014 Summer Case,2014-10-01,0.083,46699
eSports 2014 Summer Case,2014-10-02,0.082,42255
eSports 2014 Summer Case,2014-10-03,0.081,48715
eSports 2014 Summer Case,2014-10-04,0.082,54254
eSports 2014 Summer Case,2014-10-05,0.078,48617
eSports 2014 Summer Case,2014-10-06,0.078,41822
eSports 2014 Summer Case,2014-10-07,0.081,40724
eSports 2014 Summer Case,2014-10-08,0.082,39282
eSports 2014 Summer Case,2014-10-09,0.08,39808
eSports 2014 Summer Case,2014-10-10,0.083,48458
eSports 2014 Summer Case,2014-10-11,0.081,52233
eSports 2014 Summer Case,2014-10-12,0.077,49102
eSports 2014 Summer Case,2014-10-13,0.076,41629
eSports 2014 Summer Case,2014-10-14,0.076,38694
