item,date,price,volume
CS:GO Weapon Case 2,2013-11-07,8.404,554
CS:GO Weapon Case 2,2013-11-08,2.877,17734
CS:GO Weapon Case 2,2013-11-09,1.098,19772
CS:GO Weapon Case 2,2013-11-10,0.624,20409
CS:GO Weapon Case 2,2013-11-11,0.662,13570
CS:GO Weapon Case 2,2013-11-12,0.68,11359
CS:GO Weapon Case 2,2013-11-13,0.661,8807
CS:GO Weapon Case 2,2013-11-14,0.525,10451
CS:GO Weapon Case 2,2013-11-15,0.346,13738
CS:GO Weapon Case 2,2013-11-16,0.311,14908
CS:GO Weapon Case 2,2013-11-17,0.218,15809
CS:GO Weapon Case 2,2013-11-18,0.189,12391
CS:GO Weapon Case 2,2013-11-19,0.214,10790
CS:GO Weapon Case 2,2013-11-20,0.262,9377
CS:GO Weapon Case 2,2013-11-21,0.218,10080
CS:GO Weapon Case 2,2013-11-22,0.168,11705
CS:GO Weapon Case 2,2013-11-23,0.119,12108
CS:GO Weapon Case 2,2013-11-24,0.09,12716
CS:GO Weapon Case 2,2013-11-25,0.094,12171
CS:GO Weapon Case 2,2013-11-26,0.103,10677
CS:GO Weapon Case 2,2013-11-27,0.103,10333
CS:GO Weapon Case 2,2013-11-28,0.093,10963
CS:GO Weapon Case 2,2013-11-29,0.086,12893
CS:GO Weapon Case 2,2013-11-30,0.075,15657
CS:GO Weapon Case 2,2013-12-01,0.068,16911
CS:GO Weapon Case 2,2013-12-02,0.061,14220
CS:GO Weapon Case 2,2013-12-03,0.061,12681
CS:GO Weapon Case 2,2013-12-04,0.064,13112
CS:GO Weapon Case 2,2013-12-05,0.066,12593
CS:GO Weapon Case 2,2013-12-06,0.065,13083
CS:GO Weapon Case 2,2013-12-07,0.06,14602
CS:GO Weapon Case 2,2013-12-08,0.055,16280
CS:GO Weapon Case 2,2013-12-09,0.049,13332
CS:GO Weapon Case 2,2013-12-10,0.047,11324
CS:GO Weapon Case 2,2013-12-11,0.046,11258
