item,date,price,volume
Chroma 3 Case,2016-04-28,6.261,54074
Chroma 3 Case,2016-04-29,4.02,58197
Chroma 3 Case,2016-04-30,2.87,63985
Chroma 3 Case,2016-05-01,2.294,62250
Chroma 3 Case,2016-05-02,2.117,50742
Chroma 3 Case,2016-05-03,1.9,47908
Chroma 3 Case,2016-05-04,1.788,46327
Chroma 3 Case,2016-05-05,1.697,44706
Chroma 3 Case,2016-05-06,1.447,48326
Chroma 3 Case,2016-05-07,1.169,55222
Chroma 3 Case,2016-05-08,1.081,53314
Chroma 3 Case,2016-05-09,1.077,44067
Chroma 3 Case,2016-05-10,1.055,43738
Chroma 3 Case,2016-05-11,1.028,43664
Chroma 3 Case,2016-05-12,0.999,44959
Chroma 3 Case,2016-05-13,0.983,50263
Chroma 3 Case,2016-05-14,0.855,57408
Chroma 3 Case,2016-05-15,0.751,58035
Chroma 3 Case,2016-05-16,0.776,45827
Chroma 3 Case,2016-05-17,0.755,44209
Chroma 3 Case,2016-05-18,0.731,43820
Chroma 3 Case,2016-05-19,0.692,43706
Chroma 3 Case,2016-05-20,0.683,50452
Chroma 3 Case,2016-05-21,0.647,53855
Chroma 3 Case,2016-05-22,0.568,53150
Chroma 3 Case,2016-05-23,0.561,43603
Chroma 3 Case,2016-05-24,0.526,41566
Chroma 3 Case,2016-05-25,0.517,48317
Chroma 3 Case,2016-05-26,0.502,47507
Chroma 3 Case,2016-05-27,0.486,54638
Chroma 3 Case,2016-05-28,0.508,53016
Chroma 3 Case,2016-05-29,0.482,49517
Chroma 3 Case,2016-05-30,0.462,49715
Chroma 3 Case,2016-05-31,0.487,47733
Chroma 3 Case,2016-06-01,0.499,51483
Chroma 3 Case,2016-06-02,0.518,46422
Chroma 3 Case,2016-06-03,0.502,47295
Chroma 3 Case,2016-06-04,0.474,50770
Chroma 3 Case,2016-06-05,0.4,47614
Chroma 3 Case,2016-06-06,0.348,47397
Chroma 3 Case,2016-06-07,0.347,41632
Chroma 3 Case,2016-06-08,0.366,48151
Chroma 3 Case,2016-06-09,0.384,47347
Chroma 3 Case,2016-06-10,0.389,49530
Chroma 3 Case,2016-06-11,0.399,50501
Chroma 3 Case,2016-06-12,0.364,47154
Chroma 3 Case,2016-06-13,0.346,46685
Chroma 3 Case,2016-06-14,0.328,46959
Chroma 3 Case,2016-06-15,0.307,46419
Chroma 3 Case,2016-06-16,0.24,67161
Chroma 3 Case,2016-06-17,0.275,65486
Chroma 3 Case,2016-06-18,0.292,63550
Chroma 3 Case,2016-06-19,0.284,58169
Chroma 3 Case,2016-06-20,0.259,53915
Chroma 3 Case,2016-06-21,0.243,51044
Chroma 3 Case,2016-06-22,0.229,54644
Chroma 3 Case,2016-06-23,0.228,54414
Chroma 3 Case,2016-06-24,0.214,55741
Chroma 3 Case,2016-06-25,0.199,50942
Chroma 3 Case,2016-06-26,0.163,50146
Chroma 3 Case,2016-06-27,0.15,52465
Chroma 3 Case,2016-06-28,0.144,49041
Chroma 3 Case,2016-06-29,0.132,43548
Chroma 3 Case,2016-06-30,0.134,51535
Chroma 3 Case,2016-07-01,0.18,57039
Chroma 3 Case,2016-07-02,0.18,47094
Chroma 3 Case,2016-07-03,0.156,43913
Chroma 3 Case,2016-07-04,0.114,48427
Chroma 3 Case,2016-07-05,0.138,50809
Chroma 3 Case,2016-07-06,0.142,47184
Chroma 3 Case,2016-07-07,0.135,46000
Chroma 3 Case,2016-07-08,0.129,48196
Chroma 3 Case,2016-07-09,0.133,51085
Chroma 3 Case,2016-07-10,0.11,41433
Chroma 3 Case,2016-07-11,0.086,34929
Chroma 3 Case,2016-07-12,0.085,39370
Chroma 3 Case,2016-07-13,0.097,36152
Chroma 3 Case,2016-07-14,0.085,35916
Chroma 3 Case,2016-07-15,0.091,39630
Chroma 3 Case,2016-07-16,0.101,42549
Chroma 3 Case,2016-07-17,0.099,37072
Chroma 3 Case,2016-07-18,0.086,34589
Chroma 3 Case,2016-07-19,0.074,31287
Chroma 3 Case,2016-07-20,0.066,30564
Chroma 3 Case,2016-07-21,0.057,26691
Chroma 3 Case,2016-07-22,0.064,30263
Chroma 3 Case,2016-07-23,0.064,29568
Chroma 3 Case,2016-07-24,0.06,28882
Chroma 3 Case,2016-07-25,0.056,30092
Chroma 3 Case,2016-07-26,0.051,30383
Chroma 3 Case,2016-07-27,0.05,32807
Chroma 3 Case,2016-07-28,0.049,34261
Chroma 3 Case,2016-07-29,0.053,40340
Chroma 3 Case,2016-07-30,0.055,35708
Chroma 3 Case,2016-07-31,0.054,34446
Chroma 3 Case,2016-08-01,0.054,35034
Chroma 3 Case,2016-08-02,0.052,35495
Chroma 3 Case,2016-08-03,0.047,31407
Chroma 3 Case,2016-08-04,0.042,34320
Chroma 3 Case,2016-08-05,0.044,34919
Chroma 3 Case,2016-08-06,0.042,33680
Chroma 3 Case,2016-08-07,0.036,32693
Chroma 3 Case,2016-08-08,0.033,32290
Chroma 3 Case,2016-08-09,0.03,32032
Chroma 3 Case,2016-08-10,0.03,33239
Chroma 3 Case,2016-08-11,0.03,30282
Chroma 3 Case,2016-08-12,0.03,35416
Chroma 3 Case,2016-08-13,0.031,30808
Chroma 3 Case,2016-08-14,0.03,35689
Chroma 3 Case,2016-08-15,0.03,30377
Chroma 3 Case,2016-08-16,0.03,34375
Chroma 3 Case,2016-08-17,0.03,35120
Chroma 3 Case,2016-08-18,0.03,33781
Chroma 3 Case,2016-08-19,0.03,41155
Chroma 3 Case,2016-08-20,0.03,33704
Chroma 3 Case,2016-08-21,0.03,34464
Chroma 3 Case,2016-08-22,0.03,27300
Chroma 3 Case,2016-08-23,0.03,25506
Chroma 3 Case,2016-08-24,0.03,23682
Chroma 3 Case,2016-08-25,0.03,25958
Chroma 3 Case,2016-08-26,0.03,26559
Chroma 3 Case,2016-08-27,0.03,26727
Chroma 3 Case,2016-08-28,0.03,26902
Chroma 3 Case,2016-08-29,0.03,26148
Chroma 3 Case,2016-08-30,0.03,28293
Chroma 3 Case,2016-08-31,0.03,26745
Chroma 3 Case,2016-09-01,0.03,24059
Chroma 3 Case,2016-09-02,0.03,22131
Chroma 3 Case,2016-09-03,0.03,24819
Chroma 3 Case,2016-09-04,0.03,27118
Chroma 3 Case,2016-09-05,0.03,28868
Chroma 3 Case,2016-09-06,0.03,22088
Chroma 3 Case,2016-09-07,0.03,23406
Chroma 3 Case,2016-09-08,0.03,24199
Chroma 3 Case,2016-09-09,0.03,24086
Chroma 3 Case,2016-09-10,0.03,25875
Chroma 3 Case,2016-09-11,0.03,23876
Chroma 3 Case,2016-09-12,0.03,21156
Chroma 3 Case,2016-09-13,0.03,19865
Chroma 3 Case,2016-09-14,0.03,22827
Chroma 3 Case,2016-09-15,0.03,22723
Chroma 3 Case,2016-09-16,0.03,32596
Chroma 3 Case,2016-09-17,0.03,30902
Chroma 3 Case,2016-09-18,0.03,27247
Chroma 3 Case,2016-09-19,0.03,22283
Chroma 3 Case,2016-09-20,0.03,21826
Chroma 3 Case,2016-09-21,0.03,19017
Chroma 3 Case,2016-09-22,0.03,25839
Chroma 3 Case,2016-09-23,0.03,22616
Chroma 3 Case,2016-09-24,0.03,25332
Chroma 3 Case,2016-09-25,0.03,23486
Chroma 3 Case,2016-09-26,0.03,21239
Chroma 3 Case,2016-09-27,0.03,19861
Chroma 3 Case,2016-09-28,0.03,18025
Chroma 3 Case,2016-09-29,0.03,19294
Chroma 3 Case,2016-09-30,0.03,23854
Chroma 3 Case,2016-10-01,0.03,28808
Chroma 3 Case,2016-10-02,0.03,27630
Chroma 3 Case,2016-10-03,0.03,19664
Chroma 3 Case,2016-10-04,0.03,21754
Chroma 3 Case,2016-10-05,0.03,18683
Chroma 3 Case,2016-10-06,0.03,20397
Chroma 3 Case,2016-10-07,0.03,26145
Chroma 3 Case,2016-10-08,0.03,28090
Chroma 3 Case,2016-10-09,0.03,22850
Chroma 3 Case,2016-10-10,0.03,20954
Chroma 3 Case,2016-10-11,0.03,18805
Chroma 3 Case,2016-10-12,0.03,18162
Chroma 3 Case,2016-10-13,0.03,20675
Chroma 3 Case,2016-10-14,0.03,24796
Chroma 3 Case,2016-10-15,0.03,24658
Chroma 3 Case,2016-10-16,0.03,28141
Chroma 3 Case,2016-10-17,0.03,27302
Chroma 3 Case,2016-10-18,0.03,21214
Chroma 3 Case,2016-10-19,0.03,22663
Chroma 3 Case,2016-10-20,0.03,20961
Chroma 3 Case,2016-10-21,0.03,27378
Chroma 3 Case,2016-10-22,0.03,26398
Chroma 3 Case,2016-10-23,0.03,25405
Chroma 3 Case,2016-10-24,0.03,22837
Chroma 3 Case,2016-10-25,0.03,22638
Chroma 3 Case,2016-10-26,0.03,22304
Chroma 3 Case,2016-10-27,0.03,21919
Chroma 3 Case,2016-10-28,0.03,23943
Chroma 3 Case,2016-10-29,0.03,28821
Chroma 3 Case,2016-10-30,0.03,29888
Chroma 3 Case,2016-10-31,0.03,33790
Chroma 3 Case,2016-11-01,0.03,25022
Chroma 3 Case,2016-11-02,0.03,29420
Chroma 3 Case,2016-11-03,0.03,21234
Chroma 3 Case,2016-11-04,0.03,27035
Chroma 3 Case,2016-11-05,0.03,30722
Chroma 3 Case,2016-11-06,0.03,24304
Chroma 3 Case,2016-11-07,0.03,26364
Chroma 3 Case,2016-11-08,0.03,22763
Chroma 3 Case,2016-11-09,0.03,32173
Chroma 3 Case,2016-11-10,0.03,25607
Chroma 3 Case,2016-11-11,0.03,31500
Chroma 3 Case,2016-11-12,0.03,38645
Chroma 3 Case,2016-11-13,0.03,35037
Chroma 3 Case,2016-11-14,0.03,31499
Chroma 3 Case,2016-11-15,0.03,29311
Chroma 3 Case,2016-11-16,0.03,24048
Chroma 3 Case,2016-11-17,0.03,24413
Chroma 3 Case,2016-11-18,0.03,25955
Chroma 3 Case,2016-11-19,0.03,31357
Chroma 3 Case,2016-11-20,0.03,30341
Chroma 3 Case,2016-11-21,0.03,24170
Chroma 3 Case,2016-11-22,0.03,25286
Chroma 3 Case,2016-11-23,0.03,25834
Chroma 3 Case,2016-11-24,0.03,27835
Chroma 3 Case,2016-11-25,0.03,30785
Chroma 3 Case,2016-11-26,0.03,29216
Chroma 3 Case,2016-11-27,0.03,32522
Chroma 3 Case,2016-11-28,0.03,25497
Chroma 3 Case,2016-11-29,0.03,27680
Chroma 3 Case,2016-11-30,0.03,30084
Chroma 3 Case,2016-12-01,0.03,34641
Chroma 3 Case,2016-12-02,0.03,30934
Chroma 3 Case,2016-12-03,0.03,33648
Chroma 3 Case,2016-12-04,0.03,35494
Chroma 3 Case,2016-12-05,0.03,36520
Chroma 3 Case,2016-12-06,0.03,27666
Chroma 3 Case,2016-12-07,0.03,27678
Chroma 3 Case,2016-12-08,0.03,30439
Chroma 3 Case,2016-12-09,0.03,23600
Chroma 3 Case,2016-12-10,0.03,27301
Chroma 3 Case,2016-12-11,0.03,29246
Chroma 3 Case,2016-12-12,0.03,26118
Chroma 3 Case,2016-12-13,0.03,24802
Chroma 3 Case,2016-12-14,0.03,31937
Chroma 3 Case,2016-12-15,0.03,24482
Chroma 3 Case,2016-12-16,0.03,30247
Chroma 3 Case,2016-12-17,0.03,28874
Chroma 3 Case,2016-12-18,0.03,36900
Chroma 3 Case,2016-12-19,0.03,29804
Chroma 3 Case,2016-12-20,0.03,36455
Chroma 3 Case,2016-12-21,0.03,25685
Chroma 3 Case,2016-12-22,0.03,30254
Chroma 3 Case,2016-12-23,0.03,24784
Chroma 3 Case,2016-12-24,0.03,38530
Chroma 3 Case,2016-12-25,0.03,39287
Chroma 3 Case,2016-12-26,0.03,40992
Chroma 3 Case,2016-12-27,0.03,40486
Chroma 3 Case,2016-12-28,0.03,33369
Chroma 3 Case,2016-12-29,0.03,35177
Chroma 3 Case,2016-12-30,0.03,36036
Chroma 3 Case,2016-12-31,0.03,30139
Chroma 3 Case,2017-01-01,0.03,33490
Chroma 3 Case,2017-01-02,0.03,39952
Chroma 3 Case,2017-01-03,0.03,32741
Chroma 3 Case,2017-01-04,0.03,34012
Chroma 3 Case,2017-01-05,0.03,28350
Chroma 3 Case,2017-01-06,0.03,27665
Chroma 3 Case,2017-01-07,0.03,34776
Chroma 3 Case,2017-01-08,0.03,35120
Chroma 3 Case,2017-01-09,0.03,28702
Chroma 3 Case,2017-01-10,0.03,30565
Chroma 3 Case,2017-01-11,0.03,29847
Chroma 3 Case,2017-01-12,0.03,30547
Chroma 3 Case,2017-01-13,0.03,37422
Chroma 3 Case,2017-01-14,0.03,38276
Chroma 3 Case,2017-01-15,0.03,34072
Chroma 3 Case,2017-01-16,0.03,30358
Chroma 3 Case,2017-01-17,0.03,31280
Chroma 3 Case,2017-01-18,0.03,26425
Chroma 3 Case,2017-01-19,0.03,30285
Chroma 3 Case,2017-01-20,0.03,31305
Chroma 3 Case,2017-01-21,0.03,31671
Chroma 3 Case,2017-01-22,0.03,35004
Chroma 3 Case,2017-01-23,0.03,36300
Chroma 3 Case,2017-01-24,0.03,29407
Chroma 3 Case,2017-01-25,0.03,36085
Chroma 3 Case,2017-01-26,0.03,33816
Chroma 3 Case,2017-01-27,0.03,36739
Chroma 3 Case,2017-01-28,0.03,35442
Chroma 3 Case,2017-01-29,0.03,42841
Chroma 3 Case,2017-01-30,0.03,37132
Chroma 3 Case,2017-01-31,0.03,33053
Chroma 3 Case,2017-02-01,0.03,32919
Chroma 3 Case,2017-02-02,0.03,31871
Chroma 3 Case,2017-02-03,0.03,33720
Chroma 3 Case,2017-02-04,0.03,40993
Chroma 3 Case,2017-02-05,0.03,40730
Chroma 3 Case,2017-02-06,0.03,36026
Chroma 3 Case,2017-02-07,0.03,36725
Chroma 3 Case,2017-02-08,0.03,34781
Chroma 3 Case,2017-02-09,0.03,31333
Chroma 3 Case,2017-02-10,0.03,33079
Chroma 3 Case,2017-02-11,0.03,38679
Chroma 3 Case,2017-02-12,0.03,45647
Chroma 3 Case,2017-02-13,0.03,36650
Chroma 3 Case,2017-02-14,0.03,33065
Chroma 3 Case,2017-02-15,0.03,31159
Chroma 3 Case,2017-02-16,0.03,28857
Chroma 3 Case,2017-02-17,0.03,34781
Chroma 3 Case,2017-02-18,0.03,42015
Chroma 3 Case,2017-02-19,0.03,44133
Chroma 3 Case,2017-02-20,0.03,40275
Chroma 3 Case,2017-02-21,0.03,32792
Chroma 3 Case,2017-02-22,0.03,35660
Chroma 3 Case,2017-02-23,0.03,38253
Chroma 3 Case,2017-02-24,0.03,39504
Chroma 3 Case,2017-02-25,0.03,44495
Chroma 3 Case,2017-02-26,0.03,39789
