item,date,price,volume
Chroma Case,2015-01-09,7.578,74129
Chroma Case,2015-01-10,4.454,87686
Chroma Case,2015-01-11,3.399,86192
Chroma Case,2015-01-12,3.189,65737
Chroma Case,2015-01-13,2.964,64090
Chroma Case,2015-01-14,2.578,67710
Chroma Case,2015-01-15,2.47,63915
Chroma Case,2015-01-16,2.191,73142
Chroma Case,2015-01-17,1.871,86983
Chroma Case,2015-01-18,1.496,90765
Chroma Case,2015-01-19,1.572,73073
Chroma Case,2015-01-20,1.541,67436
Chroma Case,2015-01-21,1.434,65931
Chroma Case,2015-01-22,1.356,73193
Chroma Case,2015-01-23,1.439,81161
Chroma Case,2015-01-24,1.321,84206
Chroma Case,2015-01-25,1.109,95932
Chroma Case,2015-01-26,1.114,79298
Chroma Case,2015-01-27,1.121,77197
Chroma Case,2015-01-28,1.092,72583
Chroma Case,2015-01-29,1.027,79614
Chroma Case,2015-01-30,0.997,96233
Chroma Case,2015-01-31,0.963,106019
Chroma Case,2015-02-01,0.815,104071
Chroma Case,2015-02-02,0.821,89433
Chroma Case,2015-02-03,0.865,84973
Chroma Case,2015-02-04,0.893,81762
Chroma Case,2015-02-05,0.897,78297
Chroma Case,2015-02-06,0.872,85512
Chroma Case,2015-02-07,0.794,97339
Chroma Case,2015-02-08,0.71,101036
Chroma Case,2015-02-09,0.675,82523
Chroma Case,2015-02-10,0.667,79492
Chroma Case,2015-02-11,0.655,79570
Chroma Case,2015-02-12,0.658,87289
Chroma Case,2015-02-13,0.681,95512
Chroma Case,2015-02-14,0.673,100599
Chroma Case,2015-02-15,0.612,99018
Chroma Case,2015-02-16,0.55,87867
Chroma Case,2015-02-17,0.533,85932
Chroma Case,2015-02-18,0.551,87819
Chroma Case,2015-02-19,0.57,85550
Chroma Case,2015-02-20,0.597,95582
Chroma Case,2015-02-21,0.577,97533
Chroma Case,2015-02-22,0.485,99335
Chroma Case,2015-02-23,0.467,90372
Chroma Case,2015-02-24,0.515,91087
Chroma Case,2015-02-25,0.568,94915
Chroma Case,2015-02-26,0.612,87212
Chroma Case,2015-02-27,0.643,107615
Chroma Case,2015-02-28,0.612,107988
Chroma Case,2015-03-01,0.559,103956
Chroma Case,2015-03-02,0.555,86938
Chroma Case,2015-03-03,0.575,85271
Chroma Case,2015-03-04,0.586,78965
Chroma Case,2015-03-05,0.563,81170
Chroma Case,2015-03-06,0.536,94547
Chroma Case,2015-03-07,0.487,105774
Chroma Case,2015-03-08,0.446,101855
Chroma Case,2015-03-09,0.41,85613
Chroma Case,2015-03-10,0.438,82941
Chroma Case,2015-03-11,0.448,73926
Chroma Case,2015-03-12,0.39,82693
Chroma Case,2015-03-13,0.42,97582
Chroma Case,2015-03-14,0.394,114896
Chroma Case,2015-03-15,0.333,115346
Chroma Case,2015-03-16,0.301,95124
Chroma Case,2015-03-17,0.322,88471
Chroma Case,2015-03-18,0.322,85070
Chroma Case,2015-03-19,0.332,91613
Chroma Case,2015-03-20,0.345,103536
Chroma Case,2015-03-21,0.325,112947
Chroma Case,2015-03-22,0.285,109970
Chroma Case,2015-03-23,0.271,97483
Chroma Case,2015-03-24,0.275,97454
Chroma Case,2015-03-25,0.302,106436
Chroma Case,2015-03-26,0.33,100462
Chroma Case,2015-03-27,0.34,115380
Chroma Case,2015-03-28,0.336,123943
Chroma Case,2015-03-29,0.308,117241
Chroma Case,2015-03-30,0.301,109534
Chroma Case,2015-03-31,0.319,112262
Chroma Case,2015-04-01,0.348,127063
Chroma Case,2015-04-02,0.359,110801
Chroma Case,2015-04-03,0.355,113899
Chroma Case,2015-04-04,0.336,117739
Chroma Case,2015-04-05,0.324,121149
Chroma Case,2015-04-06,0.339,111708
Chroma Case,2015-04-07,0.329,106270
Chroma Case,2015-04-08,0.329,108838
Chroma Case,2015-04-09,0.341,108132
Chroma Case,2015-04-10,0.339,107617
Chroma Case,2015-04-11,0.337,129525
Chroma Case,2015-04-12,0.318,114412
Chroma Case,2015-04-13,0.313,96417
Chroma Case,2015-04-14,0.294,85543
Chroma Case,2015-04-15,0.264,91353
Chroma Case,2015-04-16,0.197,125764
Chroma Case,2015-04-17,0.155,119586
Chroma Case,2015-04-18,0.139,139038
Chroma Case,2015-04-19,0.117,112362
Chroma Case,2015-04-20,0.121,111936
Chroma Case,2015-04-21,0.119,97553
Chroma Case,2015-04-22,0.116,94291
Chroma Case,2015-04-23,0.117,101250
Chroma Case,2015-04-24,0.121,114779
Chroma Case,2015-04-25,0.117,123638
Chroma Case,2015-04-26,0.102,108597
Chroma Case,2015-04-27,0.096,96070
Chroma Case,2015-04-28,0.096,93680
Chroma Case,2015-04-29,0.102,96990
Chroma Case,2015-04-30,0.101,113738
Chroma Case,2015-05-01,0.096,140549
Chroma Case,2015-05-02,0.104,121723
Chroma Case,2015-05-03,0.087,102435
Chroma Case,2015-05-04,0.079,96830
Chroma Case,2015-05-05,0.079,88723
Chroma Case,2015-05-06,0.079,85254
Chroma Case,2015-05-07,0.078,84765
Chroma Case,2015-05-08,0.078,106355
Chroma Case,2015-05-09,0.076,112383
Chroma Case,2015-05-10,0.068,97481
Chroma Case,2015-05-11,0.061,84184
Chroma Case,2015-05-12,0.061,81381
Chroma Case,2015-05-13,0.061,85830
Chroma Case,2015-05-14,0.062,90318
Chroma Case,2015-05-15,0.067,102606
Chroma Case,2015-05-16,0.063,109916
Chroma Case,2015-05-17,0.058,105035
Chroma Case,2015-05-18,0.053,80908
Chroma Case,2015-05-19,0.051,91937
Chroma Case,2015-05-20,0.049,82150
Chroma Case,2015-05-21,0.048,86136
Chroma Case,2015-05-22,0.046,103310
Chroma Case,2015-05-23,0.045,107622
Chroma Case,2015-05-24,0.039,106586
Chroma Case,2015-05-25,0.041,97663
Chroma Case,2015-05-26,0.043,97977
Chroma Case,2015-05-27,0.03,91803
Chroma Case,2015-05-28,0.03,91867
Chroma Case,2015-05-29,0.031,101753
Chroma Case,2015-05-30,0.033,110340
Chroma Case,2015-05-31,0.032,110245
Chroma Case,2015-06-01,0.034,109124
Chroma Case,2015-06-02,0.033,107592
Chroma Case,2015-06-03,0.03,100587
Chroma Case,2015-06-04,0.03,102959
Chroma Case,2015-06-05,0.03,101697
Chroma Case,2015-06-06,0.03,93102
Chroma Case,2015-06-07,0.03,86822
Chroma Case,2015-06-08,0.03,81799
Chroma Case,2015-06-09,0.03,81892
Chroma Case,2015-06-10,0.03,88942
Chroma Case,2015-06-11,0.03,75422
Chroma Case,2015-06-12,0.03,92665
Chroma Case,2015-06-13,0.03,86942
Chroma Case,2015-06-14,0.03,87948
Chroma Case,2015-06-15,0.03,71338
Chroma Case,2015-06-16,0.03,72383
Chroma Case,2015-06-17,0.03,69315
Chroma Case,2015-06-18,0.03,68252
Chroma Case,2015-06-19,0.03,66410
Chroma Case,2015-06-20,0.03,69167
Chroma Case,2015-06-21,0.03,63549
Chroma Case,2015-06-22,0.03,60445
Chroma Case,2015-06-23,0.03,55952
Chroma Case,2015-06-24,0.03,62471
Chroma Case,2015-06-25,0.03,63908
Chroma Case,2015-06-26,0.03,67835
Chroma Case,2015-06-27,0.03,68250
Chroma Case,2015-06-28,0.03,66352
Chroma Case,2015-06-29,0.03,66821
Chroma Case,2015-06-30,0.03,75965
Chroma Case,2015-07-01,0.03,76036
Chroma Case,2015-07-02,0.03,74451
Chroma Case,2015-07-03,0.03,74878
Chroma Case,2015-07-04,0.03,65848
Chroma Case,2015-07-05,0.03,60233
Chroma Case,2015-07-06,0.03,70069
Chroma Case,2015-07-07,0.03,65839
Chroma Case,2015-07-08,0.03,61662
Chroma Case,2015-07-09,0.03,65571
Chroma Case,2015-07-10,0.03,67290
Chroma Case,2015-07-11,0.03,73722
Chroma Case,2015-07-12,0.03,71548
Chroma Case,2015-07-13,0.03,68556
Chroma Case,2015-07-14,0.03,67135
Chroma Case,2015-07-15,0.03,69881
Chroma Case,2015-07-16,0.03,70163
Chroma Case,2015-07-17,0.03,72024
Chroma Case,2015-07-18,0.03,70206
Chroma Case,2015-07-19,0.03,69525
Chroma Case,2015-07-20,0.03,71515
Chroma Case,2015-07-21,0.03,75191
Chroma Case,2015-07-22,0.03,62795
Chroma Case,2015-07-23,0.03,69408
Chroma Case,2015-07-24,0.03,72848
Chroma Case,2015-07-25,0.03,71608
Chroma Case,2015-07-26,0.03,62465
Chroma Case,2015-07-27,0.03,69929
Chroma Case,2015-07-28,0.03,66575
Chroma Case,2015-07-29,0.03,65589
Chroma Case,2015-07-30,0.03,65430
Chroma Case,2015-07-31,0.03,68485
Chroma Case,2015-08-01,0.03,71711
Chroma Case,2015-08-02,0.03,74523
Chroma Case,2015-08-03,0.03,65100
Chroma Case,2015-08-04,0.03,66546
Chroma Case,2015-08-05,0.03,67344
Chroma Case,2015-08-06,0.03,66487
Chroma Case,2015-08-07,0.03,69446
Chroma Case,2015-08-08,0.03,71051
Chroma Case,2015-08-09,0.03,65163
Chroma Case,2015-08-10,0.03,71875
Chroma Case,2015-08-11,0.03,61375
Chroma Case,2015-08-12,0.03,68117
Chroma Case,2015-08-13,0.03,61408
Chroma Case,2015-08-14,0.03,63278
Chroma Case,2015-08-15,0.03,58427
Chroma Case,2015-08-16,0.03,57861
Chroma Case,2015-08-17,0.03,54504
Chroma Case,2015-08-18,0.03,53844
Chroma Case,2015-08-19,0.03,67889
Chroma Case,2015-08-20,0.03,64668
Chroma Case,2015-08-21,0.03,70445
Chroma Case,2015-08-22,0.03,61971
Chroma Case,2015-08-23,0.03,60754
Chroma Case,2015-08-24,0.03,67673
Chroma Case,2015-08-25,0.03,62692
Chroma Case,2015-08-26,0.03,65489
Chroma Case,2015-08-27,0.03,67708
Chroma Case,2015-08-28,0.03,70835
Chroma Case,2015-08-29,0.03,70350
Chroma Case,2015-08-30,0.03,74974
Chroma Case,2015-08-31,0.03,67217
Chroma Case,2015-09-01,0.03,73737
Chroma Case,2015-09-02,0.03,68672
Chroma Case,2015-09-03,0.03,74944
Chroma Case,2015-09-04,0.03,74390
Chroma Case,2015-09-05,0.03,80744
Chroma Case,2015-09-06,0.03,73110
Chroma Case,2015-09-07,0.03,73035
Chroma Case,2015-09-08,0.03,86441
Chroma Case,2015-09-09,0.03,57446
Chroma Case,2015-09-10,0.03,74220
Chroma Case,2015-09-11,0.03,71522
Chroma Case,2015-09-12,0.03,77601
Chroma Case,2015-09-13,0.03,80378
Chroma Case,2015-09-14,0.03,64413
Chroma Case,2015-09-15,0.03,60444
Chroma Case,2015-09-16,0.03,77071
Chroma Case,2015-09-17,0.03,77552
Chroma Case,2015-09-18,0.03,152595
Chroma Case,2015-09-19,0.03,151635
Chroma Case,2015-09-20,0.03,128117
Chroma Case,2015-09-21,0.03,109600
Chroma Case,2015-09-22,0.03,95045
Chroma Case,2015-09-23,0.03,87208
Chroma Case,2015-09-24,0.03,80629
Chroma Case,2015-09-25,0.03,89070
Chroma Case,2015-09-26,0.03,78555
Chroma Case,2015-09-27,0.03,68169
Chroma Case,2015-09-28,0.03,65924
Chroma Case,2015-09-29,0.03,58249
Chroma Case,2015-09-30,0.03,55835
Chroma Case,2015-10-01,0.03,52381
Chroma Case,2015-10-02,0.03,65820
Chroma Case,2015-10-03,0.03,72520
Chroma Case,2015-10-04,0.03,64921
Chroma Case,2015-10-05,0.03,64446
Chroma Case,2015-10-06,0.03,70005
Chroma Case,2015-10-07,0.03,80480
Chroma Case,2015-10-08,0.03,183590
Chroma Case,2015-10-09,0.03,144475
Chroma Case,2015-10-10,0.03,119137
Chroma Case,2015-10-11,0.03,113881
Chroma Case,2015-10-12,0.03,292085
Chroma Case,2015-10-13,0.03,294339
Chroma Case,2015-10-14,0.032,158872
Chroma Case,2015-10-15,0.03,118899
Chroma Case,2015-10-16,0.031,65717
Chroma Case,2015-10-17,0.03,76070
Chroma Case,2015-10-18,0.03,63529
Chroma Case,2015-10-19,0.03,51039
Chroma Case,2015-10-20,0.03,54406
Chroma Case,2015-10-21,0.03,66605
Chroma Case,2015-10-22,0.03,46277
Chroma Case,2015-10-23,0.03,63021
Chroma Case,2015-10-24,0.03,64324
Chroma Case,2015-10-25,0.03,65161
Chroma Case,2015-10-26,0.03,51328
Chroma Case,2015-10-27,0.03,51611
Chroma Case,2015-10-28,0.03,53222
Chroma Case,2015-10-29,0.03,53002
Chroma Case,2015-10-30,0.03,55659
Chroma Case,2015-10-31,0.03,66730
Chroma Case,2015-11-01,0.03,78425
Chroma Case,2015-11-02,0.03,56324
Chroma Case,2015-11-03,0.03,38862
Chroma Case,2015-11-04,0.03,42254
Chroma Case,2015-11-05,0.03,40733
Chroma Case,2015-11-06,0.03,39479
Chroma Case,2015-11-07,0.03,45094
Chroma Case,2015-11-08,0.03,42020
Chroma Case,2015-11-09,0.03,35526
Chroma Case,2015-11-10,0.03,31841
Chroma Case,2015-11-11,0.03,28421
Chroma Case,2015-11-12,0.03,31008
Chroma Case,2015-11-13,0.03,48223
Chroma Case,2015-11-14,0.03,45880
Chroma Case,2015-11-15,0.03,46644
Chroma Case,2015-11-16,0.03,61945
Chroma Case,2015-11-17,0.03,99011
Chroma Case,2015-11-18,0.03,72163
Chroma Case,2015-11-19,0.03,59506
Chroma Case,2015-11-20,0.03,65609
Chroma Case,2015-11-21,0.03,65855
Chroma Case,2015-11-22,0.03,57665
Chroma Case,2015-11-23,0.03,44217
Chroma Case,2015-11-24,0.03,45287
Chroma Case,2015-11-25,0.03,48395
Chroma Case,2015-11-26,0.03,61111
Chroma Case,2015-11-27,0.03,66273
Chroma Case,2015-11-28,0.03,61967
Chroma Case,2015-11-29,0.03,57509
Chroma Case,2015-11-30,0.03,46843
Chroma Case,2015-12-01,0.03,53579
Chroma Case,2015-12-02,0.03,50489
Chroma Case,2015-12-03,0.03,40601
Chroma Case,2015-12-04,0.03,50041
Chroma Case,2015-12-05,0.03,46572
Chroma Case,2015-12-06,0.03,46260
Chroma Case,2015-12-07,0.03,43145
Chroma Case,2015-12-08,0.03,38480
Chroma Case,2015-12-09,0.03,47185
Chroma Case,2015-12-10,0.03,50106
Chroma Case,2015-12-11,0.03,44144
Chroma Case,2015-12-12,0.03,46760
Chroma Case,2015-12-13,0.03,45173
Chroma Case,2015-12-14,0.03,34952
