item,date,price,volume
Danger Zone Case,2018-12-06,7.433,6244
Danger Zone Case,2018-12-07,4.08,56834
Danger Zone Case,2018-12-08,2.469,60651
Danger Zone Case,2018-12-09,1.926,55323
Danger Zone Case,2018-12-10,2.034,38455
Danger Zone Case,2018-12-11,1.794,35604
Danger Zone Case,2018-12-12,1.725,32785
Danger Zone Case,2018-12-13,1.603,35018
Danger Zone Case,2018-12-14,1.518,39727
Danger Zone Case,2018-12-15,1.295,49736
Danger Zone Case,2018-12-16,0.95,55881
Danger Zone Case,2018-12-17,0.811,51072
Danger Zone Case,2018-12-18,0.946,39466
Danger Zone Case,2018-12-19,0.972,37027
Danger Zone Case,2018-12-20,1.006,36975
Danger Zone Case,2018-12-21,1.016,45979
Danger Zone Case,2018-12-22,0.99,47997
Danger Zone Case,2018-12-23,0.828,48358
Danger Zone Case,2018-12-24,0.686,54194
Danger Zone Case,2018-12-25,0.807,51781
Danger Zone Case,2018-12-26,0.768,46453
Danger Zone Case,2018-12-27,0.68,49998
Danger Zone Case,2018-12-28,0.669,52145
Danger Zone Case,2018-12-29,0.642,53771
Danger Zone Case,2018-12-30,0.541,53985
Danger Zone Case,2018-12-31,0.575,50143
Danger Zone Case,2019-01-01,0.617,46316
Danger Zone Case,2019-01-02,0.575,45049
Danger Zone Case,2019-01-03,0.556,45410
Danger Zone Case,2019-01-04,0.523,48402
Danger Zone Case,2019-01-05,0.509,52567
Danger Zone Case,2019-01-06,0.489,50019
Danger Zone Case,2019-01-07,0.459,45288
Danger Zone Case,2019-01-08,0.445,43483
Danger Zone Case,2019-01-09,0.455,44418
Danger Zone Case,2019-01-10,0.476,45821
Danger Zone Case,2019-01-11,0.488,51801
Danger Zone Case,2019-01-12,0.477,55286
Danger Zone Case,2019-01-13,0.453,51509
Danger Zone Case,2019-01-14,0.445,42155
Danger Zone Case,2019-01-15,0.448,42831
Danger Zone Case,2019-01-16,0.449,40557
Danger Zone Case,2019-01-17,0.435,40776
Danger Zone Case,2019-01-18,0.438,45311
Danger Zone Case,2019-01-19,0.43,55246
Danger Zone Case,2019-01-20,0.408,49903
Danger Zone Case,2019-01-21,0.384,43460
Danger Zone Case,2019-01-22,0.367,41025
Danger Zone Case,2019-01-23,0.362,42919
Danger Zone Case,2019-01-24,0.358,43589
Danger Zone Case,2019-01-25,0.365,50954
Danger Zone Case,2019-01-26,0.368,56083
Danger Zone Case,2019-01-27,0.352,52810
Danger Zone Case,2019-01-28,0.333,46198
Danger Zone Case,2019-01-29,0.334,43480
Danger Zone Case,2019-01-30,0.342,43693
Danger Zone Case,2019-01-31,0.35,49123
Danger Zone Case,2019-02-01,0.369,51770
Danger Zone Case,2019-02-02,0.371,55327
Danger Zone Case,2019-02-03,0.367,53511
Danger Zone Case,2019-02-04,0.38,46794
Danger Zone Case,2019-02-05,0.4,44522
Danger Zone Case,2019-02-06,0.402,39935
Danger Zone Case,2019-02-07,0.405,44513
Danger Zone Case,2019-02-08,0.408,47645
Danger Zone Case,2019-02-09,0.391,52262
Danger Zone Case,2019-02-10,0.363,49291
Danger Zone Case,2019-02-11,0.337,40430
Danger Zone Case,2019-02-12,0.314,40773
Danger Zone Case,2019-02-13,0.341,35853
Danger Zone Case,2019-02-14,0.346,36125
Danger Zone Case,2019-02-15,0.351,41358
Danger Zone Case,2019-02-16,0.337,47341
Danger Zone Case,2019-02-17,0.32,47068
Danger Zone Case,2019-02-18,0.315,39980
Danger Zone Case,2019-02-19,0.326,37546
Danger Zone Case,2019-02-20,0.33,35649
Danger Zone Case,2019-02-21,0.334,36806
Danger Zone Case,2019-02-22,0.332,44159
Danger Zone Case,2019-02-23,0.328,52069
Danger Zone Case,2019-02-24,0.32,50236
Danger Zone Case,2019-02-25,0.311,39726
Danger Zone Case,2019-02-26,0.312,40967
Danger Zone Case,2019-02-27,0.314,38482
Danger Zone Case,2019-02-28,0.325,39320
Danger Zone Case,2019-03-01,0.331,47951
Danger Zone Case,2019-03-02,0.316,54602
Danger Zone Case,2019-03-03,0.293,56273
Danger Zone Case,2019-03-04,0.272,42561
Danger Zone Case,2019-03-05,0.253,41735
Danger Zone Case,2019-03-06,0.249,41818
Danger Zone Case,2019-03-07,0.253,37639
Danger Zone Case,2019-03-08,0.26,54877
Danger Zone Case,2019-03-09,0.269,57217
Danger Zone Case,2019-03-10,0.27,52786
Danger Zone Case,2019-03-11,0.272,42012
Danger Zone Case,2019-03-12,0.281,39441
Danger Zone Case,2019-03-13,0.29,39742
Danger Zone Case,2019-03-14,0.274,59775
Danger Zone Case,2019-03-15,0.266,57724
Danger Zone Case,2019-03-16,0.267,70770
Danger Zone Case,2019-03-17,0.275,70239
Danger Zone Case,2019-03-18,0.291,54024
Danger Zone Case,2019-03-19,0.293,47805
Danger Zone Case,2019-03-20,0.295,48051
Danger Zone Case,2019-03-21,0.301,49064
Danger Zone Case,2019-03-22,0.3,54110
Danger Zone Case,2019-03-23,0.274,61255
Danger Zone Case,2019-03-24,0.248,59606
Danger Zone Case,2019-03-25,0.226,49329
Danger Zone Case,2019-03-26,0.224,47580
Danger Zone Case,2019-03-27,0.213,45549
Danger Zone Case,2019-03-28,0.211,45445
Danger Zone Case,2019-03-29,0.214,54196
Danger Zone Case,2019-03-30,0.208,56076
Danger Zone Case,2019-03-31,0.185,51555
Danger Zone Case,2019-04-01,0.171,47755
Danger Zone Case,2019-04-02,0.153,43323
Danger Zone Case,2019-04-03,0.162,43755
Danger Zone Case,2019-04-04,0.171,44488
Danger Zone Case,2019-04-05,0.18,50050
Danger Zone Case,2019-04-06,0.178,51347
Danger Zone Case,2019-04-07,0.173,54072
Danger Zone Case,2019-04-08,0.166,44835
Danger Zone Case,2019-04-09,0.169,43638
Danger Zone Case,2019-04-10,0.181,42286
Danger Zone Case,2019-04-11,0.194,41424
Danger Zone Case,2019-04-12,0.202,47977
Danger Zone Case,2019-04-13,0.19,49784
Danger Zone Case,2019-04-14,0.174,50395
Danger Zone Case,2019-04-15,0.166,42890
Danger Zone Case,2019-04-16,0.177,40908
Danger Zone Case,2019-04-17,0.177,39531
Danger Zone Case,2019-04-18,0.181,42926
Danger Zone Case,2019-04-19,0.184,45243
Danger Zone Case,2019-04-20,0.183,47455
Danger Zone Case,2019-04-21,0.177,48584
Danger Zone Case,2019-04-22,0.17,42291
Danger Zone Case,2019-04-23,0.159,40299
Danger Zone Case,2019-04-24,0.154,37672
Danger Zone Case,2019-04-25,0.153,37849
Danger Zone Case,2019-04-26,0.152,39637
Danger Zone Case,2019-04-27,0.148,45675
Danger Zone Case,2019-04-28,0.141,44441
Danger Zone Case,2019-04-29,0.128,34736
Danger Zone Case,2019-04-30,0.118,38659
Danger Zone Case,2019-05-01,0.11,42750
Danger Zone Case,2019-05-02,0.101,40021
Danger Zone Case,2019-05-03,0.1,41365
Danger Zone Case,2019-05-04,0.098,44598
Danger Zone Case,2019-05-05,0.091,44526
Danger Zone Case,2019-05-06,0.086,34749
Danger Zone Case,2019-05-07,0.083,36054
Danger Zone Case,2019-05-08,0.081,37709
Danger Zone Case,2019-05-09,0.083,36901
Danger Zone Case,2019-05-10,0.096,48072
Danger Zone Case,2019-05-11,0.109,47283
Danger Zone Case,2019-05-12,0.108,42761
Danger Zone Case,2019-05-13,0.11,37069
Danger Zone Case,2019-05-14,0.121,37866
Danger Zone Case,2019-05-15,0.126,41471
Danger Zone Case,2019-05-16,0.138,43494
Danger Zone Case,2019-05-17,0.15,45703
Danger Zone Case,2019-05-18,0.14,50400
Danger Zone Case,2019-05-19,0.125,46287
Danger Zone Case,2019-05-20,0.122,39805
Danger Zone Case,2019-05-21,0.134,44328
Danger Zone Case,2019-05-22,0.141,42473
Danger Zone Case,2019-05-23,0.153,43567
Danger Zone Case,2019-05-24,0.158,47929
Danger Zone Case,2019-05-25,0.157,49900
Danger Zone Case,2019-05-26,0.155,51597
Danger Zone Case,2019-05-27,0.158,45609
Danger Zone Case,2019-05-28,0.162,45188
Danger Zone Case,2019-05-29,0.167,46499
Danger Zone Case,2019-05-30,0.176,50944
Danger Zone Case,2019-05-31,0.186,53093
Danger Zone Case,2019-06-01,0.2,56508
Danger Zone Case,2019-06-02,0.197,52728
Danger Zone Case,2019-06-03,0.191,46178
Danger Zone Case,2019-06-04,0.185,46621
Danger Zone Case,2019-06-05,0.183,46602
Danger Zone Case,2019-06-06,0.195,50538
Danger Zone Case,2019-06-07,0.204,50825
Danger Zone Case,2019-06-08,0.203,49985
Danger Zone Case,2019-06-09,0.202,51586
Danger Zone Case,2019-06-10,0.199,48776
Danger Zone Case,2019-06-11,0.207,49725
Danger Zone Case,2019-06-12,0.21,44808
Danger Zone Case,2019-06-13,0.215,47666
Danger Zone Case,2019-06-14,0.216,46221
Danger Zone Case,2019-06-15,0.217,52544
Danger Zone Case,2019-06-16,0.211,51453
Danger Zone Case,2019-06-17,0.207,48121
Danger Zone Case,2019-06-18,0.201,44994
Danger Zone Case,2019-06-19,0.195,45433
Danger Zone Case,2019-06-20,0.192,50790
Danger Zone Case,2019-06-21,0.181,47415
Danger Zone Case,2019-06-22,0.181,52184
Danger Zone Case,2019-06-23,0.176,47993
Danger Zone Case,2019-06-24,0.162,45836
Danger Zone Case,2019-06-25,0.138,50320
Danger Zone Case,2019-06-26,0.124,50975
Danger Zone Case,2019-06-27,0.124,48632
Danger Zone Case,2019-06-28,0.131,46913
Danger Zone Case,2019-06-29,0.139,48950
Danger Zone Case,2019-06-30,0.144,50808
Danger Zone Case,2019-07-01,0.14,48561
Danger Zone Case,2019-07-02,0.138,47509
Danger Zone Case,2019-07-03,0.138,48254
Danger Zone Case,2019-07-04,0.142,48192
Danger Zone Case,2019-07-05,0.153,49079
Danger Zone Case,2019-07-06,0.161,47397
Danger Zone Case,2019-07-07,0.164,48195
Danger Zone Case,2019-07-08,0.16,47833
Danger Zone Case,2019-07-09,0.15,46360
Danger Zone Case,2019-07-10,0.154,47566
Danger Zone Case,2019-07-11,0.165,52036
Danger Zone Case,2019-07-12,0.17,47588
Danger Zone Case,2019-07-13,0.173,47935
Danger Zone Case,2019-07-14,0.169,50558
Danger Zone Case,2019-07-15,0.166,45396
Danger Zone Case,2019-07-16,0.166,47722
Danger Zone Case,2019-07-17,0.166,49248
Danger Zone Case,2019-07-18,0.165,47604
Danger Zone Case,2019-07-19,0.168,43063
Danger Zone Case,2019-07-20,0.17,46388
Danger Zone Case,2019-07-21,0.167,47195
Danger Zone Case,2019-07-22,0.159,43615
Danger Zone Case,2019-07-23,0.154,46231
Danger Zone Case,2019-07-24,0.149,45819
Danger Zone Case,2019-07-25,0.15,50930
Danger Zone Case,2019-07-26,0.14,47031
Danger Zone Case,2019-07-27,0.138,45201
Danger Zone Case,2019-07-28,0.137,48058
Danger Zone Case,2019-07-29,0.136,45072
Danger Zone Case,2019-07-30,0.135,46097
Danger Zone Case,2019-07-31,0.142,52175
Danger Zone Case,2019-08-01,0.145,51891
Danger Zone Case,2019-08-02,0.151,49935
Danger Zone Case,2019-08-03,0.154,49232
Danger Zone Case,2019-08-04,0.152,48779
Danger Zone Case,2019-08-05,0.151,50159
Danger Zone Case,2019-08-06,0.153,50768
Danger Zone Case,2019-08-07,0.156,49358
Danger Zone Case,2019-08-08,0.161,52203
Danger Zone Case,2019-08-09,0.164,57124
Danger Zone Case,2019-08-10,0.17,60084
Danger Zone Case,2019-08-11,0.166,56816
Danger Zone Case,2019-08-12,0.168,56440
Danger Zone Case,2019-08-13,0.167,52590
Danger Zone Case,2019-08-14,0.168,53932
Danger Zone Case,2019-08-15,0.166,51386
Danger Zone Case,2019-08-16,0.164,54786
Danger Zone Case,2019-08-17,0.165,55189
Danger Zone Case,2019-08-18,0.166,62530
Danger Zone Case,2019-08-19,0.161,51938
Danger Zone Case,2019-08-20,0.149,48876
Danger Zone Case,2019-08-21,0.147,50633
Danger Zone Case,2019-08-22,0.143,49339
Danger Zone Case,2019-08-23,0.154,56036
Danger Zone Case,2019-08-24,0.162,57501
Danger Zone Case,2019-08-25,0.162,54650
Danger Zone Case,2019-08-26,0.161,51316
Danger Zone Case,2019-08-27,0.157,52028
Danger Zone Case,2019-08-28,0.162,44306
Danger Zone Case,2019-08-29,0.156,51484
Danger Zone Case,2019-08-30,0.162,56901
Danger Zone Case,2019-08-31,0.166,65936
Danger Zone Case,2019-09-01,0.164,58270
Danger Zone Case,2019-09-02,0.165,55190
Danger Zone Case,2019-09-03,0.17,49556
Danger Zone Case,2019-09-04,0.171,50747
Danger Zone Case,2019-09-05,0.174,49834
Danger Zone Case,2019-09-06,0.173,53816
Danger Zone Case,2019-09-07,0.167,63726
Danger Zone Case,2019-09-08,0.145,65601
Danger Zone Case,2019-09-09,0.136,51918
Danger Zone Case,2019-09-10,0.135,54521
Danger Zone Case,2019-09-11,0.145,55976
Danger Zone Case,2019-09-12,0.154,53542
Danger Zone Case,2019-09-13,0.164,62783
Danger Zone Case,2019-09-14,0.165,65789
Danger Zone Case,2019-09-15,0.157,62123
Danger Zone Case,2019-09-16,0.157,52931
Danger Zone Case,2019-09-17,0.156,47667
Danger Zone Case,2019-09-18,0.159,51940
Danger Zone Case,2019-09-19,0.157,50693
Danger Zone Case,2019-09-20,0.157,59025
Danger Zone Case,2019-09-21,0.155,66462
Danger Zone Case,2019-09-22,0.151,60771
Danger Zone Case,2019-09-23,0.155,54614
Danger Zone Case,2019-09-24,0.156,49654
Danger Zone Case,2019-09-25,0.155,48761
Danger Zone Case,2019-09-26,0.16,52198
Danger Zone Case,2019-09-27,0.157,56501
Danger Zone Case,2019-09-28,0.154,58895
Danger Zone Case,2019-09-29,0.144,59011
Danger Zone Case,2019-09-30,0.144,47466
Danger Zone Case,2019-10-01,0.153,55224
Danger Zone Case,2019-10-02,0.156,55472
Danger Zone Case,2019-10-03,0.158,60301
Danger Zone Case,2019-10-04,0.158,65437
Danger Zone Case,2019-10-05,0.154,67216
Danger Zone Case,2019-10-06,0.153,67102
Danger Zone Case,2019-10-07,0.162,59262
Danger Zone Case,2019-10-08,0.164,60101
Danger Zone Case,2019-10-09,0.166,57691
Danger Zone Case,2019-10-10,0.169,55061
Danger Zone Case,2019-10-11,0.166,56116
Danger Zone Case,2019-10-12,0.165,72728
Danger Zone Case,2019-10-13,0.16,60919
Danger Zone Case,2019-10-14,0.16,56677
Danger Zone Case,2019-10-15,0.159,48348
Danger Zone Case,2019-10-16,0.157,44667
Danger Zone Case,2019-10-17,0.16,53662
Danger Zone Case,2019-10-18,0.155,52274
Danger Zone Case,2019-10-19,0.139,69790
Danger Zone Case,2019-10-20,0.134,62646
Danger Zone Case,2019-10-21,0.129,45528
Danger Zone Case,2019-10-22,0.13,41144
Danger Zone Case,2019-10-23,0.123,38706
Danger Zone Case,2019-10-24,0.11,44159
Danger Zone Case,2019-10-25,0.102,60964
Danger Zone Case,2019-10-26,0.103,59315
Danger Zone Case,2019-10-27,0.098,58667
Danger Zone Case,2019-10-28,0.086,42390
Danger Zone Case,2019-10-29,0.069,46468
Danger Zone Case,2019-10-30,0.057,44089
Danger Zone Case,2019-10-31,0.052,40743
Danger Zone Case,2019-11-01,0.053,46018
Danger Zone Case,2019-11-02,0.065,55741
Danger Zone Case,2019-11-03,0.067,50754
Danger Zone Case,2019-11-04,0.057,36888
Danger Zone Case,2019-11-05,0.054,40877
Danger Zone Case,2019-11-06,0.05,38925
Danger Zone Case,2019-11-07,0.047,38680
Danger Zone Case,2019-11-08,0.045,42857
Danger Zone Case,2019-11-09,0.041,47643
Danger Zone Case,2019-11-10,0.033,40583
Danger Zone Case,2019-11-11,0.03,37031
Danger Zone Case,2019-11-12,0.03,31147
Danger Zone Case,2019-11-13,0.03,31100
Danger Zone Case,2019-11-14,0.03,31290
Danger Zone Case,2019-11-15,0.03,36840
Danger Zone Case,2019-11-16,0.03,39241
Danger Zone Case,2019-11-17,0.03,37403
Danger Zone Case,2019-11-18,0.03,31763
Danger Zone Case,2019-11-19,0.03,37993
Danger Zone Case,2019-11-20,0.03,34126
Danger Zone Case,2019-11-21,0.03,31526
Danger Zone Case,2019-11-22,0.03,33990
Danger Zone Case,2019-11-23,0.03,42232
Danger Zone Case,2019-11-24,0.03,43461
Danger Zone Case,2019-11-25,0.03,35681
Danger Zone Case,2019-11-26,0.03,37997
Danger Zone Case,2019-11-27,0.03,39888
Danger Zone Case,2019-11-28,0.03,35510
Danger Zone Case,2019-11-29,0.03,37216
Danger Zone Case,2019-11-30,0.03,46421
Danger Zone Case,2019-12-01,0.03,46296
Danger Zone Case,2019-12-02,0.03,34554
Danger Zone Case,2019-12-03,0.03,33376
Danger Zone Case,2019-12-04,0.03,36382
Danger Zone Case,2019-12-05,0.03,31823
Danger Zone Case,2019-12-06,0.03,34065
Danger Zone Case,2019-12-07,0.03,45692
Danger Zone Case,2019-12-08,0.03,43358
Danger Zone Case,2019-12-09,0.03,38881
Danger Zone Case,2019-12-10,0.03,45518
Danger Zone Case,2019-12-11,0.03,43571
Danger Zone Case,2019-12-12,0.03,37211
Danger Zone Case,2019-12-13,0.03,45070
Danger Zone Case,2019-12-14,0.031,50588
Danger Zone Case,2019-12-15,0.035,59178
Danger Zone Case,2019-12-16,0.034,41335
Danger Zone Case,2019-12-17,0.033,41592
Danger Zone Case,2019-12-18,0.032,43325
Danger Zone Case,2019-12-19,0.03,42357
Danger Zone Case,2019-12-20,0.03,44148
Danger Zone Case,2019-12-21,0.03,50374
Danger Zone Case,2019-12-22,0.03,47515
Danger Zone Case,2019-12-23,0.03,50048
Danger Zone Case,2019-12-24,0.03,46522
Danger Zone Case,2019-12-25,0.03,43592
Danger Zone Case,2019-12-26,0.03,43644
Danger Zone Case,2019-12-27,0.03,51832
Danger Zone Case,2019-12-28,0.03,52983
Danger Zone Case,2019-12-29,0.03,50946
Danger Zone Case,2019-12-30,0.03,52802
Danger Zone Case,2019-12-31,0.03,47740
Danger Zone Case,2020-01-01,0.03,46064
Danger Zone Case,2020-01-02,0.03,51503
Danger Zone Case,2020-01-03,0.03,50806
Danger Zone Case,2020-01-04,0.03,49250
Danger Zone Case,2020-01-05,0.03,48263
Danger Zone Case,2020-01-06,0.03,45398
Danger Zone Case,2020-01-07,0.03,42030
Danger Zone Case,2020-01-08,0.03,53562
Danger Zone Case,2020-01-09,0.03,46017
Danger Zone Case,2020-01-10,0.03,45678
Danger Zone Case,2020-01-11,0.03,54908
Danger Zone Case,2020-01-12,0.03,54827
Danger Zone Case,2020-01-13,0.032,42588
Danger Zone Case,2020-01-14,0.032,47927
Danger Zone Case,2020-01-15,0.032,45014
Danger Zone Case,2020-01-16,0.033,51010
Danger Zone Case,2020-01-17,0.034,51824
Danger Zone Case,2020-01-18,0.036,65098
Danger Zone Case,2020-01-19,0.035,60396
Danger Zone Case,2020-01-20,0.034,51774
Danger Zone Case,2020-01-21,0.035,50759
Danger Zone Case,2020-01-22,0.033,53668
Danger Zone Case,2020-01-23,0.031,55944
Danger Zone Case,2020-01-24,0.03,61267
Danger Zone Case,2020-01-25,0.033,77124
Danger Zone Case,2020-01-26,0.032,66370
Danger Zone Case,2020-01-27,0.032,52645
Danger Zone Case,2020-01-28,0.032,53275
Danger Zone Case,2020-01-29,0.036,62297
Danger Zone Case,2020-01-30,0.044,50290
Danger Zone Case,2020-01-31,0.043,64496
Danger Zone Case,2020-02-01,0.044,83787
Danger Zone Case,2020-02-02,0.05,74271
Danger Zone Case,2020-02-03,0.048,50885
Danger Zone Case,2020-02-04,0.051,56633
Danger Zone Case,2020-02-05,0.048,53633
Danger Zone Case,2020-02-06,0.048,55223
Danger Zone Case,2020-02-07,0.046,62289
Danger Zone Case,2020-02-08,0.047,70649
Danger Zone Case,2020-02-09,0.043,71055
Danger Zone Case,2020-02-10,0.041,54992
Danger Zone Case,2020-02-11,0.039,56123
Danger Zone Case,2020-02-12,0.039,54543
Danger Zone Case,2020-02-13,0.038,53938
Danger Zone Case,2020-02-14,0.041,78754
Danger Zone Case,2020-02-15,0.049,82807
Danger Zone Case,2020-02-16,0.048,79318
Danger Zone Case,2020-02-17,0.048,58528
Danger Zone Case,2020-02-18,0.047,61649
Danger Zone Case,2020-02-19,0.046,58377
Danger Zone Case,2020-02-20,0.043,55439
Danger Zone Case,2020-02-21,0.044,64373
Danger Zone Case,2020-02-22,0.043,61973
Danger Zone Case,2020-02-23,0.062,243117
Danger Zone Case,2020-02-24,0.087,95346
Danger Zone Case,2020-02-25,0.083,90063
Danger Zone Case,2020-02-26,0.078,81177
