item,date,price,volume
Falchion Case,2015-05-27,3.262,228789
Falchion Case,2015-05-28,1.981,172449
Falchion Case,2015-05-29,2.428,99269
Falchion Case,2015-05-30,2.619,69575
Falchion Case,2015-05-31,2.772,46137
Falchion Case,2015-06-01,3.072,34120
Falchion Case,2015-06-02,3.13,27070
Falchion Case,2015-06-03,1.743,100401
Falchion Case,2015-06-04,0.981,139588
Falchion Case,2015-06-05,1.052,109331
Falchion Case,2015-06-06,1.141,89075
Falchion Case,2015-06-07,1.292,71502
Falchion Case,2015-06-08,1.373,60407
Falchion Case,2015-06-09,1.456,53085
Falchion Case,2015-06-10,1.201,77996
Falchion Case,2015-06-11,0.762,112315
Falchion Case,2015-06-12,0.705,113955
Falchion Case,2015-06-13,0.736,102411
Falchion Case,2015-06-14,0.784,83830
Falchion Case,2015-06-15,0.825,71189
Falchion Case,2015-06-16,0.869,63999
Falchion Case,2015-06-17,0.696,78385
Falchion Case,2015-06-18,0.524,112341
Falchion Case,2015-06-19,0.458,120561
Falchion Case,2015-06-20,0.397,123104
Falchion Case,2015-06-21,0.396,108874
Falchion Case,2015-06-22,0.412,98514
Falchion Case,2015-06-23,0.414,86598
Falchion Case,2015-06-24,0.433,89016
Falchion Case,2015-06-25,0.434,102699
Falchion Case,2015-06-26,0.423,105713
Falchion Case,2015-06-27,0.414,104643
Falchion Case,2015-06-28,0.398,98837
Falchion Case,2015-06-29,0.401,97061
Falchion Case,2015-06-30,0.464,95588
Falchion Case,2015-07-01,0.513,82779
Falchion Case,2015-07-02,0.466,85712
Falchion Case,2015-07-03,0.431,97443
Falchion Case,2015-07-04,0.467,99558
Falchion Case,2015-07-05,0.468,93999
Falchion Case,2015-07-06,0.448,95016
Falchion Case,2015-07-07,0.455,91878
Falchion Case,2015-07-08,0.466,85294
Falchion Case,2015-07-09,0.459,90102
Falchion Case,2015-07-10,0.446,97345
Falchion Case,2015-07-11,0.454,93833
Falchion Case,2015-07-12,0.432,90291
Falchion Case,2015-07-13,0.387,89113
Falchion Case,2015-07-14,0.386,86983
Falchion Case,2015-07-15,0.393,85958
Falchion Case,2015-07-16,0.389,85882
Falchion Case,2015-07-17,0.379,92508
Falchion Case,2015-07-18,0.368,95087
Falchion Case,2015-07-19,0.34,97499
Falchion Case,2015-07-20,0.29,100854
Falchion Case,2015-07-21,0.28,100605
Falchion Case,2015-07-22,0.275,92549
Falchion Case,2015-07-23,0.263,99172
Falchion Case,2015-07-24,0.309,105939
Falchion Case,2015-07-25,0.329,95185
Falchion Case,2015-07-26,0.298,88813
Falchion Case,2015-07-27,0.268,103875
Falchion Case,2015-07-28,0.26,97101
Falchion Case,2015-07-29,0.254,92316
Falchion Case,2015-07-30,0.26,96834
Falchion Case,2015-07-31,0.295,108927
Falchion Case,2015-08-01,0.303,95078
Falchion Case,2015-08-02,0.26,91564
Falchion Case,2015-08-03,0.24,95515
Falchion Case,2015-08-04,0.23,91247
Falchion Case,2015-08-05,0.233,94559
Falchion Case,2015-08-06,0.226,89206
Falchion Case,2015-08-07,0.231,92977
Falchion Case,2015-08-08,0.226,89999
Falchion Case,2015-08-09,0.208,85698
Falchion Case,2015-08-10,0.183,90144
Falchion Case,2015-08-11,0.167,93700
Falchion Case,2015-08-12,0.163,93987
Falchion Case,2015-08-13,0.166,94668
Falchion Case,2015-08-14,0.179,95926
Falchion Case,2015-08-15,0.158,107392
Falchion Case,2015-08-16,0.12,94355
Falchion Case,2015-08-17,0.105,94719
Falchion Case,2015-08-18,0.102,92902
Falchion Case,2015-08-19,0.102,94208
Falchion Case,2015-08-20,0.109,95266
Falchion Case,2015-08-21,0.107,97712
Falchion Case,2015-08-22,0.107,102824
Falchion Case,2015-08-23,0.087,97922
Falchion Case,2015-08-24,0.077,105612
Falchion Case,2015-08-25,0.102,110140
Falchion Case,2015-08-26,0.113,103046
Falchion Case,2015-08-27,0.115,102380
Falchion Case,2015-08-28,0.127,112332
Falchion Case,2015-08-29,0.149,103173
Falchion Case,2015-08-30,0.126,100753
Falchion Case,2015-08-31,0.117,100005
Falchion Case,2015-09-01,0.127,93967
Falchion Case,2015-09-02,0.131,90824
Falchion Case,2015-09-03,0.121,88379
Falchion Case,2015-09-04,0.119,99686
Falchion Case,2015-09-05,0.109,107917
Falchion Case,2015-09-06,0.095,100440
Falchion Case,2015-09-07,0.099,93582
Falchion Case,2015-09-08,0.102,86269
Falchion Case,2015-09-09,0.094,78349
Falchion Case,2015-09-10,0.088,88888
Falchion Case,2015-09-11,0.081,96229
Falchion Case,2015-09-12,0.077,106656
Falchion Case,2015-09-13,0.071,101426
Falchion Case,2015-09-14,0.074,82644
Falchion Case,2015-09-15,0.076,81870
Falchion Case,2015-09-16,0.07,85056
Falchion Case,2015-09-17,0.063,85305
Falchion Case,2015-09-18,0.054,109215
Falchion Case,2015-09-19,0.046,105859
Falchion Case,2015-09-20,0.044,96598
Falchion Case,2015-09-21,0.045,86040
Falchion Case,2015-09-22,0.047,83062
Falchion Case,2015-09-23,0.043,77472
Falchion Case,2015-09-24,0.042,79853
Falchion Case,2015-09-25,0.044,102577
Falchion Case,2015-09-26,0.042,104839
Falchion Case,2015-09-27,0.039,93172
Falchion Case,2015-09-28,0.039,78549
Falchion Case,2015-09-29,0.04,81172
Falchion Case,2015-09-30,0.043,91321
Falchion Case,2015-10-01,0.042,91428
Falchion Case,2015-10-02,0.039,100124
Falchion Case,2015-10-03,0.038,97981
Falchion Case,2015-10-04,0.035,85599
Falchion Case,2015-10-05,0.035,75874
Falchion Case,2015-10-06,0.039,81593
Falchion Case,2015-10-07,0.042,80463
Falchion Case,2015-10-08,0.039,72166
Falchion Case,2015-10-09,0.041,79450
Falchion Case,2015-10-10,0.04,86550
Falchion Case,2015-10-11,0.036,81700
Falchion Case,2015-10-12,0.035,69623
Falchion Case,2015-10-13,0.035,69558
Falchion Case,2015-10-14,0.034,76388
Falchion Case,2015-10-15,0.031,81177
Falchion Case,2015-10-16,0.032,87412
Falchion Case,2015-10-17,0.032,90400
Falchion Case,2015-10-18,0.031,83198
Falchion Case,2015-10-19,0.03,63275
Falchion Case,2015-10-20,0.03,67642
Falchion Case,2015-10-21,0.03,79216
Falchion Case,2015-10-22,0.03,61035
Falchion Case,2015-10-23,0.03,85948
Falchion Case,2015-10-24,0.03,90674
Falchion Case,2015-10-25,0.03,84307
Falchion Case,2015-10-26,0.03,80866
Falchion Case,2015-10-27,0.03,76739
Falchion Case,2015-10-28,0.03,75171
Falchion Case,2015-10-29,0.03,71919
Falchion Case,2015-10-30,0.03,83506
Falchion Case,2015-10-31,0.03,92003
Falchion Case,2015-11-01,0.03,90762
Falchion Case,2015-11-02,0.03,72583
Falchion Case,2015-11-03,0.03,80708
Falchion Case,2015-11-04,0.03,80672
Falchion Case,2015-11-05,0.03,77878
Falchion Case,2015-11-06,0.03,91638
Falchion Case,2015-11-07,0.03,101122
Falchion Case,2015-11-08,0.03,87359
Falchion Case,2015-11-09,0.03,67044
Falchion Case,2015-11-10,0.03,66497
Falchion Case,2015-11-11,0.03,57794
Falchion Case,2015-11-12,0.03,59442
Falchion Case,2015-11-13,0.03,74915
Falchion Case,2015-11-14,0.03,93851
Falchion Case,2015-11-15,0.03,92485
