item,date,price,volume
Gamma Case,2016-06-16,8.071,65943
Gamma Case,2016-06-17,5.274,58459
Gamma Case,2016-06-18,4.427,58243
Gamma Case,2016-06-19,3.813,57399
Gamma Case,2016-06-20,3.409,53421
Gamma Case,2016-06-21,3.088,53467
Gamma Case,2016-06-22,3.009,51857
Gamma Case,2016-06-23,2.784,53129
Gamma Case,2016-06-24,2.752,52885
Gamma Case,2016-06-25,2.45,52604
Gamma Case,2016-06-26,2.295,56617
Gamma Case,2016-06-27,2.098,56502
Gamma Case,2016-06-28,1.966,54704
Gamma Case,2016-06-29,1.91,50779
Gamma Case,2016-06-30,1.974,53725
Gamma Case,2016-07-01,2.088,53349
Gamma Case,2016-07-02,2.051,51120
Gamma Case,2016-07-03,1.855,51504
Gamma Case,2016-07-04,1.629,59948
Gamma Case,2016-07-05,1.614,53330
Gamma Case,2016-07-06,1.643,53838
Gamma Case,2016-07-07,1.577,53974
Gamma Case,2016-07-08,1.622,55728
Gamma Case,2016-07-09,1.585,52290
Gamma Case,2016-07-10,1.415,54374
Gamma Case,2016-07-11,1.284,54689
Gamma Case,2016-07-12,1.301,59329
Gamma Case,2016-07-13,1.393,48760
Gamma Case,2016-07-14,1.259,54101
Gamma Case,2016-07-15,1.278,55013
Gamma Case,2016-07-16,1.308,51733
Gamma Case,2016-07-17,1.212,49939
Gamma Case,2016-07-18,1.064,54291
Gamma Case,2016-07-19,1.002,52355
Gamma Case,2016-07-20,0.971,49635
Gamma Case,2016-07-21,0.914,49044
Gamma Case,2016-07-22,0.946,51658
Gamma Case,2016-07-23,0.977,49442
Gamma Case,2016-07-24,0.924,49250
Gamma Case,2016-07-25,0.904,53922
Gamma Case,2016-07-26,0.879,50929
Gamma Case,2016-07-27,0.842,52653
Gamma Case,2016-07-28,0.857,53691
Gamma Case,2016-07-29,0.926,56897
Gamma Case,2016-07-30,0.963,52525
Gamma Case,2016-07-31,0.931,51460
Gamma Case,2016-08-01,0.857,50911
Gamma Case,2016-08-02,0.817,52685
Gamma Case,2016-08-03,0.775,49999
Gamma Case,2016-08-04,0.772,52968
Gamma Case,2016-08-05,0.802,52219
Gamma Case,2016-08-06,0.791,49503
Gamma Case,2016-08-07,0.736,48563
Gamma Case,2016-08-08,0.68,50933
Gamma Case,2016-08-09,0.65,50009
Gamma Case,2016-08-10,0.643,50326
Gamma Case,2016-08-11,0.653,50832
Gamma Case,2016-08-12,0.686,54112
Gamma Case,2016-08-13,0.689,48735
Gamma Case,2016-08-14,0.651,48079
Gamma Case,2016-08-15,0.603,49814
Gamma Case,2016-08-16,0.568,51024
Gamma Case,2016-08-17,0.554,49674
Gamma Case,2016-08-18,0.55,50902
Gamma Case,2016-08-19,0.466,67274
Gamma Case,2016-08-20,0.414,57648
Gamma Case,2016-08-21,0.36,55045
Gamma Case,2016-08-22,0.326,57046
Gamma Case,2016-08-23,0.312,52440
Gamma Case,2016-08-24,0.297,50957
Gamma Case,2016-08-25,0.31,57447
Gamma Case,2016-08-26,0.347,55447
Gamma Case,2016-08-27,0.351,51387
Gamma Case,2016-08-28,0.297,51757
Gamma Case,2016-08-29,0.275,48390
Gamma Case,2016-08-30,0.224,44648
Gamma Case,2016-08-31,0.197,49259
Gamma Case,2016-09-01,0.228,47971
Gamma Case,2016-09-02,0.262,46471
Gamma Case,2016-09-03,0.248,48516
Gamma Case,2016-09-04,0.188,45160
Gamma Case,2016-09-05,0.203,47431
Gamma Case,2016-09-06,0.209,40166
Gamma Case,2016-09-07,0.204,39989
Gamma Case,2016-09-08,0.19,43154
Gamma Case,2016-09-09,0.208,52915
Gamma Case,2016-09-10,0.186,54372
Gamma Case,2016-09-11,0.149,47622
Gamma Case,2016-09-12,0.146,44331
Gamma Case,2016-09-13,0.149,38469
Gamma Case,2016-09-14,0.152,36260
Gamma Case,2016-09-15,0.158,46025
Gamma Case,2016-09-16,0.161,48828
Gamma Case,2016-09-17,0.13,50010
Gamma Case,2016-09-18,0.103,44609
Gamma Case,2016-09-19,0.099,35206
Gamma Case,2016-09-20,0.101,36056
Gamma Case,2016-09-21,0.111,38378
Gamma Case,2016-09-22,0.112,36104
Gamma Case,2016-09-23,0.117,45264
Gamma Case,2016-09-24,0.102,44526
Gamma Case,2016-09-25,0.084,42363
Gamma Case,2016-09-26,0.089,36288
Gamma Case,2016-09-27,0.088,33043
Gamma Case,2016-09-28,0.085,34585
Gamma Case,2016-09-29,0.083,34627
Gamma Case,2016-09-30,0.084,40607
Gamma Case,2016-10-01,0.074,42729
Gamma Case,2016-10-02,0.072,43909
Gamma Case,2016-10-03,0.077,35735
Gamma Case,2016-10-04,0.079,35712
Gamma Case,2016-10-05,0.078,35266
Gamma Case,2016-10-06,0.075,34002
Gamma Case,2016-10-07,0.07,44006
Gamma Case,2016-10-08,0.057,41783
Gamma Case,2016-10-09,0.045,37723
Gamma Case,2016-10-10,0.043,33835
Gamma Case,2016-10-11,0.045,31572
Gamma Case,2016-10-12,0.048,33101
Gamma Case,2016-10-13,0.047,31443
Gamma Case,2016-10-14,0.045,41121
Gamma Case,2016-10-15,0.04,42502
Gamma Case,2016-10-16,0.033,38618
Gamma Case,2016-10-17,0.038,31563
Gamma Case,2016-10-18,0.039,32452
Gamma Case,2016-10-19,0.039,36564
Gamma Case,2016-10-20,0.036,35290
Gamma Case,2016-10-21,0.036,43502
Gamma Case,2016-10-22,0.035,38081
Gamma Case,2016-10-23,0.03,39843
Gamma Case,2016-10-24,0.03,32493
Gamma Case,2016-10-25,0.031,30841
Gamma Case,2016-10-26,0.03,34844
Gamma Case,2016-10-27,0.03,37663
Gamma Case,2016-10-28,0.03,40551
Gamma Case,2016-10-29,0.03,39313
Gamma Case,2016-10-30,0.03,31097
Gamma Case,2016-10-31,0.03,31403
Gamma Case,2016-11-01,0.03,32575
Gamma Case,2016-11-02,0.03,29330
Gamma Case,2016-11-03,0.03,26004
Gamma Case,2016-11-04,0.03,34332
Gamma Case,2016-11-05,0.03,46683
Gamma Case,2016-11-06,0.03,39013
Gamma Case,2016-11-07,0.03,37237
Gamma Case,2016-11-08,0.03,31948
Gamma Case,2016-11-09,0.03,32613
Gamma Case,2016-11-10,0.03,30664
Gamma Case,2016-11-11,0.03,44965
Gamma Case,2016-11-12,0.03,42072
Gamma Case,2016-11-13,0.03,45435
Gamma Case,2016-11-14,0.03,40760
Gamma Case,2016-11-15,0.03,37748
Gamma Case,2016-11-16,0.03,30215
Gamma Case,2016-11-17,0.03,46251
Gamma Case,2016-11-18,0.03,43963
Gamma Case,2016-11-19,0.03,39866
Gamma Case,2016-11-20,0.03,44059
Gamma Case,2016-11-21,0.03,29699
Gamma Case,2016-11-22,0.03,33688
Gamma Case,2016-11-23,0.03,33089
Gamma Case,2016-11-24,0.03,32959
Gamma Case,2016-11-25,0.03,33952
Gamma Case,2016-11-26,0.03,42426
Gamma Case,2016-11-27,0.03,36838
Gamma Case,2016-11-28,0.03,25162
Gamma Case,2016-11-29,0.03,42276
Gamma Case,2016-11-30,0.03,30522
Gamma Case,2016-12-01,0.03,28923
Gamma Case,2016-12-02,0.03,28402
Gamma Case,2016-12-03,0.03,37146
Gamma Case,2016-12-04,0.03,36125
Gamma Case,2016-12-05,0.03,28727
Gamma Case,2016-12-06,0.03,28074
Gamma Case,2016-12-07,0.03,25807
Gamma Case,2016-12-08,0.03,34991
Gamma Case,2016-12-09,0.03,34830
Gamma Case,2016-12-10,0.03,30806
Gamma Case,2016-12-11,0.03,28411
Gamma Case,2016-12-12,0.03,32587
Gamma Case,2016-12-13,0.03,28408
Gamma Case,2016-12-14,0.03,28426
Gamma Case,2016-12-15,0.03,27716
Gamma Case,2016-12-16,0.03,29490
Gamma Case,2016-12-17,0.03,44358
Gamma Case,2016-12-18,0.03,36406
Gamma Case,2016-12-19,0.03,30478
Gamma Case,2016-12-20,0.03,23643
Gamma Case,2016-12-21,0.03,23453
Gamma Case,2016-12-22,0.03,41526
Gamma Case,2016-12-23,0.03,36655
Gamma Case,2016-12-24,0.03,38658
Gamma Case,2016-12-25,0.03,47326
Gamma Case,2016-12-26,0.03,44163
Gamma Case,2016-12-27,0.03,34302
Gamma Case,2016-12-28,0.03,34144
Gamma Case,2016-12-29,0.03,39178
Gamma Case,2016-12-30,0.03,37359
Gamma Case,2016-12-31,0.03,37754
Gamma Case,2017-01-01,0.03,33915
Gamma Case,2017-01-02,0.03,36295
Gamma Case,2017-01-03,0.03,30271
Gamma Case,2017-01-04,0.03,28415
Gamma Case,2017-01-05,0.03,30397
Gamma Case,2017-01-06,0.03,34509
Gamma Case,2017-01-07,0.03,33006
Gamma Case,2017-01-08,0.03,45670
Gamma Case,2017-01-09,0.03,35660
Gamma Case,2017-01-10,0.03,31680
Gamma Case,2017-01-11,0.03,34257
Gamma Case,2017-01-12,0.03,32381
Gamma Case,2017-01-13,0.03,40597
Gamma Case,2017-01-14,0.03,36799
Gamma Case,2017-01-15,0.03,36459
Gamma Case,2017-01-16,0.03,35634
Gamma Case,2017-01-17,0.03,35736
Gamma Case,2017-01-18,0.03,35545
Gamma Case,2017-01-19,0.03,30742
Gamma Case,2017-01-20,0.03,33534
Gamma Case,2017-01-21,0.03,32959
Gamma Case,2017-01-22,0.03,33436
Gamma Case,2017-01-23,0.03,31636
Gamma Case,2017-01-24,0.03,30349
Gamma Case,2017-01-25,0.03,31322
Gamma Case,2017-01-26,0.03,34962
Gamma Case,2017-01-27,0.03,40003
Gamma Case,2017-01-28,0.03,41407
Gamma Case,2017-01-29,0.03,42410
Gamma Case,2017-01-30,0.03,40423
Gamma Case,2017-01-31,0.03,41977
Gamma Case,2017-02-01,0.03,36247
Gamma Case,2017-02-02,0.03,33462
Gamma Case,2017-02-03,0.03,39382
Gamma Case,2017-02-04,0.03,39827
Gamma Case,2017-02-05,0.03,39101
Gamma Case,2017-02-06,0.03,36750
Gamma Case,2017-02-07,0.03,37685
Gamma Case,2017-02-08,0.03,31498
Gamma Case,2017-02-09,0.03,30650
Gamma Case,2017-02-10,0.03,36583
Gamma Case,2017-02-11,0.03,44848
Gamma Case,2017-02-12,0.03,40123
Gamma Case,2017-02-13,0.03,35312
Gamma Case,2017-02-14,0.03,31733
Gamma Case,2017-02-15,0.03,32361
Gamma Case,2017-02-16,0.03,31194
Gamma Case,2017-02-17,0.03,34588
Gamma Case,2017-02-18,0.03,40482
Gamma Case,2017-02-19,0.03,36892
Gamma Case,2017-02-20,0.03,31492
Gamma Case,2017-02-21,0.03,29053
Gamma Case,2017-02-22,0.03,32910
Gamma Case,2017-02-23,0.03,36943
Gamma Case,2017-02-24,0.03,41540
Gamma Case,2017-02-25,0.03,45854
Gamma Case,2017-02-26,0.03,39492
Gamma Case,2017-02-27,0.03,34799
Gamma Case,2017-02-28,0.03,35491
Gamma Case,2017-03-01,0.03,34253
Gamma Case,2017-03-02,0.03,37275
Gamma Case,2017-03-03,0.03,37972
Gamma Case,2017-03-04,0.03,42606
Gamma Case,2017-03-05,0.03,39966
Gamma Case,2017-03-06,0.03,35044
Gamma Case,2017-03-07,0.03,30928
Gamma Case,2017-03-08,0.03,33784
Gamma Case,2017-03-09,0.03,30663
