item,date,price,volume
Horizon Case,2018-08-03,6.995,39644
Horizon Case,2018-08-04,4.412,38779
Horizon Case,2018-08-05,3.665,38891
Horizon Case,2018-08-06,3.151,37353
Horizon Case,2018-08-07,2.712,36428
Horizon Case,2018-08-08,2.472,35160
Horizon Case,2018-08-09,2.369,33391
Horizon Case,2018-08-10,2.12,35434
Horizon Case,2018-08-11,1.975,35174
Horizon Case,2018-08-12,1.756,36741
Horizon Case,2018-08-13,1.537,36533
Horizon Case,2018-08-14,1.378,34922
Horizon Case,2018-08-15,1.331,34127
Horizon Case,2018-08-16,1.251,36520
Horizon Case,2018-08-17,1.278,35348
Horizon Case,2018-08-18,1.258,36093
Horizon Case,2018-08-19,1.142,36365
Horizon Case,2018-08-20,0.944,35217
Horizon Case,2018-08-21,0.87,34478
Horizon Case,2018-08-22,0.85,32704
Horizon Case,2018-08-23,0.841,34557
Horizon Case,2018-08-24,0.909,36543
Horizon Case,2018-08-25,0.917,34711
Horizon Case,2018-08-26,0.821,36991
Horizon Case,2018-08-27,0.732,34851
Horizon Case,2018-08-28,0.671,34450
Horizon Case,2018-08-29,0.627,34354
Horizon Case,2018-08-30,0.625,37350
Horizon Case,2018-08-31,0.664,38443
Horizon Case,2018-09-01,0.715,36291
Horizon Case,2018-09-02,0.642,34236
Horizon Case,2018-09-03,0.618,33403
Horizon Case,2018-09-04,0.621,30130
Horizon Case,2018-09-05,0.576,28994
Horizon Case,2018-09-06,0.557,30394
Horizon Case,2018-09-07,0.547,35013
Horizon Case,2018-09-08,0.524,38732
Horizon Case,2018-09-09,0.475,37525
Horizon Case,2018-09-10,0.459,33106
Horizon Case,2018-09-11,0.466,32827
Horizon Case,2018-09-12,0.486,31156
Horizon Case,2018-09-13,0.492,32020
Horizon Case,2018-09-14,0.512,36779
Horizon Case,2018-09-15,0.498,41441
Horizon Case,2018-09-16,0.434,37905
Horizon Case,2018-09-17,0.403,32637
Horizon Case,2018-09-18,0.435,31135
Horizon Case,2018-09-19,0.447,29866
Horizon Case,2018-09-20,0.43,30085
Horizon Case,2018-09-21,0.456,35519
Horizon Case,2018-09-22,0.413,41863
Horizon Case,2018-09-23,0.373,41990
Horizon Case,2018-09-24,0.379,32974
Horizon Case,2018-09-25,0.39,32717
Horizon Case,2018-09-26,0.402,31028
Horizon Case,2018-09-27,0.424,32955
Horizon Case,2018-09-28,0.448,38440
Horizon Case,2018-09-29,0.435,41462
Horizon Case,2018-09-30,0.416,39801
Horizon Case,2018-10-01,0.431,33711
Horizon Case,2018-10-02,0.442,31165
Horizon Case,2018-10-03,0.41,34145
Horizon Case,2018-10-04,0.35,35783
Horizon Case,2018-10-05,0.335,43536
Horizon Case,2018-10-06,0.294,46496
Horizon Case,2018-10-07,0.271,44874
Horizon Case,2018-10-08,0.273,37017
