item,date,price,volume
Operation Phoenix Weapon Case,2014-02-21,5.082,24633
Operation Phoenix Weapon Case,2014-02-22,3.392,23002
Operation Phoenix Weapon Case,2014-02-23,3.537,15030
Operation Phoenix Weapon Case,2014-02-24,3.806,9626
Operation Phoenix Weapon Case,2014-02-25,4.279,7735
Operation Phoenix Weapon Case,2014-02-26,4.286,6394
Operation Phoenix Weapon Case,2014-02-27,4.509,5712
Operation Phoenix Weapon Case,2014-02-28,3.448,16631
Operation Phoenix Weapon Case,2014-03-01,2.198,23021
Operation Phoenix Weapon Case,2014-03-02,2.187,19091
Operation Phoenix Weapon Case,2014-03-03,2.243,14288
Operation Phoenix Weapon Case,2014-03-04,2.51,11448
Operation Phoenix Weapon Case,2014-03-05,2.389,9745
Operation Phoenix Weapon Case,2014-03-06,2.593,9786
Operation Phoenix Weapon Case,2014-03-07,2.363,14414
Operation Phoenix Weapon Case,2014-03-08,1.698,19693
Operation Phoenix Weapon Case,2014-03-09,1.46,20630
Operation Phoenix Weapon Case,2014-03-10,1.603,16623
Operation Phoenix Weapon Case,2014-03-11,1.733,13511
Operation Phoenix Weapon Case,2014-03-12,1.824,12070
Operation Phoenix Weapon Case,2014-03-13,1.924,8442
Operation Phoenix Weapon Case,2014-03-14,1.939,12853
Operation Phoenix Weapon Case,2014-03-15,1.406,22674
Operation Phoenix Weapon Case,2014-03-16,1.162,23995
Operation Phoenix Weapon Case,2014-03-17,1.149,21086
Operation Phoenix Weapon Case,2014-03-18,1.334,17247
Operation Phoenix Weapon Case,2014-03-19,1.349,16872
Operation Phoenix Weapon Case,2014-03-20,1.416,15383
Operation Phoenix Weapon Case,2014-03-21,1.433,15678
Operation Phoenix Weapon Case,2014-03-22,1.313,19250
Operation Phoenix Weapon Case,2014-03-23,1.152,19664
Operation Phoenix Weapon Case,2014-03-24,1.113,18824
Operation Phoenix Weapon Case,2014-03-25,1.197,17059
Operation Phoenix Weapon Case,2014-03-26,1.24,17468
Operation Phoenix Weapon Case,2014-03-27,1.303,16634
Operation Phoenix Weapon Case,2014-03-28,1.293,17106
Operation Phoenix Weapon Case,2014-03-29,1.235,19542
Operation Phoenix Weapon Case,2014-03-30,1.153,20432
Operation Phoenix Weapon Case,2014-03-31,1.133,19506
Operation Phoenix Weapon Case,2014-04-01,1.246,15409
Operation Phoenix Weapon Case,2014-04-02,1.096,18325
Operation Phoenix Weapon Case,2014-04-03,1.068,19349
Operation Phoenix Weapon Case,2014-04-04,1.061,22703
Operation Phoenix Weapon Case,2014-04-05,1.026,23493
Operation Phoenix Weapon Case,2014-04-06,0.975,23603
Operation Phoenix Weapon Case,2014-04-07,0.978,21409
Operation Phoenix Weapon Case,2014-04-08,0.991,19743
Operation Phoenix Weapon Case,2014-04-09,0.981,19809
Operation Phoenix Weapon Case,2014-04-10,0.972,20293
Operation Phoenix Weapon Case,2014-04-11,1.013,24250
Operation Phoenix Weapon Case,2014-04-12,1.001,23917
Operation Phoenix Weapon Case,2014-04-13,0.952,23192
Operation Phoenix Weapon Case,2014-04-14,0.934,24178
Operation Phoenix Weapon Case,2014-04-15,0.963,24713
Operation Phoenix Weapon Case,2014-04-16,0.974,23981
Operation Phoenix Weapon Case,2014-04-17,0.974,24297
Operation Phoenix Weapon Case,2014-04-18,0.988,23994
Operation Phoenix Weapon Case,2014-04-19,0.975,24353
Operation Phoenix Weapon Case,2014-04-20,0.964,26116
Operation Phoenix Weapon Case,2014-04-21,0.951,24515
Operation Phoenix Weapon Case,2014-04-22,0.951,24463
Operation Phoenix Weapon Case,2014-04-23,0.951,23621
Operation Phoenix Weapon Case,2014-04-24,0.961,24609
Operation Phoenix Weapon Case,2014-04-25,1.032,27268
Operation Phoenix Weapon Case,2014-04-26,1.003,26182
Operation Phoenix Weapon Case,2014-04-27,0.968,26085
Operation Phoenix Weapon Case,2014-04-28,0.958,24595
Operation Phoenix Weapon Case,2014-04-29,0.958,25646
Operation Phoenix Weapon Case,2014-04-30,1.021,30105
Operation Phoenix Weapon Case,2014-05-01,1.047,26924
Operation Phoenix Weapon Case,2014-05-02,0.827,31834
