item,date,price,volume
Prisma Case,2019-03-13,16.892,95
Prisma Case,2019-03-14,7.267,43221
Prisma Case,2019-03-15,5.017,44595
Prisma Case,2019-03-16,3.804,55248
Prisma Case,2019-03-17,3.9,50975
Prisma Case,2019-03-18,3.883,36994
Prisma Case,2019-03-19,3.528,36386
Prisma Case,2019-03-20,3.34,34771
Prisma Case,2019-03-21,2.933,37384
Prisma Case,2019-03-22,2.739,43749
Prisma Case,2019-03-23,2.43,51159
Prisma Case,2019-03-24,2.153,51891
Prisma Case,2019-03-25,2.083,42856
Prisma Case,2019-03-26,2.046,38916
Prisma Case,2019-03-27,2.039,38453
Prisma Case,2019-03-28,1.972,37475
Prisma Case,2019-03-29,2.009,45665
Prisma Case,2019-03-30,1.847,46256
Prisma Case,2019-03-31,1.574,51076
Prisma Case,2019-04-01,1.557,41771
Prisma Case,2019-04-02,1.559,35630
Prisma Case,2019-04-03,1.533,37908
Prisma Case,2019-04-04,1.537,38385
Prisma Case,2019-04-05,1.521,43208
Prisma Case,2019-04-06,1.482,46408
Prisma Case,2019-04-07,1.363,50474
Prisma Case,2019-04-08,1.302,41628
Prisma Case,2019-04-09,1.291,41380
Prisma Case,2019-04-10,1.311,39261
Prisma Case,2019-04-11,1.298,37646
Prisma Case,2019-04-12,1.269,44591
Prisma Case,2019-04-13,1.186,46408
Prisma Case,2019-04-14,1.041,48662
Prisma Case,2019-04-15,1.003,43503
Prisma Case,2019-04-16,0.982,40628
Prisma Case,2019-04-17,1.014,40787
Prisma Case,2019-04-18,1.027,40506
Prisma Case,2019-04-19,1.005,42791
Prisma Case,2019-04-20,0.958,48408
Prisma Case,2019-04-21,0.872,51743
Prisma Case,2019-04-22,0.824,47898
Prisma Case,2019-04-23,0.777,47915
Prisma Case,2019-04-24,0.739,44562
Prisma Case,2019-04-25,0.763,47539
Prisma Case,2019-04-26,0.767,50608
Prisma Case,2019-04-27,0.752,50211
Prisma Case,2019-04-28,0.68,49907
Prisma Case,2019-04-29,0.63,44547
Prisma Case,2019-04-30,0.67,50574
Prisma Case,2019-05-01,0.684,50938
Prisma Case,2019-05-02,0.66,45762
Prisma Case,2019-05-03,0.672,47975
Prisma Case,2019-05-04,0.665,49766
Prisma Case,2019-05-05,0.604,49449
Prisma Case,2019-05-06,0.595,41417
Prisma Case,2019-05-07,0.613,43820
Prisma Case,2019-05-08,0.622,40136
Prisma Case,2019-05-09,0.595,39641
Prisma Case,2019-05-10,0.604,45841
Prisma Case,2019-05-11,0.602,47692
Prisma Case,2019-05-12,0.572,45133
Prisma Case,2019-05-13,0.553,38186
Prisma Case,2019-05-14,0.569,40749
Prisma Case,2019-05-15,0.593,41873
Prisma Case,2019-05-16,0.604,38301
Prisma Case,2019-05-17,0.605,44850
Prisma Case,2019-05-18,0.552,48218
Prisma Case,2019-05-19,0.514,50110
Prisma Case,2019-05-20,0.533,42477
Prisma Case,2019-05-21,0.549,40521
Prisma Case,2019-05-22,0.551,40195
Prisma Case,2019-05-23,0.543,39024
Prisma Case,2019-05-24,0.544,46637
Prisma Case,2019-05-25,0.536,49304
Prisma Case,2019-05-26,0.529,48727
Prisma Case,2019-05-27,0.538,42346
Prisma Case,2019-05-28,0.532,40598
Prisma Case,2019-05-29,0.537,43158
Prisma Case,2019-05-30,0.553,44981
Prisma Case,2019-05-31,0.552,45025
Prisma Case,2019-06-01,0.562,48476
Prisma Case,2019-06-02,0.552,47477
Prisma Case,2019-06-03,0.539,43472
Prisma Case,2019-06-04,0.529,43273
Prisma Case,2019-06-05,0.537,44192
Prisma Case,2019-06-06,0.557,42925
Prisma Case,2019-06-07,0.559,43357
Prisma Case,2019-06-08,0.555,47146
Prisma Case,2019-06-09,0.56,50187
Prisma Case,2019-06-10,0.547,45979
Prisma Case,2019-06-11,0.542,43640
Prisma Case,2019-06-12,0.553,42358
Prisma Case,2019-06-13,0.554,42805
Prisma Case,2019-06-14,0.555,44451
Prisma Case,2019-06-15,0.555,49059
Prisma Case,2019-06-16,0.542,47868
Prisma Case,2019-06-17,0.532,44486
Prisma Case,2019-06-18,0.512,41806
Prisma Case,2019-06-19,0.496,42980
Prisma Case,2019-06-20,0.464,49903
Prisma Case,2019-06-21,0.465,46423
Prisma Case,2019-06-22,0.477,44363
Prisma Case,2019-06-23,0.474,45846
Prisma Case,2019-06-24,0.435,42706
Prisma Case,2019-06-25,0.413,45988
Prisma Case,2019-06-26,0.368,45117
Prisma Case,2019-06-27,0.36,45951
Prisma Case,2019-06-28,0.405,48945
Prisma Case,2019-06-29,0.439,47399
Prisma Case,2019-06-30,0.446,48277
Prisma Case,2019-07-01,0.419,44546
Prisma Case,2019-07-02,0.419,44336
Prisma Case,2019-07-03,0.41,43112
Prisma Case,2019-07-04,0.421,45728
Prisma Case,2019-07-05,0.436,43745
Prisma Case,2019-07-06,0.444,44155
Prisma Case,2019-07-07,0.443,45375
Prisma Case,2019-07-08,0.437,44977
Prisma Case,2019-07-09,0.437,43076
Prisma Case,2019-07-10,0.433,44540
Prisma Case,2019-07-11,0.441,48067
Prisma Case,2019-07-12,0.449,43185
Prisma Case,2019-07-13,0.445,42247
Prisma Case,2019-07-14,0.429,43226
Prisma Case,2019-07-15,0.407,43843
Prisma Case,2019-07-16,0.404,44074
Prisma Case,2019-07-17,0.39,40294
Prisma Case,2019-07-18,0.373,40540
Prisma Case,2019-07-19,0.38,45342
Prisma Case,2019-07-20,0.383,41621
Prisma Case,2019-07-21,0.383,45473
Prisma Case,2019-07-22,0.374,42842
Prisma Case,2019-07-23,0.366,43475
Prisma Case,2019-07-24,0.358,42080
Prisma Case,2019-07-25,0.356,42789
Prisma Case,2019-07-26,0.36,43573
Prisma Case,2019-07-27,0.37,45628
Prisma Case,2019-07-28,0.364,43905
Prisma Case,2019-07-29,0.347,43267
Prisma Case,2019-07-30,0.341,46969
Prisma Case,2019-07-31,0.356,49021
Prisma Case,2019-08-01,0.369,49619
Prisma Case,2019-08-02,0.385,48649
Prisma Case,2019-08-03,0.394,49195
Prisma Case,2019-08-04,0.395,46526
Prisma Case,2019-08-05,0.393,45621
Prisma Case,2019-08-06,0.397,47081
