item,date,price,volume
Revolution Case,2023-02-10,10.071,79764
Revolution Case,2023-02-11,6.015,79886
Revolution Case,2023-02-12,5.154,78300
Revolution Case,2023-02-13,5.207,58451
Revolution Case,2023-02-14,4.478,57769
Revolution Case,2023-02-15,4.151,57410
Revolution Case,2023-02-16,4.147,59648
Revolution Case,2023-02-17,3.549,67413
Revolution Case,2023-02-18,3.219,77269
Revolution Case,2023-02-19,2.62,76360
Revolution Case,2023-02-20,2.343,64885
Revolution Case,2023-02-21,2.26,61645
Revolution Case,2023-02-22,2.27,61591
Revolution Case,2023-02-23,2.248,63411
Revolution Case,2023-02-24,2.279,66744
Revolution Case,2023-02-25,2.171,70867
Revolution Case,2023-02-26,1.986,75588
Revolution Case,2023-02-27,1.942,67384
Revolution Case,2023-02-28,1.988,61965
Revolution Case,2023-03-01,2.046,60367
Revolution Case,2023-03-02,2.057,60819
Revolution Case,2023-03-03,2.095,67046
Revolution Case,2023-03-04,2.04,76394
Revolution Case,2023-03-05,1.969,75587
Revolution Case,2023-03-06,1.885,68017
Revolution Case,2023-03-07,1.871,68332
Revolution Case,2023-03-08,1.88,65406
Revolution Case,2023-03-09,1.943,67167
Revolution Case,2023-03-10,2.035,73206
Revolution Case,2023-03-11,2.027,79307
Revolution Case,2023-03-12,1.967,76768
Revolution Case,2023-03-13,1.89,65853
Revolution Case,2023-03-14,1.87,67371
Revolution Case,2023-03-15,1.904,70343
Revolution Case,2023-03-16,1.907,69531
Revolution Case,2023-03-17,1.917,77763
Revolution Case,2023-03-18,1.909,82713
Revolution Case,2023-03-19,1.842,82736
Revolution Case,2023-03-20,1.764,69934
Revolution Case,2023-03-21,1.725,72892
Revolution Case,2023-03-22,1.733,90766
Revolution Case,2023-03-23,1.927,104374
Revolution Case,2023-03-24,2.066,99602
Revolution Case,2023-03-25,2.095,99990
Revolution Case,2023-03-26,2.106,103554
Revolution Case,2023-03-27,2.11,89886
Revolution Case,2023-03-28,2.115,90452
Revolution Case,2023-03-29,2.171,82826
Revolution Case,2023-03-30,2.23,74287
Revolution Case,2023-03-31,2.353,79041
Revolution Case,2023-04-01,2.39,98081
Revolution Case,2023-04-02,2.205,106255
Revolution Case,2023-04-03,2.194,96752
Revolution Case,2023-04-04,2.264,85896
Revolution Case,2023-04-05,2.321,83144
Revolution Case,2023-04-06,2.414,92027
Revolution Case,2023-04-07,2.536,85076
Revolution Case,2023-04-08,2.59,88723
Revolution Case,2023-04-09,2.503,98952
Revolution Case,2023-04-10,2.501,92309
Revolution Case,2023-04-11,2.459,84992
Revolution Case,2023-04-12,2.451,86219
Revolution Case,2023-04-13,2.518,84763
Revolution Case,2023-04-14,2.641,83214
Revolution Case,2023-04-15,2.711,74876
Revolution Case,2023-04-16,2.668,83316
Revolution Case,2023-04-17,2.636,94262
Revolution Case,2023-04-18,2.635,78165
Revolution Case,2023-04-19,2.66,79053
Revolution Case,2023-04-20,2.626,100303
Revolution Case,2023-04-21,2.627,104759
Revolution Case,2023-04-22,2.597,101273
Revolution Case,2023-04-23,2.484,99971
Revolution Case,2023-04-24,2.371,93098
Revolution Case,2023-04-25,2.203,107142
Revolution Case,2023-04-26,2.038,90786
Revolution Case,2023-04-27,2.039,94818
Revolution Case,2023-04-28,2.126,92741
