item,date,price,volume
Shadow Case,2015-09-18,6.236,160050
Shadow Case,2015-09-19,3.438,188373
Shadow Case,2015-09-20,2.417,179153
Shadow Case,2015-09-21,2.384,128185
Shadow Case,2015-09-22,1.947,126369
Shadow Case,2015-09-23,1.73,122940
Shadow Case,2015-09-24,1.525,131980
Shadow Case,2015-09-25,1.458,151460
Shadow Case,2015-09-26,1.161,166308
Shadow Case,2015-09-27,0.905,174045
Shadow Case,2015-09-28,0.931,137765
Shadow Case,2015-09-29,0.977,119412
Shadow Case,2015-09-30,0.974,125711
Shadow Case,2015-10-01,0.934,121836
Shadow Case,2015-10-02,0.875,134144
Shadow Case,2015-10-03,0.845,137263
Shadow Case,2015-10-04,0.741,133376
Shadow Case,2015-10-05,0.753,114801
Shadow Case,2015-10-06,0.801,96917
Shadow Case,2015-10-07,0.748,98637
Shadow Case,2015-10-08,0.695,98311
Shadow Case,2015-10-09,0.67,114888
Shadow Case,2015-10-10,0.614,128676
Shadow Case,2015-10-11,0.512,129273
Shadow Case,2015-10-12,0.511,106440
Shadow Case,2015-10-13,0.49,94985
Shadow Case,2015-10-14,0.456,100452
Shadow Case,2015-10-15,0.454,101848
Shadow Case,2015-10-16,0.466,107213
Shadow Case,2015-10-17,0.441,124550
Shadow Case,2015-10-18,0.362,122198
Shadow Case,2015-10-19,0.347,101570
Shadow Case,2015-10-20,0.352,96911
Shadow Case,2015-10-21,0.356,103096
Shadow Case,2015-10-22,0.351,91773
Shadow Case,2015-10-23,0.352,128419
Shadow Case,2015-10-24,0.328,131778
Shadow Case,2015-10-25,0.277,128229
Shadow Case,2015-10-26,0.269,110962
Shadow Case,2015-10-27,0.286,110242
Shadow Case,2015-10-28,0.288,108562
Shadow Case,2015-10-29,0.276,104770
Shadow Case,2015-10-30,0.287,138460
Shadow Case,2015-10-31,0.285,139018
Shadow Case,2015-11-01,0.254,135380
Shadow Case,2015-11-02,0.236,119298
Shadow Case,2015-11-03,0.235,108658
Shadow Case,2015-11-04,0.242,108725
Shadow Case,2015-11-05,0.252,106760
Shadow Case,2015-11-06,0.242,111899
Shadow Case,2015-11-07,0.216,126685
Shadow Case,2015-11-08,0.173,121526
Shadow Case,2015-11-09,0.165,95669
Shadow Case,2015-11-10,0.168,92355
Shadow Case,2015-11-11,0.169,90921
Shadow Case,2015-11-12,0.17,92300
Shadow Case,2015-11-13,0.17,108679
Shadow Case,2015-11-14,0.153,117605
Shadow Case,2015-11-15,0.14,116583
Shadow Case,2015-11-16,0.137,89729
Shadow Case,2015-11-17,0.131,82280
