item,date,price,volume
eSports 2013 Case,2014-07-15,0.508,151
eSports 2013 Case,2014-07-16,0.531,1874
eSports 2013 Case,2014-07-17,0.526,2010
eSports 2013 Case,2014-07-18,0.543,1703
eSports 2013 Case,2014-07-19,0.535,1771
eSports 2013 Case,2014-07-20,0.511,1786
eSports 2013 Case,2014-07-21,0.492,1577
eSports 2013 Case,2014-07-22,0.481,1580
eSports 2013 Case,2014-07-23,0.481,1638
eSports 2013 Case,2014-07-24,0.489,1462
eSports 2013 Case,2014-07-25,0.514,1873
eSports 2013 Case,2014-07-26,0.529,1948
eSports 2013 Case,2014-07-27,0.522,2081
eSports 2013 Case,2014-07-28,0.526,2071
eSports 2013 Case,2014-07-29,0.548,2230
eSports 2013 Case,2014-07-30,0.564,2464
eSports 2013 Case,2014-07-31,0.592,2559
eSports 2013 Case,2014-08-01,0.689,2956
eSports 2013 Case,2014-08-02,0.713,2944
eSports 2013 Case,2014-08-03,0.721,2190
eSports 2013 Case,2014-08-04,0.738,2926
eSports 2013 Case,2014-08-05,0.698,2071
eSports 2013 Case,2014-08-06,0.726,1938
eSports 2013 Case,2014-08-07,0.734,2079
eSports 2013 Case,2014-08-08,0.759,2039
eSports 2013 Case,2014-08-09,0.749,2082
eSports 2013 Case,2014-08-10,0.728,1769
eSports 2013 Case,2014-08-11,0.745,1966
eSports 2013 Case,2014-08-12,0.777,1795
eSports 2013 Case,2014-08-13,0.806,1871
eSports 2013 Case,2014-08-14,0.814,2026
eSports 2013 Case,2014-08-15,0.831,2069
eSports 2013 Case,2014-08-16,0.833,2321
eSports 2013 Case,2014-08-17,0.702,2389
eSports 2013 Case,2014-08-18,0.726,1753
eSports 2013 Case,2014-08-19,0.817,1741
eSports 2013 Case,2014-08-20,0.827,1740
eSports 2013 Case,2014-08-21,0.844,1692
eSports 2013 Case,2014-08-22,0.881,2056
eSports 2013 Case,2014-08-23,0.943,1960
eSports 2013 Case,2014-08-24,0.951,1652
eSports 2013 Case,2014-08-25,0.983,1651
eSports 2013 Case,2014-08-26,1.04,1751
eSports 2013 Case,2014-08-27,1.082,1686
eSports 2013 Case,2014-08-28,1.095,1686
eSports 2013 Case,2014-08-29,1.109,1972
eSports 2013 Case,2014-08-30,1.111,1952
eSports 2013 Case,2014-08-31,1.122,1642
eSports 2013 Case,2014-09-01,1.176,1626
eSports 2013 Case,2014-09-02,1.226,1518
eSports 2013 Case,2014-09-03,1.223,1582
eSports 2013 Case,2014-09-04,1.199,1001
eSports 2013 Case,2014-09-05,1.176,1288
eSports 2013 Case,2014-09-06,1.148,1330
eSports 2013 Case,2014-09-07,1.091,1276
eSports 2013 Case,2014-09-08,1.052,1185
eSports 2013 Case,2014-09-09,1.148,1241
eSports 2013 Case,2014-09-10,1.188,1226
eSports 2013 Case,2014-09-11,1.187,1342
eSports 2013 Case,2014-09-12,1.147,1514
eSports 2013 Case,2014-09-13,1.16,1548
eSports 2013 Case,2014-09-14,1.175,1462
eSports 2013 Case,2014-09-15,1.196,1316
eSports 2013 Case,2014-09-16,1.218,1178
eSports 2013 Case,2014-09-17,1.253,1382
eSports 2013 Case,2014-09-18,1.26,1115
eSports 2013 Case,2014-09-19,1.348,1460
eSports 2013 Case,2014-09-20,1.373,1309
eSports 2013 Case,2014-09-21,1.315,1156
eSports 2013 Case,2014-09-22,1.288,1024
eSports 2013 Case,2014-09-23,1.289,1069
eSports 2013 Case,2014-09-24,1.317,1011
eSports 2013 Case,2014-09-25,1.313,1116
eSports 2013 Case,2014-09-26,1.332,1365
eSports 2013 Case,2014-09-27,1.349,1207
eSports 2013 Case,2014-09-28,1.279,1173
eSports 2013 Case,2014-09-29,1.302,1000
eSports 2013 Case,2014-09-30,1.298,893
eSports 2013 Case,2014-10-01,1.336,1167
eSports 2013 Case,2014-10-02,1.357,1010
eSports 2013 Case,2014-10-03,1.307,1122
eSports 2013 Case,2014-10-04,1.322,1296
eSports 2013 Case,2014-10-05,1.299,1299
eSports 2013 Case,2014-10-06,1.353,1016
eSports 2013 Case,2014-10-07,1.326,941
eSports 2013 Case,2014-10-08,1.337,1092
eSports 2013 Case,2014-10-09,1.343,951
eSports 2013 Case,2014-10-10,1.368,1133
eSports 2013 Case,2014-10-11,1.362,1249
eSports 2013 Case,2014-10-12,1.351,1102
eSports 2013 Case,2014-10-13,1.381,1105
eSports 2013 Case,2014-10-14,1.409,1048
eSports 2013 Case,2014-10-15,1.433,961
eSports 2013 Case,2014-10-16,1.395,890
eSports 2013 Case,2014-10-17,1.415,965
