item,date,price,volume
eSports 2013 Winter Case,2014-07-15,0.03,1739
eSports 2013 Winter Case,2014-07-16,0.03,22672
eSports 2013 Winter Case,2014-07-17,0.033,31676
eSports 2013 Winter Case,2014-07-18,0.038,40539
eSports 2013 Winter Case,2014-07-19,0.034,45490
eSports 2013 Winter Case,2014-07-20,0.032,47509
eSports 2013 Winter Case,2014-07-21,0.033,49210
eSports 2013 Winter Case,2014-07-22,0.033,31286
eSports 2013 Winter Case,2014-07-23,0.032,26178
eSports 2013 Winter Case,2014-07-24,0.034,18850
eSports 2013 Winter Case,2014-07-25,0.037,24209
eSports 2013 Winter Case,2014-07-26,0.035,24987
eSports 2013 Winter Case,2014-07-27,0.033,26654
eSports 2013 Winter Case,2014-07-28,0.034,30812
eSports 2013 Winter Case,2014-07-29,0.031,32132
eSports 2013 Winter Case,2014-07-30,0.034,25427
eSports 2013 Winter Case,2014-07-31,0.039,28254
eSports 2013 Winter Case,2014-08-01,0.04,43600
eSports 2013 Winter Case,2014-08-02,0.038,44420
eSports 2013 Winter Case,2014-08-03,0.045,42515
eSports 2013 Winter Case,2014-08-04,0.046,48144
eSports 2013 Winter Case,2014-08-05,0.043,39397
eSports 2013 Winter Case,2014-08-06,0.05,24554
eSports 2013 Winter Case,2014-08-07,0.052,22611
eSports 2013 Winter Case,2014-08-08,0.055,23212
eSports 2013 Winter Case,2014-08-09,0.052,23088
eSports 2013 Winter Case,2014-08-10,0.049,23224
eSports 2013 Winter Case,2014-08-11,0.051,23734
eSports 2013 Winter Case,2014-08-12,0.055,20609
eSports 2013 Winter Case,2014-08-13,0.051,19783
eSports 2013 Winter Case,2014-08-14,0.05,19080
eSports 2013 Winter Case,2014-08-15,0.049,22382
eSports 2013 Winter Case,2014-08-16,0.052,25179
eSports 2013 Winter Case,2014-08-17,0.036,30293
eSports 2013 Winter Case,2014-08-18,0.039,19329
eSports 2013 Winter Case,2014-08-19,0.046,19125
eSports 2013 Winter Case,2014-08-20,0.05,18006
